Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus_Weekday,WeekStatus_Weekend,Day_of_week_Friday,Day_of_week_Monday,Day_of_week_Saturday,Day_of_week_Sunday,Day_of_week_Thursday,Day_of_week_Tuesday,Day_of_week_Wednesday,Load_Type
3.53,0.0,17.5,0.0,100.0,19.77,79200,1,0,0,1,0,0,0,0,0,Light_Load
3.56,1.44,10.08,0.0,92.7,33.3,80100,1,0,0,1,0,0,0,0,0,Light_Load
3.67,4.21,0.0,0.0,65.71,100.0,81000,1,0,0,1,0,0,0,0,0,Light_Load
3.24,3.35,0.0,0.0,69.52,100.0,81900,1,0,0,1,0,0,0,0,0,Light_Load
3.53,3.74,0.0,0.0,68.64,100.0,82800,1,0,0,1,0,0,0,0,0,Light_Load
3.53,3.42,0.0,0.0,71.82,100.0,83700,1,0,0,1,0,0,0,0,0,Light_Load
3.24,2.95,0.0,0.0,73.94,100.0,84600,1,0,0,1,0,0,0,0,0,Light_Load
3.67,3.96,0.0,0.0,67.97,100.0,85500,1,0,0,1,0,0,0,0,0,Light_Load
3.42,3.46,0.0,0.0,70.3,100.0,0,1,0,0,1,0,0,0,0,0,Light_Load
3.2,3.1,0.0,0.0,71.82,100.0,900,1,0,0,0,0,0,0,1,0,Light_Load
3.85,4.61,0.0,0.0,64.1,100.0,1800,1,0,0,0,0,0,0,1,0,Light_Load
3.28,3.67,0.0,0.0,66.64,100.0,2700,1,0,0,0,0,0,0,1,0,Light_Load
3.35,3.6,0.0,0.0,68.12,100.0,3600,1,0,0,0,0,0,0,1,0,Light_Load
3.89,4.72,0.0,0.0,63.6,100.0,4500,1,0,0,0,0,0,0,1,0,Light_Load
3.28,3.53,0.0,0.0,68.07,100.0,5400,1,0,0,0,0,0,0,1,0,Light_Load
3.46,3.96,0.0,0.0,65.8,100.0,6300,1,0,0,0,0,0,0,1,0,Light_Load
3.78,4.82,0.0,0.0,61.71,100.0,7200,1,0,0,0,0,0,0,1,0,Light_Load
3.31,3.53,0.0,0.0,68.4,100.0,8100,1,0,0,0,0,0,0,1,0,Light_Load
3.6,4.36,0.0,0.0,63.67,100.0,9000,1,0,0,0,0,0,0,1,0,Light_Load
3.64,4.39,0.0,0.0,63.83,100.0,9900,1,0,0,0,0,0,0,1,0,Light_Load
3.28,3.71,0.0,0.0,66.24,100.0,10800,1,0,0,0,0,0,0,1,0,Light_Load
3.71,4.57,0.0,0.0,63.03,100.0,11700,1,0,0,0,0,0,0,1,0,Light_Load
3.56,4.03,0.0,0.0,66.21,100.0,12600,1,0,0,0,0,0,0,1,0,Light_Load
3.24,3.49,0.0,0.0,68.04,100.0,13500,1,0,0,0,0,0,0,1,0,Light_Load
3.89,4.64,0.0,0.0,64.25,100.0,14400,1,0,0,0,0,0,0,1,0,Light_Load
3.28,3.42,0.0,0.0,69.22,100.0,15300,1,0,0,0,0,0,0,1,0,Light_Load
3.28,3.49,0.0,0.0,68.48,100.0,16200,1,0,0,0,0,0,0,1,0,Light_Load
3.96,4.68,0.0,0.0,64.59,100.0,17100,1,0,0,0,0,0,0,1,0,Light_Load
3.24,3.42,0.0,0.0,68.77,100.0,18000,1,0,0,0,0,0,0,1,0,Light_Load
3.46,3.78,0.0,0.0,67.52,100.0,18900,1,0,0,0,0,0,0,1,0,Light_Load
3.67,4.07,0.0,0.0,66.97,100.0,19800,1,0,0,0,0,0,0,1,0,Light_Load
3.24,3.42,0.0,0.0,68.77,100.0,20700,1,0,0,0,0,0,0,1,0,Light_Load
3.67,3.96,0.0,0.0,67.97,100.0,21600,1,0,0,0,0,0,0,1,0,Light_Load
3.53,3.78,0.0,0.0,68.25,100.0,22500,1,0,0,0,0,0,0,1,0,Light_Load
3.2,3.24,0.0,0.0,70.27,100.0,23400,1,0,0,0,0,0,0,1,0,Light_Load
3.78,4.07,0.0,0.0,68.05,100.0,24300,1,0,0,0,0,0,0,1,0,Light_Load
3.35,3.35,0.0,0.0,70.71,100.0,25200,1,0,0,0,0,0,0,1,0,Light_Load
3.53,3.49,0.0,0.0,71.11,100.0,26100,1,0,0,0,0,0,0,1,0,Light_Load
6.3,4.57,0.0,0.0,80.95,100.0,27000,1,0,0,0,0,0,0,1,0,Light_Load
6.05,4.79,0.0,0.0,78.4,100.0,27900,1,0,0,0,0,0,0,1,0,Light_Load
6.73,4.54,0.0,0.0,82.9,100.0,28800,1,0,0,0,0,0,0,1,0,Light_Load
29.02,18.83,0.07,0.0,83.89,100.0,29700,1,0,0,0,0,0,0,1,0,Light_Load
46.19,28.66,0.0,0.0,84.97,100.0,30600,1,0,0,0,0,0,0,1,0,Light_Load
52.06,35.32,0.0,0.0,82.75,100.0,31500,1,0,0,0,0,0,0,1,0,Light_Load
56.2,12.53,0.11,0.0,97.6,100.0,32400,1,0,0,0,0,0,0,1,0,Light_Load
56.84,8.32,0.0,0.0,98.95,100.0,33300,1,0,0,0,0,0,0,1,0,Medium_Load
51.26,4.54,0.94,0.0,99.61,99.98,34200,1,0,0,0,0,0,0,1,0,Medium_Load
48.13,2.34,1.15,0.0,99.88,99.97,35100,1,0,0,0,0,0,0,1,0,Medium_Load
52.81,7.06,0.54,0.0,99.12,99.99,36000,1,0,0,0,0,0,0,1,0,Medium_Load
54.79,7.52,0.14,0.0,99.07,100.0,36900,1,0,0,0,0,0,0,1,0,Maximum_Load
53.21,8.35,0.11,0.0,98.79,100.0,37800,1,0,0,0,0,0,0,1,0,Maximum_Load
80.21,32.4,0.0,0.0,92.72,100.0,38700,1,0,0,0,0,0,0,1,0,Maximum_Load
77.58,25.49,0.0,0.0,95.0,100.0,39600,1,0,0,0,0,0,0,1,0,Maximum_Load
128.52,70.85,0.0,0.0,87.57,100.0,40500,1,0,0,0,0,0,0,1,0,Maximum_Load
144.47,78.48,0.0,0.0,87.87,100.0,41400,1,0,0,0,0,0,0,1,0,Maximum_Load
90.86,54.29,0.0,0.0,85.84,100.0,42300,1,0,0,0,0,0,0,1,0,Maximum_Load
123.3,66.06,0.0,0.0,88.15,100.0,43200,1,0,0,0,0,0,0,1,0,Maximum_Load
19.22,5.54,18.9,0.0,96.09,71.3,44100,1,0,0,0,0,0,0,1,0,Medium_Load
8.46,0.0,25.92,0.0,100.0,31.03,45000,1,0,0,0,0,0,0,1,0,Medium_Load
8.24,0.0,25.34,0.0,100.0,30.92,45900,1,0,0,0,0,0,0,1,0,Medium_Load
8.03,0.0,25.49,0.0,100.0,30.05,46800,1,0,0,0,0,0,0,1,0,Medium_Load
79.67,27.29,6.52,0.0,94.6,99.67,47700,1,0,0,0,0,0,0,1,0,Medium_Load
97.85,46.8,0.0,0.0,90.21,100.0,48600,1,0,0,0,0,0,0,1,0,Medium_Load
124.45,49.79,0.0,0.0,92.85,100.0,49500,1,0,0,0,0,0,0,1,0,Medium_Load
108.61,43.34,0.0,0.0,92.88,100.0,50400,1,0,0,0,0,0,0,1,0,Medium_Load
123.12,55.26,0.0,0.0,91.23,100.0,51300,1,0,0,0,0,0,0,1,0,Medium_Load
129.1,53.5,0.0,0.0,92.38,100.0,52200,1,0,0,0,0,0,0,1,0,Medium_Load
82.08,27.58,0.0,0.0,94.79,100.0,53100,1,0,0,0,0,0,0,1,0,Medium_Load
143.89,60.91,0.0,0.0,92.09,100.0,54000,1,0,0,0,0,0,0,1,0,Medium_Load
86.9,34.27,0.0,0.0,93.03,100.0,54900,1,0,0,0,0,0,0,1,0,Medium_Load
141.44,62.57,0.0,0.0,91.45,100.0,55800,1,0,0,0,0,0,0,1,0,Medium_Load
116.53,52.88,0.0,0.0,91.06,100.0,56700,1,0,0,0,0,0,0,1,0,Medium_Load
129.31,61.16,0.0,0.0,90.4,100.0,57600,1,0,0,0,0,0,0,1,0,Medium_Load
136.44,56.77,0.0,0.0,92.33,100.0,58500,1,0,0,0,0,0,0,1,0,Medium_Load
85.72,34.85,0.0,0.0,92.64,100.0,59400,1,0,0,0,0,0,0,1,0,Medium_Load
147.46,65.27,0.0,0.0,91.44,100.0,60300,1,0,0,0,0,0,0,1,0,Medium_Load
86.94,30.78,0.0,0.0,94.27,100.0,61200,1,0,0,0,0,0,0,1,0,Medium_Load
67.25,25.81,0.0,0.0,93.36,100.0,62100,1,0,0,0,0,0,0,1,0,Maximum_Load
115.78,50.04,0.0,0.0,91.79,100.0,63000,1,0,0,0,0,0,0,1,0,Maximum_Load
113.11,34.63,0.0,0.0,95.62,100.0,63900,1,0,0,0,0,0,0,1,0,Maximum_Load
76.75,11.74,1.04,0.0,98.85,99.99,64800,1,0,0,0,0,0,0,1,0,Maximum_Load
41.9,15.23,0.14,0.0,93.98,100.0,65700,1,0,0,0,0,0,0,1,0,Maximum_Load
37.4,19.94,0.0,0.0,88.24,100.0,66600,1,0,0,0,0,0,0,1,0,Maximum_Load
40.25,8.82,0.5,0.0,97.68,99.99,67500,1,0,0,0,0,0,0,1,0,Maximum_Load
34.92,1.98,1.58,0.0,99.84,99.9,68400,1,0,0,0,0,0,0,1,0,Maximum_Load
41.36,6.44,0.43,0.0,98.81,99.99,69300,1,0,0,0,0,0,0,1,0,Maximum_Load
35.96,2.52,1.37,0.0,99.76,99.93,70200,1,0,0,0,0,0,0,1,0,Maximum_Load
39.42,5.29,0.47,0.0,99.11,99.99,71100,1,0,0,0,0,0,0,1,0,Maximum_Load
38.16,4.68,0.5,0.0,99.26,99.99,72000,1,0,0,0,0,0,0,1,0,Maximum_Load
33.23,1.51,3.96,0.0,99.9,99.3,72900,1,0,0,0,0,0,0,1,0,Medium_Load
25.88,0.0,12.13,0.0,100.0,90.55,73800,1,0,0,0,0,0,0,1,0,Medium_Load
10.84,0.0,23.22,0.0,100.0,42.3,74700,1,0,0,0,0,0,0,1,0,Medium_Load
9.29,0.0,23.51,0.0,100.0,36.75,75600,1,0,0,0,0,0,0,1,0,Medium_Load
6.98,0.0,25.16,0.0,100.0,26.73,76500,1,0,0,0,0,0,0,1,0,Medium_Load
5.11,0.0,26.5,0.0,100.0,18.93,77400,1,0,0,0,0,0,0,1,0,Medium_Load
5.08,0.0,26.42,0.0,100.0,18.88,78300,1,0,0,0,0,0,0,1,0,Medium_Load
5.04,0.0,26.46,0.0,100.0,18.71,79200,1,0,0,0,0,0,0,1,0,Medium_Load
4.93,1.84,15.44,0.0,93.69,30.42,80100,1,0,0,0,0,0,0,1,0,Maximum_Load
4.64,5.22,0.0,0.0,66.44,100.0,81000,1,0,0,0,0,0,0,1,0,Maximum_Load
4.68,5.18,0.0,0.0,67.04,100.0,81900,1,0,0,0,0,0,0,1,0,Maximum_Load
4.68,5.11,0.0,0.0,67.54,100.0,82800,1,0,0,0,0,0,0,1,0,Maximum_Load
4.57,4.54,0.0,0.0,70.94,100.0,83700,1,0,0,0,0,0,0,1,0,Light_Load
4.57,4.25,0.0,0.0,73.23,100.0,84600,1,0,0,0,0,0,0,1,0,Light_Load
4.54,4.25,0.0,0.0,73.0,100.0,85500,1,0,0,0,0,0,0,1,0,Light_Load
4.61,4.21,0.0,0.0,73.84,100.0,0,1,0,0,0,0,0,0,1,0,Light_Load
4.61,4.61,0.0,0.0,70.71,100.0,900,1,0,0,0,0,0,0,0,1,Light_Load
4.61,4.54,0.0,0.0,71.25,100.0,1800,1,0,0,0,0,0,0,0,1,Light_Load
4.57,4.5,0.0,0.0,71.25,100.0,2700,1,0,0,0,0,0,0,0,1,Light_Load
4.57,4.61,0.0,0.0,70.4,100.0,3600,1,0,0,0,0,0,0,0,1,Light_Load
4.64,4.46,0.0,0.0,72.1,100.0,4500,1,0,0,0,0,0,0,0,1,Light_Load
4.64,4.57,0.0,0.0,71.25,100.0,5400,1,0,0,0,0,0,0,0,1,Light_Load
4.61,4.79,0.0,0.0,69.34,100.0,6300,1,0,0,0,0,0,0,0,1,Light_Load
4.57,4.5,0.0,0.0,71.25,100.0,7200,1,0,0,0,0,0,0,0,1,Light_Load
4.61,4.39,0.0,0.0,72.42,100.0,8100,1,0,0,0,0,0,0,0,1,Light_Load
4.64,4.75,0.0,0.0,69.88,100.0,9000,1,0,0,0,0,0,0,0,1,Light_Load
4.64,4.75,0.0,0.0,69.88,100.0,9900,1,0,0,0,0,0,0,0,1,Light_Load
4.57,4.75,0.0,0.0,69.33,100.0,10800,1,0,0,0,0,0,0,0,1,Light_Load
4.64,5.11,0.0,0.0,67.22,100.0,11700,1,0,0,0,0,0,0,0,1,Light_Load
4.64,4.72,0.0,0.0,70.1,100.0,12600,1,0,0,0,0,0,0,0,1,Light_Load
4.68,4.68,0.0,0.0,70.71,100.0,13500,1,0,0,0,0,0,0,0,1,Light_Load
4.57,4.46,0.0,0.0,71.57,100.0,14400,1,0,0,0,0,0,0,0,1,Light_Load
4.54,4.32,0.0,0.0,72.44,100.0,15300,1,0,0,0,0,0,0,0,1,Light_Load
4.61,4.46,0.0,0.0,71.87,100.0,16200,1,0,0,0,0,0,0,0,1,Light_Load
4.57,4.32,0.0,0.0,72.67,100.0,17100,1,0,0,0,0,0,0,0,1,Light_Load
4.61,4.32,0.0,0.0,72.97,100.0,18000,1,0,0,0,0,0,0,0,1,Light_Load
4.54,4.14,0.0,0.0,73.89,100.0,18900,1,0,0,0,0,0,0,0,1,Light_Load
4.57,4.21,0.0,0.0,73.55,100.0,19800,1,0,0,0,0,0,0,0,1,Light_Load
4.57,4.43,0.0,0.0,71.8,100.0,20700,1,0,0,0,0,0,0,0,1,Light_Load
4.57,4.5,0.0,0.0,71.25,100.0,21600,1,0,0,0,0,0,0,0,1,Light_Load
4.64,4.61,0.0,0.0,70.94,100.0,22500,1,0,0,0,0,0,0,0,1,Light_Load
4.57,4.36,0.0,0.0,72.35,100.0,23400,1,0,0,0,0,0,0,0,1,Light_Load
4.61,4.54,0.0,0.0,71.25,100.0,24300,1,0,0,0,0,0,0,0,1,Light_Load
4.54,4.28,0.0,0.0,72.76,100.0,25200,1,0,0,0,0,0,0,0,1,Light_Load
4.46,4.18,0.0,0.0,72.96,100.0,26100,1,0,0,0,0,0,0,0,1,Light_Load
6.12,4.25,0.0,0.0,82.14,100.0,27000,1,0,0,0,0,0,0,0,1,Light_Load
7.92,4.68,0.0,0.0,86.09,100.0,27900,1,0,0,0,0,0,0,0,1,Light_Load
9.58,4.36,0.0,0.0,91.02,100.0,28800,1,0,0,0,0,0,0,0,1,Light_Load
37.01,21.56,0.0,0.02,86.41,100.0,29700,1,0,0,0,0,0,0,0,1,Light_Load
74.59,35.86,0.0,0.03,90.13,100.0,30600,1,0,0,0,0,0,0,0,1,Light_Load
109.48,53.32,0.0,0.05,89.9,100.0,31500,1,0,0,0,0,0,0,0,1,Light_Load
105.08,31.82,0.0,0.05,95.71,100.0,32400,1,0,0,0,0,0,0,0,1,Light_Load
121.79,41.26,0.0,0.06,94.71,100.0,33300,1,0,0,0,0,0,0,0,1,Medium_Load
114.48,30.24,0.0,0.05,96.68,100.0,34200,1,0,0,0,0,0,0,0,1,Medium_Load
74.2,21.96,0.0,0.03,95.89,100.0,35100,1,0,0,0,0,0,0,0,1,Medium_Load
54.32,7.13,0.04,0.02,99.15,100.0,36000,1,0,0,0,0,0,0,0,1,Medium_Load
75.17,25.06,0.0,0.03,94.87,100.0,36900,1,0,0,0,0,0,0,0,1,Maximum_Load
58.07,12.24,0.0,0.03,97.85,100.0,37800,1,0,0,0,0,0,0,0,1,Maximum_Load
67.03,15.08,0.0,0.03,97.56,100.0,38700,1,0,0,0,0,0,0,0,1,Maximum_Load
74.59,31.64,0.04,0.03,92.06,100.0,39600,1,0,0,0,0,0,0,0,1,Maximum_Load
57.56,23.9,0.0,0.03,92.36,100.0,40500,1,0,0,0,0,0,0,0,1,Maximum_Load
78.62,48.06,0.0,0.04,85.32,100.0,41400,1,0,0,0,0,0,0,0,1,Maximum_Load
69.16,44.17,0.0,0.03,84.28,100.0,42300,1,0,0,0,0,0,0,0,1,Maximum_Load
74.05,44.78,0.0,0.03,85.57,100.0,43200,1,0,0,0,0,0,0,0,1,Maximum_Load
11.27,0.5,20.45,0.01,99.9,48.27,44100,1,0,0,0,0,0,0,0,1,Medium_Load
8.21,0.0,26.21,0.0,100.0,29.89,45000,1,0,0,0,0,0,0,0,1,Medium_Load
8.14,0.0,25.56,0.0,100.0,30.34,45900,1,0,0,0,0,0,0,0,1,Medium_Load
7.7,0.0,25.74,0.0,100.0,28.66,46800,1,0,0,0,0,0,0,0,1,Medium_Load
51.26,21.38,6.08,0.02,92.29,99.3,47700,1,0,0,0,0,0,0,0,1,Medium_Load
52.7,13.64,0.0,0.02,96.81,100.0,48600,1,0,0,0,0,0,0,0,1,Medium_Load
55.84,17.24,0.0,0.03,95.55,100.0,49500,1,0,0,0,0,0,0,0,1,Medium_Load
57.2,17.32,0.0,0.03,95.71,100.0,50400,1,0,0,0,0,0,0,0,1,Medium_Load
76.57,30.6,0.0,0.04,92.86,100.0,51300,1,0,0,0,0,0,0,0,1,Medium_Load
61.13,20.45,0.0,0.03,94.83,100.0,52200,1,0,0,0,0,0,0,0,1,Medium_Load
66.74,26.42,0.0,0.03,92.98,100.0,53100,1,0,0,0,0,0,0,0,1,Medium_Load
55.8,16.42,0.0,0.03,95.93,100.0,54000,1,0,0,0,0,0,0,0,1,Medium_Load
57.46,18.25,0.0,0.03,95.31,100.0,54900,1,0,0,0,0,0,0,0,1,Medium_Load
71.28,28.08,0.0,0.03,93.04,100.0,55800,1,0,0,0,0,0,0,0,1,Medium_Load
73.15,28.62,0.0,0.03,93.13,100.0,56700,1,0,0,0,0,0,0,0,1,Medium_Load
68.98,25.81,0.0,0.03,93.66,100.0,57600,1,0,0,0,0,0,0,0,1,Medium_Load
85.0,27.79,0.0,0.04,95.05,100.0,58500,1,0,0,0,0,0,0,0,1,Medium_Load
116.53,41.9,0.0,0.05,94.1,100.0,59400,1,0,0,0,0,0,0,0,1,Medium_Load
118.62,39.06,0.0,0.05,94.98,100.0,60300,1,0,0,0,0,0,0,0,1,Medium_Load
105.05,35.64,0.0,0.05,94.7,100.0,61200,1,0,0,0,0,0,0,0,1,Medium_Load
140.51,52.96,0.0,0.06,93.57,100.0,62100,1,0,0,0,0,0,0,0,1,Maximum_Load
114.01,41.15,0.0,0.05,94.06,100.0,63000,1,0,0,0,0,0,0,0,1,Maximum_Load
125.96,39.2,0.0,0.06,95.48,100.0,63900,1,0,0,0,0,0,0,0,1,Maximum_Load
73.62,13.25,1.69,0.03,98.42,99.97,64800,1,0,0,0,0,0,0,0,1,Maximum_Load
