MPG,cubicInches,horsepower,weightLbs,time-to-sixty,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,cylinders_3,cylinders_4,cylinders_5,cylinders_6,cylinders_8,class
16.0,304,150,3433,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
24.0,113,95,2278,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24.0,107,90,2430,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37.2,86,65,2019,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
21.5,121,110,2600,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
24.0,200,81,3012,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
15.5,351,142,4054,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
38.1,89,60,1968,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
33.0,91,53,1795,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
31.0,71,65,1773,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
14.0,351,148,4657,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
18.0,250,78,3574,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
29.9,98,65,2380,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
27.0,97,88,2130,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
16.0,250,100,3278,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
23.0,120,97,2506,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
21.0,199,90,2648,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
30.0,97,67,1985,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
22.4,231,110,3415,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
26.0,97,46,1835,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21.5,80,110,2720,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
16.5,351,138,3955,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
20.2,232,90,3265,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
16.0,250,105,3897,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
14.0,302,140,4638,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
18.5,250,110,3645,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
17.5,250,110,3520,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
14.0,455,225,3086,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
31.6,120,74,2635,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
13.0,318,150,3755,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
22.0,122,86,2395,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
29.0,97,78,1940,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20.2,200,88,3060,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
13.0,400,150,4464,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
27.2,141,71,3190,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14.0,340,160,3609,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
24.0,116,75,2158,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16.5,350,180,4380,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
16.0,400,230,4278,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
19.0,156,108,2930,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
33.5,98,83,2075,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
29.0,90,70,1937,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13.0,360,175,3821,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
18.0,232,100,2945,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
22.0,108,94,2379,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32.7,168,132,2910,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
46.6,86,65,2110,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
14.0,318,150,4237,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
18.5,250,98,3525,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
26.0,97,46,1950,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32.0,91,67,1965,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
29.5,97,71,1825,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
17.5,305,145,3880,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
20.0,198,95,3102,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
27.0,112,88,2640,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
28.0,97,92,2288,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
24.0,119,97,2545,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
29.0,98,83,2219,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38.0,262,85,3015,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
22.5,232,90,3085,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
21.1,134,95,2515,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
26.0,98,90,2265,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32.4,108,75,2350,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
15.5,400,190,4325,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
12.0,429,198,4952,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
19.2,305,145,3425,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
23.0,115,95,2694,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
25.0,116,81,2220,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
35.0,72,69,1613,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18.0,199,97,2774,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
17.6,225,85,3465,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
28.0,90,75,2125,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
31.0,119,82,2720,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
34.1,86,65,1975,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
27.2,119,97,2300,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
13.0,350,175,4100,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
17.0,250,100,3329,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
26.0,98,79,2255,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
17.0,231,110,3907,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
12.0,350,180,4499,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
18.0,250,88,3139,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
18.2,318,135,3830,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
16.0,250,100,3781,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
11.0,400,150,4997,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
12.0,400,167,4906,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
25.0,98,80,2126,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
34.2,105,70,2200,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
32.2,108,75,2265,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
26.6,151,84,2635,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
43.4,90,48,2335,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
30.0,88,76,2065,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25.0,121,115,2671,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
18.0,307,130,3504,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
20.0,97,88,2279,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18.0,121,112,2933,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16.0,351,149,4335,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
33.0,91,53,1795,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
37.3,91,69,2130,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
18.0,225,95,3785,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
24.5,151,88,2740,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
21.0,231,110,3039,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
34.4,98,65,2045,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
15.0,429,198,4341,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
27.0,101,83,2202,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
26.0,79,67,1963,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16.0,400,170,4668,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
23.2,156,105,2745,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
27.0,97,60,1834,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.5,140,72,2565,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
13.0,360,170,4654,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
30.9,105,75,2230,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
20.0,114,91,2582,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36.1,98,66,1800,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
26.0,97,78,2300,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28.0,151,90,2678,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
12.0,455,225,4951,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
17.0,304,150,3672,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
15.0,350,145,4440,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
16.0,318,150,4190,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
26.0,91,70,1955,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
13.0,302,129,3169,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
22.0,121,98,2945,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
21.0,120,87,2979,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.8,173,115,2700,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
29.0,97,75,2171,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
32.0,144,96,2665,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
35.1,81,60,1760,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
19.2,267,125,3605,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
23.0,120,88,2957,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20.6,225,110,3360,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
27.0,151,90,2735,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
15.0,350,165,3693,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
18.1,302,139,3205,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
31.3,120,75,2542,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
27.5,134,95,2560,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
14.0,455,225,4425,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
15.0,250,72,3158,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
28.0,107,86,2464,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19.0,250,88,3302,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
18.0,70,90,2124,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
29.5,98,68,2135,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
19.0,232,100,2634,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
16.2,163,133,3410,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
24.3,151,90,3003,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
17.5,318,140,4080,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
18.0,171,97,2984,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
23.0,198,95,2904,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
23.0,97,54,2254,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19.9,260,110,3365,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
16.0,225,105,3439,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
26.0,156,92,2585,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
20.0,156,122,2807,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
38.0,105,63,2125,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
32.4,107,72,2290,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
20.3,131,103,2830,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
29.0,68,49,1867,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31.0,112,85,2575,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
21.0,122,86,2226,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
26.0,96,69,2189,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14.0,400,175,4385,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
14.0,304,150,3672,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
20.2,302,139,3570,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
31.5,98,68,2045,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
19.8,200,85,2990,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
33.8,97,67,2145,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
17.5,305,140,4215,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
18.0,318,150,3436,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
34.0,112,88,2395,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
20.8,200,85,3070,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
18.0,250,105,3459,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
13.0,318,150,3940,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
14.0,351,153,4129,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
13.0,440,215,4735,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
25.8,156,92,2620,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
28.4,151,90,2670,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
13.0,400,190,4422,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
15.0,350,145,4082,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
14.0,318,150,4077,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
41.5,98,76,2144,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27.2,135,84,2490,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
43.1,90,48,1985,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29.0,90,70,1937,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
33.5,85,70,1945,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
26.0,116,75,2246,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23.0,140,83,2639,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
23.9,260,90,3420,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
19.0,225,100,3630,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
21.0,140,72,2401,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
15.0,390,190,3850,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
40.8,85,65,2110,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
18.0,250,88,3021,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
13.0,307,130,4098,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
25.4,168,116,2900,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
22.0,146,97,2815,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
17.7,231,165,3445,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
39.1,79,58,1755,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
30.0,79,70,2074,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22.0,225,100,3233,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
32.9,119,100,2615,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
37.0,85,65,1975,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
14.5,351,152,4215,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
28.8,173,115,2595,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
15.0,302,130,4295,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
17.5,258,95,3193,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
21.6,121,115,2795,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14.0,318,150,4457,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
16.5,168,120,3820,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14.0,302,137,4042,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
32.0,83,61,2003,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10.0,360,215,4615,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
31.0,76,52,1649,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
21.0,200,85,2587,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
27.0,140,86,2790,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
15.0,383,170,3563,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
28.0,120,79,2625,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
23.0,140,78,2592,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
16.0,318,150,4498,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
20.0,130,102,3150,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
44.0,97,52,2130,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
14.0,318,150,4096,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
20.2,200,85,2965,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
39.0,86,64,1875,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
23.0,122,86,2220,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
13.0,350,145,4055,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
18.0,225,105,3121,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
16.0,400,180,4220,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
25.0,110,87,2672,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14.0,454,220,4354,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
15.0,318,150,3399,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
19.4,318,140,3735,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
44.3,90,48,2085,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
28.0,97,75,2155,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
29.0,135,84,2525,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
32.1,98,70,2120,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
24.0,121,110,2660,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36.4,121,67,2950,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13.0,350,145,3988,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
23.5,173,110,2725,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
24.0,113,95,2372,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17.0,305,130,3840,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
36.1,91,60,1800,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
22.0,232,112,2835,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
18.0,232,100,3288,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
22.0,250,105,3353,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
25.1,140,88,2720,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
29.0,85,52,2035,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
20.5,231,105,3425,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
9.0,304,193,4732,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
13.0,400,175,5140,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
35.7,98,80,1915,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
24.0,90,75,2108,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30.7,145,76,3160,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
