Age,No_of_orders_placed,is_premium_member,Women’s_Clothing,Men’s_Clothing,Kid’s_Clothing,Home_&_Living,Beauty,Electronics,Gender_Female,Gender_Male,Gender_Not_Specified,Preferred_Theme
33.0,15.0,1,2.570458451,3.679085503,6.413316359,5.158428449,0.177300355,6.552173143,0,0,1,Old_UI
22.0,9.0,0,5.873118886,1.290171207,5.74392482,8.110579243,8.324123735,3.184012699,1,0,0,New_UI
29.0,5.0,0,8.539894614,2.0,,7.745137621,-2.0,1.67087526,1,0,0,New_UI
34.0,7.0,0,0.0,3.0,8.700066789,6.804178144,6.805426876,2.647962259,1,0,0,Old_UI
33.0,10.0,0,7.41412916,0.20196941,0.0,9.44939688,1.0,1.490082533,1,0,0,Old_UI
17.0,13.0,1,1.456349558,2.716326176,6.061303716,3.547600541,1.250226327,8.612878227,0,0,1,New_UI
44.0,,0,0.422476182,8.961779165,3.401768284,4.511726763,1.444097984,8.936331415,0,1,0,New_UI
29.0,5.0,0,9.21084145,4.768985161,0.436506308,7.463480418,8.516526815,3.228093563,1,0,0,New_UI
35.0,8.0,0,2.66747415,4.0,7.095188446,4.976996806,1.788491997,5.0254847,0,1,0,New_UI
35.0,7.0,0,8.23658205,4.0,7.036764334,6.817092785,7.303504816,1.14757018,1,0,0,New_UI
34.0,9.0,0,8.09493404,3.494330187,8.170395292,6.306918831,-9.12815488,1.547882036,1,0,0,New_UI
33.0,15.0,1,3.919569473,2.692681598,2.385285695,2.44311713,11.26167153,5.100926804,0,0,1,Old_UI
24.0,7.0,0,9.612475595,0.866686631,5.289433556,6.263622972,4.0,5.058045658,1,0,0,Old_UI
38.0,9.0,0,5.016265725,9.964869236,8.180834775,4.939655903,0.762895367,-44.0,0,1,0,Old_UI
38.0,9.0,0,1.0,7.070619201,-3.0,1.737757115,2.0,6.724439948,0,1,0,Old_UI
17.0,9.0,0,4.1010425,7.36549742,1.815124985,2.993789338,0.280740518,-22.0,0,1,0,New_UI
18.0,10.0,1,5.945104904,3.500292095,5.82135208,8.873688671,-5.570843808,0.551053784,1,0,0,New_UI
18.0,12.0,1,2.138176403,1.520497822,3.112767811,3.0,3.136368702,3.178521475,0,0,1,New_UI
33.0,9.0,0,3.834270249,5.334372164,3.691639973,0.506960493,3.0,1.0,0,1,0,New_UI
29.0,3.0,0,5.244248595,4.323483689,4.373550604,4.539506064,4.0,2.0,1,0,0,Old_UI
28.0,5.0,0,0.0,3.138683332,6.767405994,9.279400652,6.920020426,2.142395503,1,0,0,New_UI
21.0,9.0,0,-1.0,2.6366097,5.664670628,8.214464321,9.786775303,3.496845528,1,0,0,Old_UI
36.0,9.0,0,4.841580372,8.632744056,5.532041963,5.960728617,2.0,6.96548754,0,1,0,Old_UI
27.0,10.0,0,8.837905441,3.219867235,4.358976549,8.619270603,9.046256832,4.509774557,1,0,0,New_UI
27.0,9.0,0,0.286401115,8.157968519,2.0,3.401834543,2.0,9.540237799,0,1,0,New_UI
25.0,5.0,0,8.901543415,2.930846477,8.221004617,6.567387773,8.708798522,1.690916717,1,0,0,New_UI
32.0,10.0,0,-1.0,2.751892458,8.16362441,7.903742965,8.962724685,1.542649527,1,0,0,Old_UI
40.0,14.0,1,4.894602187,3.0,5.0,8.926516137,9.522419328,3.0,1,0,0,Old_UI
37.0,7.0,0,0.363815452,9.825410569,7.377638238,,2.035095455,6.750473493,0,1,0,New_UI
34.0,9.0,0,1.238239016,8.415916373,5.624333055,3.219836717,4.0,9.087165152,0,1,0,New_UI
15.0,14.0,1,5.528351914,5.30639626,3.49484836,8.531927557,8.964185965,1.939955929,1,0,0,Old_UI
34.0,14.0,1,1.332781941,2.617746646,6.381882174,2.363310086,5.854367017,3.398828892,0,0,1,New_UI
31.0,10.0,0,1.021969759,6.278213504,5.42076301,2.297160673,5.0,1.0,0,1,0,Old_UI
38.0,9.0,0,1.930174843,9.220028074,4.551679084,5.788901112,4.0,6.071576974,0,1,0,New_UI
20.0,9.0,0,-66.0,5.072051311,6.388022287,7.918744057,9.581028085,3.250333186,1,0,0,Old_UI
20.0,3.0,0,6.667237297,3.021590662,8.056279157,6.992661331,7.715975886,1.366580981,1,0,0,New_UI
39.0,3.0,0,3.588976487,9.199933442,8.111041036,2.311636681,3.0,7.050799232,0,1,0,New_UI
35.0,6.0,1,4.170838171,2.230252864,7.97212241,0.0,7.72682689,3.142410918,1,0,0,Old_UI
27.0,6.0,0,8.82271241,2.111471369,8.686578619,2.635827243,9.723059278,3.0,1,0,0,Old_UI
25.0,10.0,0,2.0,8.53560992,0.999440152,3.984217629,0.168003958,5.0,0,1,0,New_UI
35.0,,0,7.82773621,0.279333014,4.0,9.726557532,20.43871955,3.759750135,1,0,0,Old_UI
39.0,6.0,0,-66.0,9.648160155,6.711077361,2.0,1.0,-33.0,0,1,0,Old_UI
24.0,6.0,0,-33.0,8.379468196,2.108176823,0.837988029,2.074113261,7.577283155,0,1,0,New_UI
38.0,8.0,0,1.0,0.0,4.388527662,3.665928408,0.308484651,4.379367963,0,1,0,Old_UI
22.0,12.0,1,1.680768908,5.725849376,6.722831244,3.693137142,0.831242316,3.985802226,0,0,1,Old_UI
22.0,6.0,0,8.071949528,1.008316359,8.344927372,6.503939624,8.378571662,2.520876172,1,0,0,Old_UI
,5.0,0,0.739288717,8.604577085,2.309729757,0.78666401,2.530153616,9.301180327,0,1,0,New_UI
39.0,3.0,0,8.478725948,3.539228217,9.408977669,8.856650083,-2.144033677,0.993338728,1,0,0,New_UI
,,1,5.249537404,3.457428756,5.838194477,0.977514909,16.2344318,5.596686613,0,0,1,New_UI
29.0,6.0,0,7.480082922,2.618577536,0.4332166,5.753899114,9.797358852,0.010700605,1,0,0,New_UI
34.0,5.0,0,9.089777343,2.821054279,9.341998079,6.703651478,7.894032647,3.480945138,1,0,0,New_UI
35.0,10.0,1,3.0,8.409356591,4.689518673,0.187944848,2.806918942,7.751131075,0,1,0,New_UI
24.0,4.0,0,2.639719026,5.039564973,0.584982049,1.953941089,2.235720923,9.826621601,0,1,0,New_UI
35.0,5.0,1,2.53995328,3.979993182,5.882514632,2.420101075,1.563992505,6.977394624,0,1,0,Old_UI
15.0,6.0,0,7.325404759,1.356973269,5.724397716,7.894157297,7.282242164,2.657226686,1,0,0,Old_UI
32.0,6.0,0,-11.0,7.296550241,6.899747107,4.965124977,2.0,8.434897675,0,1,0,New_UI
29.0,8.0,0,4.103882221,9.798803915,0.788733479,1.24316909,0.787391282,7.603444414,0,1,0,Old_UI
29.0,,1,6.318681582,5.422644289,1.774465425,4.0,7.537404285,3.507570375,1,0,0,Old_UI
35.0,5.0,0,3.0,4.0,4.123241688,,0.639309669,4.087075989,0,1,0,New_UI
26.0,3.0,0,1.048835712,9.496349802,2.938796646,4.487080991,2.7001949,3.0,0,1,0,New_UI
36.0,,0,9.177969134,1.550678693,9.772608766,9.022601284,9.862148692,4.629932825,1,0,0,Old_UI
33.0,6.0,0,1.106338285,9.33223464,2.826399695,2.673640609,1.414488712,0.0,0,1,0,Old_UI
17.0,14.0,1,3.324470693,5.471380318,6.659555627,3.478578029,4.199699288,7.727089871,0,0,1,Old_UI
,14.0,1,3.02883984,3.472624751,7.475190679,,16.07216326,4.772645769,0,0,1,Old_UI
,9.0,0,2.180753673,6.867936206,1.353600913,3.157529934,1.0,5.0,0,1,0,New_UI
15.0,14.0,1,4.659281317,3.328067316,6.943537864,5.613904627,3.398036598,6.839682867,0,0,1,Old_UI
31.0,5.0,0,8.80144754,2.154748778,9.074272053,6.467340057,7.36761435,3.821704076,1,0,0,Old_UI
36.0,7.0,0,3.781701035,1.0,4.230409099,4.569390761,2.203823804,7.350496359,0,1,0,New_UI
21.0,10.0,0,9.157636092,0.628307013,,7.322788836,8.822449533,4.464427267,1,0,0,New_UI
31.0,10.0,0,8.849687876,4.092182922,8.8729464,6.656068166,7.799526319,0.093043188,1,0,0,New_UI
28.0,10.0,0,-44.0,7.822293022,3.0,0.856250524,3.0,8.770120113,0,1,0,New_UI
22.0,10.0,0,3.304354682,3.0,1.003464356,2.0,2.0,3.0,0,1,0,Old_UI
37.0,7.0,0,0.790755451,7.480140014,5.956130431,1.040630135,-7.883732969,6.565092443,0,1,0,Old_UI
46.0,13.0,1,0.381167825,6.257971035,2.358987711,5.035264374,1.356158015,6.662126604,0,1,0,New_UI
28.0,8.0,0,1.0,9.819709567,2.222322973,2.277656109,4.0,8.119714931,0,1,0,New_UI
42.0,6.0,0,-88.0,8.595139157,3.05508537,3.621324776,0.462155326,4.051654603,0,1,0,New_UI
45.0,8.0,1,8.169991764,0.763185592,8.358628341,8.293104325,9.57164931,0.124091814,1,0,0,New_UI
21.0,5.0,0,9.389286685,4.0,7.422224471,,2.0,3.187971327,1,0,0,New_UI
23.0,4.0,0,5.0,0.615956199,5.464172638,7.40686079,3.0,0.802778668,1,0,0,New_UI
44.0,3.0,0,1.191193428,3.420392762,5.790758156,4.710159143,2.737216424,8.322992786,0,1,0,Old_UI
31.0,7.0,0,9.641644127,3.747971634,6.02356444,6.514354468,8.917099524,3.242138084,1,0,0,Old_UI
39.0,10.0,0,6.407549873,3.900592832,5.0,5.622506741,9.388123199,3.037041714,1,0,0,New_UI
,8.0,0,8.338374561,4.123928459,9.823440786,,8.12805594,2.566377609,1,0,0,New_UI
20.0,8.0,0,1.718407039,9.045582308,3.436507503,4.048933166,2.0,8.776423859,0,1,0,Old_UI
18.0,7.0,0,8.628719619,0.739229187,7.732331665,7.723312329,4.0,3.0,1,0,0,Old_UI
15.0,13.0,1,2.122170719,1.439566392,,2.239315031,4.283700125,4.12775285,0,0,1,Old_UI
37.0,7.0,0,9.329047205,0.703275919,7.667640167,6.943670586,9.283683703,5.314701527,1,0,0,Old_UI
35.0,14.0,1,1.766099779,3.310116465,6.30359829,6.63052608,2.0,6.788107345,0,0,1,New_UI
32.0,3.0,0,3.727127134,0.0,6.57570929,2.800802843,1.83262203,9.7687426,0,1,0,New_UI
32.0,9.0,0,2.029141463,7.531706292,6.967239845,4.621033114,2.0,9.161145781,0,1,0,Old_UI
20.0,6.0,0,2.969239705,0.0,0.48977916,4.749712231,1.464840094,8.930113205,0,1,0,New_UI
25.0,6.0,0,9.308307999,3.0,7.540156052,7.931925729,9.814092505,4.527719918,1,0,0,New_UI
23.0,3.0,0,6.681325246,2.043226493,5.281380281,6.573524152,3.0,3.005452277,1,0,0,Old_UI
15.0,14.0,1,2.205484151,4.152790216,7.943223698,3.926665226,5.617177231,3.180755693,0,0,1,Old_UI
30.0,5.0,0,8.314666488,1.103409694,9.97830992,,8.750538065,3.581212845,1,0,0,New_UI
34.0,3.0,0,6.932411008,4.0,9.351774484,6.332313674,1.0,4.727734898,1,0,0,Old_UI
20.0,8.0,0,1.09216163,1.0,2.0,2.618381589,1.776274534,-44.0,0,1,0,New_UI
17.0,,1,4.808252111,0.675937052,6.920008835,2.0,0.0,2.203380568,1,0,0,Old_UI
24.0,7.0,0,1.177006719,9.830253586,3.0,5.288842142,2.127581344,7.753509444,0,1,0,New_UI
37.0,9.0,0,1.630248417,9.23877622,6.392265031,1.242788647,0.475288796,8.647511195,0,1,0,Old_UI
31.0,11.0,1,2.716510824,4.016093413,6.599470176,0.081701203,5.111786888,4.484357425,0,0,1,Old_UI
50.0,12.0,1,6.292131992,0.883013609,6.313266306,9.940088827,8.022372853,4.085895078,1,0,0,Old_UI
27.0,14.0,1,3.584592765,2.818890992,4.156867469,1.510692418,4.443322241,5.977624759,0,0,1,New_UI
27.0,5.0,0,-77.0,8.244963989,3.0,0.071108932,3.0,8.363963315,0,1,0,Old_UI
45.0,6.0,0,2.408326433,8.540180086,7.967109422,1.0,2.119952497,6.114473503,0,1,0,New_UI
48.0,9.0,0,4.555143615,3.844319612,8.430726673,6.321693695,5.0,-22.0,1,0,0,Old_UI
35.0,14.0,1,1.988900388,2.0079227,7.816460686,2.418086953,1.50738477,5.820302769,0,0,1,Old_UI
24.0,10.0,0,9.946793033,5.039079442,5.545425847,6.846729537,7.105315763,1.939580948,1,0,0,Old_UI
39.0,,0,9.32997929,6.509170651,9.647834387,7.413064039,8.010352177,0.386313085,1,0,0,Old_UI
30.0,10.0,0,3.1960152,1.0,3.083424027,4.693138272,0.250485375,9.360226261,0,1,0,New_UI
21.0,4.0,0,1.779668379,8.204778291,1.491401181,4.028678135,1.178337245,8.797993229,0,1,0,Old_UI
18.0,13.0,1,3.746593225,4.545946141,7.118808267,2.875131152,1.808307524,6.917894671,0,0,1,Old_UI
29.0,9.0,1,4.466065672,2.757282062,2.47191132,8.955844166,8.699432549,4.04932808,1,0,0,New_UI
22.0,4.0,0,6.413480766,3.500864964,5.541856563,5.983348911,9.293023628,2.0,1,0,0,Old_UI
20.0,13.0,1,4.950013799,0.80829661,4.628823052,9.00091546,8.680429308,3.685814802,1,0,0,Old_UI
29.0,7.0,0,3.0,3.894938167,1.0,7.280724676,9.211317954,1.052864075,1,0,0,New_UI
37.0,10.0,0,-99.0,9.105243998,6.157263812,3.152690938,2.0,6.343651664,0,1,0,Old_UI
25.0,9.0,0,4.824716565,9.618716881,3.537427512,4.512758244,1.297257842,8.777313924,0,1,0,New_UI
34.0,15.0,1,4.596544337,8.151099185,4.24488192,1.754473739,3.0,9.041588561,0,1,0,New_UI
31.0,15.0,1,3.286601742,6.12453659,6.615057373,5.965985294,2.194777843,4.029772435,0,0,1,Old_UI
18.0,,0,4.000643695,7.644043725,1.561178635,1.285790132,2.0,8.3832418,0,1,0,New_UI
34.0,14.0,1,7.985982086,1.402929175,8.305928205,4.0,9.181793977,1.181190464,1,0,0,Old_UI
32.0,3.0,0,2.002659585,9.718489969,7.589758798,0.7028753,1.585293278,5.0,0,1,0,New_UI
33.0,10.0,0,3.539446122,8.170313933,4.03605404,3.459402657,0.804134756,1.0,0,1,0,Old_UI
48.0,12.0,1,2.807846829,6.517847296,5.278015412,1.0,1.405418203,9.032209904,0,1,0,New_UI
24.0,7.0,0,4.840808832,9.314208566,2.576345213,2.801503536,0.491267821,8.072062601,0,1,0,New_UI
24.0,7.0,1,3.0,5.833700806,1.681427819,3.919448926,1.938031527,9.116363536,0,1,0,New_UI
43.0,6.0,0,2.0,7.163299277,2.678437813,2.938588189,0.438067756,4.630281639,0,1,0,New_UI
32.0,10.0,0,8.325074196,3.63882409,8.775849137,7.389336879,8.046174937,3.505738764,1,0,0,New_UI
36.0,9.0,0,0.818147944,1.0,6.471810502,4.537857544,3.237404066,8.382835235,0,1,0,New_UI
33.0,9.0,0,3.321313641,0.0,1.956648028,2.248709632,2.25233858,5.0,0,1,0,New_UI
20.0,7.0,1,8.047754724,2.982370056,7.845306841,2.0,8.633195094,3.403596418,1,0,0,Old_UI
,3.0,0,4.0,0.019393017,4.652561479,6.954450255,8.289445504,2.263146608,1,0,0,New_UI
24.0,8.0,0,7.549732872,0.30757181,6.434381534,6.144967912,7.550831511,1.574047167,1,0,0,New_UI
33.0,7.0,0,2.0,3.326686912,4.0,6.717237238,6.515963018,3.642665327,1,0,0,Old_UI
31.0,10.0,0,0.31034889,5.381889452,3.946221863,3.972261357,1.387292022,0.0,0,1,0,New_UI
29.0,3.0,0,5.510700677,3.383870707,2.936079581,4.722408949,8.913437677,-77.0,1,0,0,New_UI
31.0,15.0,1,3.234941024,2.062670681,5.447850912,,1.432613778,5.764327308,0,0,1,Old_UI
33.0,4.0,0,5.153980317,8.315264409,4.876146394,3.47568005,2.657556478,5.28026262,0,1,0,New_UI
50.0,14.0,1,3.525886878,8.580566999,6.629571901,1.536875245,2.559339541,9.206921414,0,1,0,Old_UI
19.0,13.0,1,5.061261349,3.822283093,,7.377240303,9.669255342,2.410883913,1,0,0,Old_UI
43.0,13.0,1,1.0,7.294612157,3.812677552,5.831345361,3.0,6.391035511,0,1,0,Old_UI
19.0,11.0,1,1.025501233,3.571517365,2.98692144,2.0,7.405593224,-44.0,0,0,1,New_UI
47.0,14.0,1,2.64285038,1.724647182,8.153243571,2.0,0.0,0.046658494,1,0,0,Old_UI
44.0,15.0,1,8.13769622,0.015947893,8.072541419,8.916085049,8.888613983,4.04370158,1,0,0,Old_UI
20.0,8.0,0,9.261735396,0.619067239,3.686572596,8.487538562,8.35915168,0.043299008,1,0,0,New_UI
36.0,,0,2.405639548,2.0,4.380622494,2.786895491,2.321374221,6.717850037,0,1,0,New_UI
40.0,15.0,1,1.531728518,4.985703276,4.403621344,3.456334706,3.855857636,5.157676811,0,1,0,Old_UI
28.0,8.0,0,2.115203214,8.14422394,3.0,1.362916837,4.0,4.0,0,1,0,Old_UI
18.0,11.0,1,2.669009939,3.857107538,7.518670263,4.470507507,1.215681113,4.372625608,0,0,1,Old_UI
32.0,8.0,0,9.415154861,2.391375792,0.0,8.1513064,9.541633533,1.597061051,1,0,0,Old_UI
24.0,5.0,0,8.654946629,0.842710642,4.158486729,8.486793776,3.0,3.615653377,1,0,0,New_UI
22.0,14.0,1,1.611592025,4.528347126,4.210943606,1.304150419,5.458962141,4.691704905,0,0,1,Old_UI
,9.0,0,1.824496362,9.801851012,5.192276547,0.849653211,1.667299224,6.126219521,0,1,0,New_UI
19.0,4.0,1,1.342012677,4.348945222,0.367259919,2.820153073,1.307827228,8.835979962,0,1,0,New_UI
22.0,7.0,0,8.516185358,4.73391872,4.451142802,8.381409307,4.0,3.952994626,1,0,0,New_UI
34.0,9.0,0,4.11386721,3.0,,2.87097399,3.0,9.782804894,0,1,0,New_UI
25.0,8.0,0,5.883270279,8.392332791,0.353541843,1.481979777,1.066199321,8.296618069,0,1,0,New_UI
,4.0,0,1.377418776,5.0,1.0,2.803518149,1.917114539,8.699678136,0,1,0,New_UI
28.0,3.0,0,2.0,-1.0,0.76689712,6.161122751,2.997627167,7.823267447,0,1,0,New_UI
39.0,3.0,0,9.567067351,3.164548565,9.934481718,6.498145589,9.959310832,0.764778176,1,0,0,Old_UI
16.0,14.0,1,1.499753994,5.229966155,4.587874916,1.087230122,5.092221667,4.039557777,0,0,1,New_UI
17.0,7.0,0,6.71608717,2.450516805,,6.966192289,9.478549332,1.910866871,1,0,0,New_UI
25.0,7.0,1,6.804116135,2.797312873,7.227649752,9.220491407,8.600007077,3.081051492,1,0,0,Old_UI
29.0,10.0,0,-33.0,1.871819716,,8.331944565,9.708737278,1.459919287,1,0,0,New_UI
27.0,14.0,1,-66.0,3.094168083,6.731019485,3.0,3.392206897,8.53058416,0,0,1,Old_UI
29.0,6.0,0,6.083002846,0.397174972,2.271345021,9.113778659,8.804431131,1.015005901,1,0,0,New_UI
21.0,4.0,0,2.92273155,7.496222507,1.0,1.047778869,3.934247717,7.412748525,0,1,0,New_UI
29.0,12.0,1,2.506717839,4.661252344,6.00910503,,4.988052041,4.478731458,0,0,1,Old_UI
28.0,5.0,0,3.09290561,7.606023696,1.91184563,1.962268707,1.096408394,9.567372771,0,1,0,New_UI
16.0,11.0,1,3.631688969,4.528889682,3.801413124,4.317796914,3.683117817,7.515334943,0,0,1,New_UI
,6.0,0,1.0,9.951343221,5.705540744,0.896873211,2.038802418,5.232690805,0,1,0,New_UI
24.0,9.0,0,3.0,9.654640505,2.459383251,4.657503794,0.08097942,-11.0,0,1,0,New_UI
21.0,10.0,0,0.632250904,5.09238212,2.0,,1.378353177,9.754531824,0,1,0,New_UI
44.0,9.0,0,0.026846798,5.470849421,7.395273798,,1.718857092,7.73261806,0,1,0,New_UI
21.0,8.0,0,7.086138081,0.338119733,4.264024622,8.477452025,8.63821368,3.705191599,1,0,0,Old_UI
26.0,8.0,0,1.796449854,8.269890242,1.101283775,3.0,5.0,7.083660012,0,1,0,New_UI
25.0,8.0,0,7.905505044,2.184224926,2.513947689,8.112181386,5.0,3.555498574,1,0,0,New_UI
,8.0,0,-1.0,3.20509616,9.542462282,8.595580926,1.0,0.644191657,1,0,0,Old_UI
39.0,8.0,0,8.52437994,2.603891465,8.513803961,8.087496603,5.0,3.754143159,1,0,0,New_UI
25.0,8.0,0,4.0,8.667803484,,2.967772804,0.691223899,9.970712472,0,1,0,Old_UI
15.0,11.0,1,4.456344493,2.288202062,9.189177386,1.630574095,2.0,3.247346027,0,0,1,Old_UI
45.0,,1,5.092346149,2.905674078,8.832690408,9.636507458,8.568546824,0.387776228,1,0,0,Old_UI
31.0,9.0,0,1.745281156,9.328142982,4.636552704,2.189702977,1.88007154,8.302763891,0,1,0,New_UI
20.0,,0,4.08138243,9.712042604,2.0,0.27884875,1.221742558,7.20204287,0,1,0,New_UI
18.0,5.0,0,9.246180193,3.181493952,,6.51042699,8.625550681,2.179936723,1,0,0,New_UI
27.0,6.0,0,9.453987838,3.430539581,6.162048253,7.816463486,8.459483861,-55.0,1,0,0,New_UI
20.0,15.0,1,2.915213317,2.311891815,5.938763158,0.848603919,3.146570222,7.568254518,0,0,1,Old_UI
25.0,3.0,0,8.538509565,2.08504819,5.311030233,,8.736521246,-33.0,1,0,0,New_UI
36.0,3.0,0,5.403338493,9.929775951,6.742592032,1.864357908,2.125253277,5.099496914,0,1,0,New_UI
36.0,8.0,0,9.393044274,2.134713981,7.831954088,7.233924992,3.0,1.203944679,1,0,0,Old_UI
26.0,8.0,0,4.071501545,9.54027036,2.933335976,0.089395995,1.642881136,7.946181727,0,1,0,New_UI
34.0,11.0,1,0.809895837,9.307262231,8.171391488,0.155410008,0.135613892,9.668990442,0,1,0,Old_UI
34.0,6.0,0,5.706208848,9.799367585,5.486882077,3.038847414,0.496158913,-1.0,0,1,0,New_UI
23.0,12.0,1,2.665036321,5.18981833,5.301214237,2.239331337,1.0,5.60168918,0,0,1,Old_UI
32.0,3.0,0,8.016685916,4.0,8.799440577,,7.97339867,2.26696053,1,0,0,New_UI
35.0,3.0,0,2.0,2.677702405,6.795531219,7.178752512,0.0,1.833540871,1,0,0,New_UI
,3.0,0,7.869560233,2.559258845,7.871602414,5.539919104,9.981880273,4.695299188,1,0,0,New_UI
32.0,6.0,0,3.0,7.765300781,6.520969595,4.912011696,3.597552387,9.210789255,0,1,0,Old_UI
39.0,6.0,0,9.136836044,2.618837667,8.112079077,8.139358272,7.803505253,4.0,1,0,0,Old_UI
23.0,3.0,0,2.399292173,7.402261592,1.877467257,5.043112496,2.344632937,9.418809328,0,1,0,Old_UI
26.0,15.0,1,4.035744973,3.10035209,5.390436517,1.207294355,5.076877875,2.821291567,0,0,1,Old_UI
30.0,6.0,1,0.128624314,5.004316293,,5.575098339,3.0,8.288946168,0,1,0,New_UI
33.0,3.0,0,8.567201655,4.681128751,5.0,6.781939822,1.0,3.903210972,1,0,0,Old_UI
37.0,9.0,0,3.64394197,9.745688949,4.754668596,5.234208483,1.0,6.771364113,0,1,0,New_UI
50.0,15.0,1,4.92603406,2.390161521,,8.919718177,8.926937284,1.261195667,1,0,0,Old_UI
22.0,8.0,0,3.899627027,9.644767361,0.186919735,1.691806294,1.76433996,3.0,0,1,0,New_UI
18.0,12.0,1,2.726106628,2.150480544,6.64455245,0.71926752,12.60203059,-22.0,0,0,1,New_UI
21.0,9.0,0,2.751138658,8.826882483,0.513840886,1.0,3.0,8.164558313,0,1,0,New_UI
