V1,V2,V3,V4,V7,V9,V11,V12,Class
6.87,3069,0.14,2,6000,1,1.53,1,class4
1.8,3476,0.53,1,3038,1,0.56,1,class5
5.53,3463,0.14,2,4548,1,1.55,1,class4
1.45,3475,0.49,0,6533,0,0.64,1,class3
5.59,3481,0.48,2,6552,2,1.77,1,class3
7.33,3132,0.5,0,3408,2,2.03,1,class4
6.95,3471,0.46,1,4242,2,1.05,1,class5
7.28,3131,0.41,1,7055,1,1.15,1,class3
5.66,3100,0.47,2,5815,1,1.49,2,class1
1.66,3487,0.44,1,4007,1,1.17,2,class5
1.63,3162,0.4,0,4237,2,0.79,0,class3
6,3581,0.52,1,7082,1,1.32,1,class2
1.62,3480,0.4,0,7322,2,2.01,1,class3
1.88,3342,0.14,2,5960,0,1.25,1,class4
1.42,3074,0.41,0,6794,2,0.67,0,class5
1.53,3558,0.44,1,5269,2,1.11,1,class1
7.88,3138,0.53,1,7290,1,1.29,2,class1
1.67,3219,0.59,2,3113,2,0.55,1,class2
1.61,3430,0.52,1,4595,0,0.56,0,class5
5,3099,0.13,2,3787,1,1.33,1,class5
7.24,3132,0.57,0,3062,0,1.48,1,class5
4.84,3137,0.48,0,7198,0,0.89,0,class3
7.19,3388,0.4,1,3071,2,1.03,1,class2
1.46,3472,0.59,1,4538,2,0.57,1,class5
3.1,3469,0.53,1,6348,1,1.54,1,class2
1.69,3201,0.42,2,4528,1,1.17,1,class4
5.89,3075,0.44,2,6372,0,1.69,0,class5
5.52,3603,0.32,1,3272,0,1.98,1,class5
1.6,3076,0.62,1,6650,1,1.98,2,class4
7.89,3347,0.14,2,3461,1,1.44,1,class5
3.18,3414,0.46,2,3394,0,0.56,1,class3
7.05,3464,0.41,2,4802,2,1.01,1,class2
1.43,3087,0.5,0,4480,0,0.77,1,class5
4.04,3378,0.5,2,4836,2,0.82,0,class4
6.41,3238,0.47,1,6323,0,0.68,1,class5
1.45,3077,0.15,0,4504,0,0.56,1,class5
5.49,3593,0.23,1,5864,1,1.76,1,class4
5.69,3094,0.51,1,3734,1,1.28,1,class1
8.06,3426,0.27,1,7062,0,1.66,1,class3
2.05,3110,0.59,0,6012,0,1.15,1,class3
2.11,3555,0.52,0,3310,2,1.81,1,class5
5.57,3479,0.2,1,3536,2,0.55,1,class5
5.67,3480,0.64,2,6843,0,0.56,0,class3
1.9,3486,0.47,0,7139,1,1.56,1,class3
2.19,3072,0.13,0,4183,2,1.35,1,class3
6.58,3566,0.55,1,6211,0,0.56,2,class5
2.38,3539,0.28,0,4424,0,0.56,0,class5
5.43,3466,0.64,2,3254,0,1.81,2,class4
1.6,3469,0.28,0,7221,2,0.55,1,class5
3.2,3476,0.13,2,4512,1,1.61,0,class4
7.97,3487,0.51,0,6913,0,1.76,0,class3
8.21,3534,0.14,1,3314,2,1.31,1,class4
1.85,3069,0.13,1,4497,1,1.26,1,class5
5.22,3119,0.52,0,3329,1,1.92,0,class3
1.7,3616,0.52,2,7158,1,1.42,1,class1
3.49,3391,0.52,2,4450,1,1.96,0,class3
4.35,3091,0.48,1,3066,1,1.29,0,class4
7.26,3087,0.23,2,7313,1,1.77,2,class1
4.44,3355,0.42,0,4635,1,1.25,0,class4
3.63,3074,0.17,1,7296,1,2.07,2,class5
5.43,3532,0.41,1,6604,2,1.82,1,class3
1.58,3564,0.45,1,3572,1,1.12,0,class3
1.47,3152,0.51,1,6313,1,1.61,0,class5
2.2,3599,0.18,2,7361,2,1.23,1,class3
1.61,3486,0.46,1,4153,1,0.58,1,class3
6.99,3473,0.38,2,4045,2,1.17,2,class4
6.63,3085,0.39,0,3320,2,1.62,0,class5
7.29,3069,0.13,2,3941,1,1.3,1,class5
1.51,3146,0.52,0,7245,1,1.67,0,class2
2.15,3296,0.48,0,7187,1,1.59,0,class5
6.47,3291,0.47,2,3701,2,0.79,1,class3
1.62,3580,0.36,0,7319,1,1.95,0,class5
5.58,3295,0.14,0,4550,2,1.49,1,class5
1.63,3462,0.13,2,7283,1,1.16,0,class3
6.66,3242,0.54,2,3216,0,1.27,2,class2
6.68,3533,0.42,2,3260,2,1.89,1,class5
2.5,3073,0.13,1,3402,1,1.77,0,class3
5.56,3147,0.5,0,4534,0,0.91,1,class5
5.54,3079,0.51,0,4578,1,1.9,0,class2
1.96,3284,0.42,0,7166,2,1.75,1,class3
6.22,3092,0.4,0,3261,1,2.03,1,class1
5.2,3477,0.14,0,3230,1,0.65,0,class1
2.65,3215,0.51,0,3429,0,1.63,0,class5
1.92,3085,0.52,1,3190,1,1.44,1,class2
4.29,3467,0.14,2,7265,1,0.86,2,class4
5.73,3563,0.52,1,4767,1,1.07,1,class4
5.47,3097,0.13,1,3798,2,1.2,1,class5
5.43,3084,0.49,0,3265,1,0.59,0,class2
7.48,3143,0.52,1,3028,0,1.75,0,class2
5.64,3118,0.46,2,3151,0,1.06,1,class4
6.42,3140,0.46,0,3523,0,0.71,1,class1
2.03,3081,0.13,0,3148,0,1.2,1,class5
1.78,3470,0.13,2,4513,0,1.28,1,class4
1.49,3070,0.44,2,6686,2,1.93,0,class5
4.6,3101,0.15,1,5438,2,1.16,0,class5
1.76,3086,0.58,2,7158,0,2.02,1,class5
7.96,3138,0.47,1,6986,0,1.02,1,class1
6.76,3070,0.53,1,7312,1,1.8,2,class2
7.05,3091,0.24,0,4495,0,0.9,1,class2
6.72,3466,0.53,0,6464,1,1.34,2,class4
7.41,3108,0.18,1,3354,1,2.01,0,class3
2.06,3550,0.14,2,3162,2,1.6,1,class5
1.64,3075,0.47,0,7253,0,0.56,0,class3
6.5,3120,0.13,2,4474,1,0.62,2,class5
6.03,3623,0.31,0,3910,1,1.78,2,class5
6.46,3146,0.14,0,4493,0,1.25,1,class5
1.5,3117,0.48,2,4456,1,1.58,0,class4
3.84,3587,0.65,0,5897,1,0.57,2,class1
1.5,3149,0.42,1,3339,2,1.06,0,class5
1.57,3071,0.53,0,7324,1,1.33,0,class5
1.63,3076,0.46,0,3177,1,1.57,0,class1
1.7,3072,0.13,2,7330,1,1.24,2,class3
1.62,3479,0.62,0,4562,0,1.71,2,class4
7.26,3069,0.5,2,4583,1,0.55,2,class5
5.43,3069,0.13,1,7314,1,1.5,1,class2
6.09,3489,0.13,1,6608,2,1.54,1,class5
6.47,3120,0.67,0,3100,0,1.63,1,class3
5.98,3471,0.46,0,6595,2,0.98,1,class5
1.46,3132,0.47,2,4753,1,1.3,2,class4
5.81,3070,0.67,2,7168,2,0.56,1,class4
1.55,3089,0.66,0,6901,2,0.57,1,class2
7.57,3350,0.55,1,6622,0,1.29,1,class3
6.54,3490,0.6,2,5281,0,0.56,0,class4
1.64,3568,0.49,1,6276,1,1.31,0,class2
1.46,3538,0.6,2,4917,0,1.88,1,class2
3.64,3071,0.14,0,4391,0,0.84,1,class1
1.53,3102,0.14,2,4515,1,0.95,2,class2
1.55,3477,0.31,0,6787,2,0.55,1,class1
2.01,3113,0.63,2,7187,1,1.87,0,class4
1.65,3471,0.42,0,4653,2,0.84,1,class4
5.53,3081,0.5,0,4595,0,0.82,1,class5
6.54,3555,0.51,0,3877,0,0.56,0,class4
1.71,3338,0.48,1,7358,1,1.93,1,class4
6.61,3123,0.41,2,4784,0,0.55,1,class4
1.44,3115,0.46,2,5995,0,1.17,0,class4
7.58,3422,0.14,1,3197,2,1.48,1,class4
1.55,3482,0.5,2,3036,1,1.23,0,class5
5.47,3490,0.51,1,4250,1,1.28,1,class5
1.5,3073,0.49,1,6145,1,1.44,1,class2
6.79,3105,0.41,1,3716,1,0.56,0,class2
1.88,3163,0.53,1,3554,1,0.55,1,class3
8.02,3249,0.43,2,7256,2,0.55,1,class5
7.12,3488,0.47,1,6874,2,1.79,2,class5
2.23,3542,0.13,0,6481,0,1.3,1,class3
2.12,3581,0.39,0,3340,1,1.18,1,class5
7.35,3304,0.47,1,4474,0,0.58,1,class3
2.23,3096,0.19,0,4506,2,0.55,2,class5
2.03,3110,0.46,1,3103,1,0.69,0,class5
1.57,3081,0.46,2,4752,1,1.59,0,class4
1.57,3242,0.59,1,5482,0,1.75,1,class5
1.56,3130,0.62,2,3069,2,0.8,1,class5
1.75,3135,0.47,2,6781,1,1.57,1,class5
1.42,3447,0.22,1,5173,1,1.65,1,class4
8.23,3084,0.62,1,6679,1,0.6,1,class3
1.49,3468,0.48,1,3290,0,0.65,2,class4
5.53,3479,0.13,1,7065,0,0.94,1,class5
2.2,3075,0.56,1,4531,1,0.55,1,class5
7.63,3598,0.52,0,4648,1,1.71,1,class4
2.02,3106,0.33,2,7252,0,0.56,1,class5
1.45,3098,0.52,0,7223,1,1.36,0,class2
5.5,3159,0.13,1,4828,1,1.31,1,class4
6.73,3115,0.43,0,3141,0,0.55,2,class2
1.83,3072,0.42,0,7258,0,1.76,1,class5
1.61,3102,0.51,0,3270,1,0.55,1,class5
5.5,3112,0.67,0,3031,1,0.56,2,class5
7.09,3133,0.51,1,4472,1,1.71,1,class5
1.53,3520,0.44,2,4199,0,0.58,1,class5
3.44,3071,0.14,2,4482,1,1.57,0,class4
6.84,3218,0.14,1,3927,1,1.18,1,class3
5.01,3477,0.42,0,7278,1,0.86,1,class5
5.64,3532,0.33,1,4543,2,1.16,1,class4
2.04,3594,0.13,1,6444,2,1.44,2,class3
5.77,3069,0.51,0,5287,2,1.87,2,class4
2.37,3489,0.61,2,3835,1,1.2,0,class4
7.77,3086,0.14,2,4791,1,0.85,0,class4
1.81,3531,0.46,1,5381,0,0.59,2,class4
5.69,3087,0.2,0,3045,0,1.78,1,class2
1.53,3152,0.53,2,7130,2,0.6,0,class1
7.95,3477,0.28,0,6512,1,2.04,1,class4
4.33,3110,0.62,0,3278,0,1.46,0,class3
7.09,3407,0.19,1,3886,1,2.07,2,class1
1.91,3076,0.47,1,7058,0,1.13,2,class5
3.66,3338,0.53,1,6503,2,0.92,0,class5
7.39,3480,0.47,2,7195,0,1.08,1,class1
1.63,3127,0.61,1,3309,2,0.56,0,class3
1.83,3228,0.15,1,5779,0,0.55,1,class4
1.82,3097,0.52,2,6253,0,0.56,2,class2
7.45,3480,0.13,0,4590,0,1.24,1,class5
3.65,3112,0.14,2,5053,2,1.21,0,class4
5.6,3474,0.28,0,6439,0,0.56,1,class3
1.52,3140,0.62,0,7359,0,1.6,1,class2
5,3350,0.58,0,5602,2,0.57,0,class1
1.51,3607,0.14,2,3197,1,1.15,1,class3
2.77,3485,0.13,2,3786,2,0.55,0,class5
7.77,3114,0.21,0,7086,0,1.86,1,class5
1.63,3202,0.46,2,6274,1,1.28,0,class4
3.57,3104,0.53,0,3996,0,0.56,0,class5
1.43,3074,0.44,2,4017,1,1.2,2,class4
1.47,3071,0.13,1,3973,1,1.07,1,class3
1.63,3072,0.53,0,7291,1,1.4,0,class5
7.23,3079,0.52,0,7358,1,1.31,2,class2
1.44,3123,0.14,0,4584,1,1.54,0,class1
2.97,3486,0.41,2,4574,2,0.55,1,class4
2,3126,0.31,0,4584,2,1.19,0,class2
1.49,3145,0.65,2,6873,0,2.07,0,class4
5.48,3602,0.37,1,3590,2,0.56,1,class5
6.51,3484,0.13,2,4505,1,1.4,0,class4
1.58,3462,0.14,0,7325,1,1.16,1,class5
7.87,3361,0.22,1,4516,1,1.3,0,class2
7.68,3071,0.58,2,3928,0,1.74,1,class1
6.62,3429,0.53,0,3687,1,1.4,1,class4
7.99,3415,0.2,2,3137,1,1.63,0,class3
7.27,3128,0.22,1,3402,1,1.71,0,class2
4.9,3134,0.47,0,7341,1,0.55,2,class2
1.62,3075,0.13,0,7328,0,1.07,1,class5
3.22,3598,0.27,1,3993,1,0.55,0,class5
1.59,3071,0.56,0,3032,2,0.55,0,class4
3.29,3095,0.51,0,6115,1,1.8,0,class4
1.46,3295,0.48,1,4509,0,1.17,0,class2
1.84,3088,0.52,0,3345,1,0.56,1,class5
2.92,3083,0.5,1,3205,1,1.56,2,class4
1.61,3594,0.49,0,6635,1,1.36,1,class3
1.45,3292,0.53,1,3255,2,0.56,0,class4
5.56,3470,0.51,0,3262,0,0.77,1,class5
5.48,3072,0.14,0,7191,1,1.21,1,class1
7.09,3115,0.47,2,4773,0,0.56,0,class5
6.55,3114,0.14,1,3160,1,1.59,1,class3
1.53,3070,0.45,0,6449,2,1.65,0,class3
2.23,3489,0.4,0,3393,2,0.73,1,class5
7.69,3345,0.52,1,3001,2,0.55,1,class2
1.98,3589,0.47,1,5830,1,1.12,0,class4
7.35,3097,0.14,2,7114,1,1.54,0,class4
2.09,3551,0.15,1,5808,0,0.56,1,class5
4.51,3149,0.37,2,5916,0,0.55,0,class5
5.41,3286,0.5,1,3181,1,1.49,1,class5
1.75,3470,0.14,0,6968,0,1.43,1,class3
7.23,3603,0.46,2,3294,0,0.8,1,class5
5.62,3608,0.48,1,7275,0,1.24,1,class5
5.62,3518,0.43,1,3090,2,0.73,2,class3
5.58,3603,0.65,0,7212,0,1.97,1,class5
1.94,3583,0.52,0,6268,2,1.86,2,class4
1.71,3486,0.43,1,3498,0,0.6,1,class5
5.55,3180,0.14,1,4502,2,1.52,1,class5
1.86,3112,0.59,1,3989,0,1.78,1,class1
1.62,3075,0.14,1,3361,1,1.86,0,class4
1.49,3072,0.51,0,3361,0,2.03,2,class4
6.35,3149,0.34,2,6931,0,1.99,2,class4
7.81,3486,0.5,1,4398,0,1.12,1,class5
4.24,3513,0.13,0,3815,0,0.55,0,class5
1.44,3144,0.18,0,5501,1,1.94,1,class5
6.61,3114,0.14,0,7321,0,0.9,0,class5
5.13,3472,0.13,2,4547,2,1.37,0,class5
1.43,3547,0.13,1,5318,1,1.23,1,class3
5.59,3379,0.57,1,4349,2,0.6,1,class3
5.53,3138,0.14,2,4408,1,1.23,1,class2
1.66,3095,0.54,2,5440,1,1.27,2,class5
1.95,3094,0.46,1,5762,0,0.59,1,class4
8.16,3579,0.67,1,3079,2,0.6,1,class5
4.17,3188,0.26,0,3172,2,0.93,2,class5
3.53,3507,0.47,1,4036,0,0.55,2,class2
7.82,3477,0.46,0,3204,1,1.55,1,class1
5.47,3075,0.42,2,6557,0,0.56,1,class4
1.72,3070,0.14,1,6486,1,1.41,0,class1
7.12,3470,0.37,0,6542,1,2.07,0,class3
5.53,3480,0.13,2,4125,1,0.95,2,class5
1.87,3076,0.28,1,6590,2,0.56,1,class3
1.46,3484,0.13,0,3318,2,0.59,1,class5
1.43,3075,0.53,1,6404,0,0.56,0,class5
5.32,3228,0.13,0,5472,2,1.54,0,class1
4.24,3464,0.51,1,4559,0,1.52,0,class5
7.64,3596,0.25,1,4590,0,0.6,2,class4
5.55,3484,0.56,0,7208,2,1.17,1,class3
1.43,3131,0.61,1,7302,0,1.74,0,class1
6.32,3072,0.14,2,7343,1,1.26,1,class5
1.42,3469,0.46,0,4847,0,1.14,0,class2
1.55,3479,0.49,0,7275,1,1.36,2,class5
1.65,3472,0.59,0,7311,2,0.55,1,class5
1.63,3385,0.25,0,4252,0,2.07,2,class3
1.62,3541,0.47,0,5275,1,1.35,1,class4
5.53,3485,0.49,1,4552,1,0.6,2,class3
3.85,3480,0.14,2,4487,1,1.17,0,class4
7.06,3148,0.14,2,3227,0,1.17,1,class3
1.61,3264,0.22,2,7358,1,1.93,0,class1
3.49,3296,0.13,0,5159,1,1.41,0,class5
1.55,3397,0.31,0,3677,2,0.57,1,class3
1.43,3148,0.39,2,3421,2,1.03,1,class2
3.21,3252,0.51,1,3357,1,1.59,2,class3
5.46,3462,0.3,0,6290,2,0.56,1,class4
3.58,3094,0.41,0,3135,0,0.56,0,class4
1.47,3127,0.5,2,3320,2,1.79,2,class3
6.46,3140,0.41,2,7017,1,1.27,1,class5
7.5,3219,0.13,1,4513,2,1.66,0,class4
1.56,3586,0.14,2,3821,0,1.57,1,class5
2.74,3476,0.5,0,3940,1,0.97,2,class5
1.87,3508,0.22,2,6714,1,2.03,0,class1
7.07,3073,0.52,1,7319,1,1.56,2,class3
6.51,3477,0.4,2,3193,0,0.59,1,class1
5.47,3472,0.13,0,3523,2,1.48,1,class5
7.05,3093,0.45,0,7203,2,1.11,2,class2
1.7,3139,0.33,1,3035,2,1.23,0,class4
2.25,3237,0.13,2,3241,1,0.56,1,class5
5.55,3412,0.17,0,3081,0,0.55,1,class5
1.71,3082,0.51,2,4571,1,1.38,0,class4
8.29,3465,0.46,0,7323,0,1.68,0,class5
1.45,3130,0.53,1,3419,1,1.78,1,class2
5.89,3074,0.45,0,7226,2,1.01,1,class5
2.07,3534,0.53,2,4581,1,1.49,1,class5
5.43,3143,0.54,0,4581,0,1.84,1,class2
7.17,3479,0.5,1,7191,0,0.87,0,class5
1.82,3114,0.14,2,5814,2,1.55,2,class5
5.57,3467,0.45,1,4494,1,1.27,1,class5
1.53,3125,0.31,2,6966,2,0.67,1,class4
5.47,3382,0.47,2,4223,1,1.35,1,class3
5.68,3070,0.41,1,4582,2,2,1,class5
1.98,3478,0.53,0,7224,0,1.23,1,class5
1.66,3293,0.48,2,4560,0,1.24,1,class2
6.88,3472,0.52,1,3929,1,1.33,2,class5
3.18,3077,0.28,1,3338,1,1.86,0,class4
1.82,3090,0.48,2,4006,0,0.55,1,class3
8.34,3170,0.52,2,6012,2,2.03,2,class4
7.63,3538,0.62,1,5392,0,0.87,0,class4
4.02,3069,0.28,2,5066,1,1.95,0,class5
5.51,3464,0.28,2,7185,1,1.94,1,class5
7.74,3089,0.49,0,4551,0,1.24,1,class5
1.63,3516,0.14,2,7282,1,1.39,1,class5
5.5,3559,0.62,0,4362,0,1.17,1,class5
2.22,3073,0.13,2,3661,1,1.37,1,class4
1.84,3567,0.44,2,3886,1,1.19,1,class5
6.04,3543,0.13,2,4559,0,1.61,1,class2
1.66,3589,0.14,0,7319,1,1.28,0,class5
3.48,3464,0.13,2,7236,1,1.38,0,class5
8.1,3076,0.46,0,3594,0,1.23,0,class5
5.63,3109,0.18,1,4111,2,0.56,1,class3
1.51,3159,0.14,1,3396,1,1.39,0,class2
4.86,3132,0.46,0,4022,0,0.63,0,class2
5.59,3480,0.13,2,3315,1,1.01,1,class1
5.46,3093,0.52,0,3345,2,1.63,0,class5
4.16,3411,0.13,2,7160,1,1.9,2,class5
3.02,3084,0.32,0,7354,1,1.69,2,class2
6.47,3116,0.13,1,6896,0,2.03,0,class2
3.87,3487,0.19,0,6411,2,1.94,0,class3
8.06,3586,0.13,1,3143,1,1.16,1,class4
5.51,3220,0.43,1,4948,1,1.28,1,class2
1.6,3536,0.18,0,3670,2,1.24,2,class2
5.69,3547,0.42,0,6608,2,0.8,1,class5
1.79,3471,0.39,2,3089,2,1.12,0,class1
1.58,3098,0.45,0,5749,2,1.15,1,class3
4.63,3135,0.32,1,3773,2,0.55,1,class2
4.13,3081,0.52,0,4402,2,0.56,2,class5
1.71,3110,0.46,0,7356,2,1.55,1,class3
8.06,3310,0.39,0,7346,2,0.59,0,class2
2.69,3133,0.53,1,6852,0,0.55,2,class2
1.49,3476,0.46,1,3978,1,1.51,0,class2
1.6,3482,0.13,1,6374,2,0.56,1,class5
5.5,3071,0.48,0,3226,0,0.91,1,class1
1.88,3112,0.32,0,6518,0,2.02,1,class3
1.68,3136,0.31,0,3092,1,1.98,2,class5
1.55,3478,0.37,2,4533,0,0.55,1,class4
6.98,3565,0.26,2,3975,0,0.57,1,class3
1.6,3110,0.44,1,6620,2,0.55,1,class3
1.5,3143,0.24,2,7297,2,0.55,1,class1
6.66,3484,0.47,1,3378,0,0.81,2,class5
5.54,3482,0.19,2,6279,1,0.55,1,class5
8.04,3471,0.14,2,7142,2,1.45,2,class4
5.52,3102,0.21,1,4531,2,1.2,0,class5
1.46,3108,0.44,1,4515,1,1,2,class5
1.51,3591,0.53,0,3682,1,1.73,0,class5
1.43,3506,0.46,2,4518,1,1.18,0,class5
2.47,3087,0.14,1,5737,1,1.49,2,class5
5.48,3152,0.2,1,6420,1,1.88,1,class3
2.08,3139,0.39,1,7219,1,1.27,1,class4
6.74,3100,0.14,0,4572,0,1.49,1,class5
2.06,3140,0.47,1,3333,0,1.09,1,class2
1.77,3137,0.13,2,5920,1,1.24,2,class4
5.55,3088,0.47,2,4624,0,0.9,2,class4
4.6,3088,0.25,0,3255,1,1.75,0,class4
7.34,3104,0.41,2,5429,2,0.76,1,class3
7.76,3125,0.48,1,6342,2,1.04,1,class2
1.5,3124,0.37,2,4470,2,0.6,0,class5
1.45,3092,0.38,0,3048,0,0.55,0,class5
4.74,3489,0.65,1,4512,2,0.6,0,class3
5.59,3122,0.51,1,3296,0,0.55,2,class5
1.41,3485,0.52,2,4559,0,1.62,0,class4
1.67,3493,0.49,0,4481,1,1.5,1,class5
1.48,3581,0.13,0,6706,1,1.33,1,class3
1.59,3075,0.67,1,7055,0,1.87,1,class4
1.9,3073,0.67,1,4512,1,1.9,1,class2
1.75,3483,0.54,2,6789,0,1.35,1,class3
1.58,3075,0.19,2,7176,0,1.98,0,class5
7.37,3474,0.14,0,7345,0,1.15,1,class3
1.6,3546,0.59,2,4499,1,0.6,0,class5
5,3500,0.62,2,3285,0,0.55,0,class3
1.58,3122,0.41,2,5452,2,0.96,1,class4
1.64,3482,0.15,2,4495,2,1.26,0,class4
1.54,3548,0.5,1,4553,1,1.37,1,class5
1.67,3273,0.38,1,4496,0,0.73,1,class5
1.52,3074,0.52,2,7237,0,0.56,1,class1
6.1,3469,0.4,2,3929,1,1.18,1,class4
6.74,3101,0.53,1,6844,1,1.47,1,class3
5.57,3475,0.47,2,4377,0,0.74,1,class5
8.12,3365,0.51,1,6880,2,1.72,1,class3
1.6,3080,0.53,0,3819,2,1.72,1,class5
8.34,3071,0.63,2,4494,0,1.37,0,class4
1.95,3088,0.52,2,4538,0,0.56,1,class1
5.64,3148,0.53,2,4561,1,1.4,1,class5
1.58,3593,0.37,0,7301,2,0.55,1,class2
7.79,3444,0.16,1,6661,1,0.74,2,class1
7.57,3133,0.46,2,7165,0,1.05,1,class5
1.57,3071,0.48,1,5713,0,0.92,0,class4
1.83,3572,0.14,0,7080,1,1.45,1,class5
1.56,3542,0.61,0,4535,2,0.56,0,class5
6.36,3075,0.64,2,3637,1,0.61,1,class4
1.57,3179,0.47,0,4502,0,0.56,0,class4
6.22,3173,0.44,2,4975,1,0.6,2,class2
2.72,3108,0.13,1,3141,1,1.59,2,class4
3.3,3467,0.31,1,7195,1,1.92,2,class5
1.59,3587,0.55,0,3121,0,0.57,2,class5
8.37,3177,0.51,2,5370,1,1.44,0,class4
6.41,3484,0.13,2,6365,2,1.81,1,class5
7.81,3099,0.46,0,5816,0,0.55,0,class4
6.06,3081,0.52,1,5249,1,0.57,2,class4
5.72,3117,0.43,2,4566,1,1.16,1,class5
5.5,3475,0.2,0,7331,1,1.58,1,class5
7.69,3115,0.13,1,7030,1,0.78,0,class5
5.31,3108,0.5,0,3438,1,1.53,0,class5
4.22,3104,0.13,1,3061,1,1.46,0,class1
2.64,3339,0.14,1,3253,1,0.97,0,class2
2.22,3107,0.48,0,3325,1,0.57,0,class2
7.87,3073,0.62,0,6902,1,0.82,0,class3
5.86,3477,0.15,1,6757,0,0.57,2,class2
3.86,3466,0.4,0,4152,1,1.24,0,class5
1.56,3480,0.51,2,3432,0,1.31,1,class1
5.46,3139,0.42,0,4482,2,1.78,2,class5
