Political_system_Poorly,Political_system_Very_poorly,Political_system_Very_well,Political_system_Well,Age_19-29,Age_30-44,Age_45-59,Age_60-74,Age_75+,Time_of_survey_1991,Time_of_survey_1992,Schooling_Basic,Schooling_Basic_incomplete,Schooling_Intensive,Schooling_Medium,Schooling_Upper_medium,Region_East_Germany,Region_West_Germany,binaryClass
0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,P
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,P
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,N
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,N
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,P
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,P
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,P
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,P
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,P
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,P
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,P
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,P
1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,N
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,N
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,N
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,N
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,P
1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,N
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,N
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,P
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,N
0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,P
0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,N
0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,P
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,P
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,P
0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,P
0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,N
0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,N
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,P
0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,N
0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,P
0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,P
0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,P
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,P
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,P
0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,P
0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,P
0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,P
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,P
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,P
0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,P
0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,N
0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,P
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,P
0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,P
0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,P
0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,P
0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,P
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,P
0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,P
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,P
1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,N
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,N
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,N
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,N
1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,P
1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,N
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,N
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,P
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,N
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,P
0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,N
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,P
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,P
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,P
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,P
0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,N
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,N
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,P
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,N
0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,P
0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,P
0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,P
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,P
0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,P
0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,P
0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,P
0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,P
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,P
0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,P
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,P
0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,N
0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,P
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,P
0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,P
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,P
0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,P
0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,P
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,P
0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,P
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,P
1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,N
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,N
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,P
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,N
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,P
1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,N
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,P
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,P
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,P
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,P
0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,N
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,P
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,P
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,P
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,P
0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,N
0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,P
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,P
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,P
0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,P
0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,P
0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,P
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,P
0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,P
0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,P
0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,P
0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,P
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,P
0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,P
0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,P
0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,P
0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,P
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,P
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,P
0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,P
0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,P
0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,P
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,P
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,P
1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,P
1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,N
1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,P
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,P
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,P
1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,P
1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,N
1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,P
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,P
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,P
0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,P
0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,P
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,P
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,P
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,P
0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,P
0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,P
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,P
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,P
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,P
0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,P
0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,P
0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,P
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,P
0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,P
0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,P
0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,P
0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,P
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,P
0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,P
0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,P
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,P
0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,P
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,P
0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,P
0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,P
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,P
0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,P
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,P
0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,P
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,P
1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,N
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,N
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,N
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,N
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,P
1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,P
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,N
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,P
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,P
0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,P
0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,N
0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,N
0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,P
0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,N
0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,P
0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,P
0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,N
0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,P
0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,N
0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,P
0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,P
0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,P
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,P
0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,P
0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,P
0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,P
0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,P
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,P
0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,P
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,P
0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,P
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,P
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,P
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,P
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,P
0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,P
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,P
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,P
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,P
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,P
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,N
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,N
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,N
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,N
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,P
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,N
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,N
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,P
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,N
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,P
0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,N
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,N
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,P
0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,N
0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,P
0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,N
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,N
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,P
0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,N
0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,P
0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,P
0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,P
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,P
0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,P
0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,P
0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,P
0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,P
0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,P
0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,P
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,P
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,N
0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,P
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,P
0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,P
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,P
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,P
0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,P
0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,P
0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,P
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,P
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,N
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,N
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,N
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,N
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,P
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,N
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,N
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,P
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,N
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,P
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,N
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,N
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,P
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,P
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,P
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,N
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,N
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,P
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,P
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,P
0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,P
0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,P
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,P
0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,P
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,P
0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,P
0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,P
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,P
0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,P
0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,P
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,P
0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,P
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,P
0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,P
0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,P
0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,P
0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,P
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,P
0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,P
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,P
1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,N
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,N
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,P
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,N
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,P
1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,N
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,N
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,P
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,P
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,P
0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,N
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,P
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,P
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,P
0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,P
0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,N
0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,P
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,P
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,P
0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,P
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,N
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,P
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,P
0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,P
0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,P
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,P
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,P
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,P
