Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Est Dia in M(min),Est Dia in M(max),Est Dia in Miles(min),Est Dia in Miles(max),Est Dia in Feet(min),Est Dia in Feet(max),Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Orbiting Body,Equinox,Hazardous
18.8,0.46190746,1.032856481,461.9074603,1032.856481,0.287015901,0.641787064,1515.444472,3388.636855,7.92E+11,39.60532791,142579.1805,88593.15801,0.300963141,117.0746613,45023444,27976272,0,0.102643,3.242,2458000.5,0.861093331,1.982738584,10.02263604,163.2099234,1019.756809,0.275415613,199.3714587,3.690061555,2457894.226,37.51725738,0.353025346,1,1,0
25.2,0.024241248,0.054205079,24.24124811,54.20507863,0.015062809,0.033681464,79.53165645,177.8381902,7.92E+11,25.21128858,90760.6389,56395.13143,0.495973992,192.9338837,74196656,46103664,6,0.0119773,6.89,2458000.5,0.441694355,0.837557008,19.76759211,243.6149509,279.9754763,0.467612806,41.64832248,1.207501211,2457925.368,96.60735473,1.285826904,1,1,0
20,0.2658,0.594346868,265.8,594.3468684,0.165160412,0.369309908,872.047272,1949.95698,7.93E+11,3.089003929,11120.41414,6909.792888,0.2388245,92.90273285,35727636,22200124,0,0.240288,3.788,2458000.5,0.37754936,1.95815426,5.660561156,112.164417,1000.849507,1.218854372,34.30691815,2.697454147,2457771.553,82.35082443,0.359694437,1,1,0
21,0.167708462,0.375007522,167.7084622,375.0075218,0.104209175,0.233018799,550.224631,1230.339678,7.93E+11,20.01924193,72069.27097,44781.04228,0.478086995,185.9758453,71520800,44440964,1,0.0984179,6.469,2458000.5,0.452792293,0.907864593,8.27869574,114.3798293,315.9585012,0.496790502,7.392326564,1.318938684,2457968.757,36.16756329,1.139390137,1,1,0
22.3,0.092162655,0.206081961,92.16265485,206.0819612,0.057267201,0.128053354,302.3709245,676.1219417,7.93E+11,8.526320844,30694.75504,19072.5271,0.461259243,179.4298401,69003400,42876724,3,0.0259126,5.372,2458000.5,0.25973232,1.166519916,5.035044226,28.85202161,460.1894558,0.863536992,271.6146744,1.469502839,2457770.913,179.6031186,0.782286503,1,1,0
22.7,0.076657557,0.171411509,76.65755735,171.4115092,0.047632783,0.106510141,251.5011805,562.3737359,7.93E+11,7.919524045,28510.28656,17715.18334,0.107271075,41.72844696,16047525,9971469,4,0.0525422,6.519,2458000.5,0.151415852,0.913730316,5.860414923,177.8573023,319.0255592,0.775377062,90.64125634,1.052083571,2458138.756,203.9869516,1.128436232,1,1,0
26.1,0.016016034,0.03581294,16.0160338,35.8129403,0.009951899,0.022253123,52.54604433,117.4965271,7.93E+11,4.655478593,16759.72294,10413.84007,0.255488302,99.38494873,38220508,23749122,5,0.018587,6.36,2458000.5,0.171432883,0.939138959,11.94779477,229.0663218,332.424644,0.77813966,227.549975,1.100138258,2458042.506,314.5094251,1.082952201,1,1,0
20.6,0.201629919,0.450858206,201.6299194,450.8582062,0.125286985,0.280150214,661.5155049,1479.193637,7.93E+11,2.164372849,7791.742256,4841.485626,0.422850158,164.4887085,63257484,39306380,2,0.183818,3.753,2458000.5,0.407470352,1.978471309,4.061695563,142.2597511,1016.466481,1.172302908,38.66044218,2.78463971,2457957.835,15.11056876,0.354168098,1,1,0
23.9,0.04411182,0.098637028,44.11182,98.63702813,0.027409806,0.061290189,144.7238235,323.6123074,7.93E+11,10.55151977,37985.47118,23602.69458,0.019738226,7.678170204,2952796.75,1834782.875,3,0.0109543,4.767,2458000.5,0.398820008,1.357919278,3.854342069,341.2186362,577.9754044,0.8163539,237.1733163,1.899484655,2457913.298,54.31490079,0.622863875,1,1,0
23.9,0.04411182,0.098637028,44.11182,98.63702813,0.027409806,0.061290189,144.7238235,323.6123074,7.93E+11,17.56490765,63233.66755,39290.94193,0.434048959,168.845047,64932800,40347372,1,0.0453154,6.298,2458000.5,0.397381006,0.94032584,11.60766472,195.3700872,333.0550193,0.566658212,315.2418743,1.313993469,2458097.467,255.1877435,1.080902491,1,1,0
26.989,0.010635428,0.02378154,10.63542812,23.78154024,0.006608547,0.014777159,34.89313798,78.02342848,7.93E+11,7.16414806,25790.93301,16025.48279,0.211596871,82.31118774,31654442,19669158,7,0.0071428,5.874,2458000.5,0.317906126,1.034367661,4.008314775,322.7144945,384.2473032,0.705535845,249.0178765,1.363199477,2457901.624,92.63701924,0.936896621,1,1,0
22.6,0.080270317,0.179489885,80.27031673,179.4898848,0.049877647,0.111529809,263.3540659,588.8775936,7.95E+11,11.47029804,41293.07296,25657.90969,0.051770366,20.13867188,7744736.5,4812356.5,0,0.0341962,5.089,2458000.5,0.428252611,1.234937694,5.850410278,151.2892419,501.2634018,0.706072403,292.6184517,1.763802986,2457751.689,178.6926558,0.718185287,1,1,0
23.8,0.046190746,0.103285648,46.19074603,103.2856481,0.02870159,0.064178706,151.5444472,338.8636855,7.95E+11,11.93064253,42950.31311,26687.65428,0.097544116,37.944664,14592393,9067292,0,0.052677,7.48,2455882.5,0.386458786,0.762974434,20.83376792,352.9223652,243.4240059,0.468116261,351.1788108,1.057832607,2455988.219,203.6522586,1.478900976,1,1,0
28.6,0.005064715,0.011325046,5.064714588,11.32504611,0.003147067,0.007037055,16.61651821,37.15566427,7.95E+11,9.874143162,35546.91538,22087.47084,0.146699984,57.06629181,21946004,13636615,6,0.00220111,5.349,2458000.5,0.229959584,1.176188921,1.990548432,336.8735047,465.9228969,0.905713006,120.0623448,1.446664836,2457796.516,157.610209,0.772660031,1,1,0
21.2,0.152951935,0.342010925,152.9519353,342.0109247,0.095039897,0.21251567,501.8108276,1122.083122,7.95E+11,15.93870716,57379.34578,35653.29405,0.172902903,67.25922394,25865906,16072328,6,0.0667857,4.469,2458000.5,0.437398953,1.442414905,24.56842188,151.7319137,632.7522952,0.811504136,97.07781957,2.073325675,2458075.09,317.5623087,0.568943017,1,1,0
22.8,0.073207399,0.163696721,73.20739893,163.6967205,0.045488955,0.101716395,240.1817627,537.0627484,7.95E+11,11.74041348,42265.48854,26262.13092,0.333183283,129.6083069,49843512,30971322,6,0.0452308,6.708,2458000.5,0.51390657,0.865355365,6.812692898,64.12627503,294.028997,0.420643557,292.8831881,1.310067172,2457885.994,140.1980047,1.224369037,1,1,0
23.8,0.046190746,0.103285648,46.19074603,103.2856481,0.02870159,0.064178706,151.5444472,338.8636855,7.95E+11,11.93061192,42950.20292,26687.58581,0.097543755,37.94451904,14592338,9067258,0,0.0515902,7.48,2456125.5,0.386445067,0.762953501,20.83340837,352.9209235,243.4139883,0.468113884,351.1779799,1.057793118,2456231.633,203.0327732,1.47896184,1,1,0
23.6,0.050647146,0.113250461,50.64714588,113.2504611,0.031470668,0.070370552,166.1651821,371.5566427,7.95E+11,3.838016764,13816.86035,8585.2597,0.0864847,33.64254761,12937927,8039255,0,0.0231683,5.694,2458000.5,0.1755281,1.08505392,1.499707987,143.9720934,412.833952,0.894596466,2.124647144,1.275511373,2458019.676,343.2780838,0.872021301,1,1,0
21.7,0.121494041,0.271668934,121.4940408,271.6689341,0.075492874,0.168807197,398.6025088,891.3023057,7.96E+11,7.514875357,27053.55128,16810.02469,0.499180379,194.1811676,74676320,46401716,0,0.072723,4.988,2458000.5,0.180694935,1.298712854,2.883848268,42.77459458,540.5901588,1.064042019,283.6789059,1.533383689,2458116.955,282.4479213,0.665938871,1,1,0
20.1,0.253837029,0.567596853,253.8370294,567.5968529,0.157726969,0.352688224,832.7986794,1862.194459,7.96E+11,14.38282119,51778.15627,32172.93271,0.420966184,163.7558441,62975644,39131252,0,0.286119,5.55,2458000.5,0.608529113,1.067729565,19.76609421,228.3483096,402.9863441,0.41798504,179.9055931,1.717474091,2458175.962,203.254479,0.893330519,1,1,0
27.4,0.008801465,0.019680675,8.801465209,19.68067451,0.005468975,0.012229,28.87619912,64.56914416,7.96E+11,7.339140833,26420.907,16416.92413,0.071064889,27.64424133,10631156,6605894,7,0.00184403,5.435,2458000.5,0.221635471,1.149622484,7.430785915,330.7831998,450.2267561,0.894825363,290.4836428,1.404419606,2457820.163,144.1965902,0.799597081,1,1,0
23.9,0.04411182,0.098637028,44.11182,98.63702813,0.027409806,0.061290189,144.7238235,323.6123074,7.96E+11,10.59959371,38158.53734,23710.23116,0.393515017,153.0773468,58869008,36579508,5,0.110326,4.698,2458000.5,0.225484982,1.408325756,8.113962312,158.2260558,610.454233,1.090769447,28.4122282,1.725882064,2457721.451,164.5618703,0.589724799,1,1,0
26.9,0.011080388,0.024776501,11.08038821,24.77650126,0.006885032,0.015395399,36.35298086,81.2877364,7.96E+11,22.82462864,82168.66311,51056.41181,0.472964258,183.9830933,70754448,43964776,7,0.00602602,6.938,2458000.5,0.29973327,0.841631581,10.27694003,171.1772581,282.0210087,0.589366594,218.2204921,1.093896567,2457932.079,87.33995138,1.276500647,1,1,0
21.424,0.137960569,0.30848921,137.9605689,308.4892103,0.085724697,0.191686249,452.6265529,1012.103741,7.96E+11,20.37422233,73347.20038,45575.09792,0.224380966,87.28419495,33566916,20857514,6,0.0890355,4.955,2458000.5,0.147884621,1.235912133,39.4070151,356.5439055,501.8568085,1.053139736,218.601812,1.41868453,2457874.564,90.33855226,0.717336088,1,1,0
17.3,0.921626549,2.060819612,921.6265485,2060.819612,0.57267201,1.280533543,3023.709245,6761.219417,7.97E+11,22.96034994,82657.25977,51360.00677,0.086732912,33.73910141,12975059,8062327.5,0,0.0591071,3.12,2458000.5,0.776643889,2.263196034,9.064507174,352.6914108,1243.602788,0.505498665,299.7393342,4.020893403,2458582.733,191.4543291,0.2894815,1,1,0
26.5,0.013321557,0.029787906,13.32155667,29.78790628,0.008277629,0.018509341,43.70589598,97.72935444,7.97E+11,7.516462188,27059.26388,16813.57427,0.236051104,91.82387543,35312740,21942320,1,0.00576149,6.132,2458000.5,0.013948498,0.988667858,4.3209082,264.4056022,359.0658068,0.974877427,87.81644304,1.002458289,2457942.407,58.24402434,1.002601733,1,1,0
18.8,0.46190746,1.032856481,461.9074603,1032.856481,0.287015901,0.641787064,1515.444472,3388.636855,7.97E+11,21.53473449,77525.04416,48171.04758,0.467475832,181.8480988,69933392,43454592,1,0.264451,3.214,2458000.5,0.44459978,2.250574629,40.07490632,190.8023227,1233.214308,1.249969645,16.17455003,3.251179614,2458488.264,217.6120228,0.291920064,1,1,0
28.15,0.00623096,0.013932851,6.230960191,13.93285055,0.003871738,0.008657469,20.44278343,45.71145341,7.97E+11,13.59223294,48932.03858,30404.46586,0.322858367,125.5919037,48298924,30011560,4,4.42E-05,5.916,2458000.5,0.145894028,1.033210408,3.174319581,10.44411033,383.6026381,0.882471179,85.73153236,1.183949636,2458145.012,224.3796114,0.938471127,1,1,0
25.6,0.020162992,0.045085821,20.16299194,45.08582062,0.012528699,0.028015021,66.15155049,147.9193637,7.98E+11,14.09120316,50728.33138,31520.61235,0.268970285,104.6294403,40237380,25002350,7,0.024568,6.797,2458000.5,0.198610407,0.863323089,15.29060134,18.6394879,292.9938206,0.691858139,344.8005314,1.034788039,2458132.945,197.2654368,1.228694855,1,1,0
25.4,0.022108281,0.049435619,22.10828104,49.43561926,0.013737445,0.03071786,72.53373275,162.1903571,7.98E+11,11.19950105,40318.2038,25052.16391,0.232869134,90.58609009,34836728,21646538,5,0.0053862,6.79,2458000.5,0.177454625,0.869336432,1.867798491,150.0050897,296.0603494,0.715068661,204.9786871,1.023604203,2457906.714,114.0409109,1.215968301,1,1,0
21,0.167708462,0.375007522,167.7084622,375.0075218,0.104209175,0.233018799,550.224631,1230.339678,7.99E+11,26.05388051,93793.96984,58279.92531,0.400642975,155.8501129,59935336,37242092,1,0.175606,4.38,2458000.5,0.545844028,1.487152225,10.42495329,114.7292731,662.417145,0.675399064,354.169234,2.298905386,2457734.923,144.3317647,0.543464194,1,1,0
24,0.042126461,0.094197631,42.12646106,94.19763057,0.026176161,0.058531676,138.2101785,309.0473543,8.00E+11,10.84353509,39036.72631,24255.90363,0.307915058,119.7789612,46063436,28622494,3,0.0666464,6.379,2458000.5,0.247374753,0.935217007,7.02845027,204.1993483,330.3444547,0.703867931,23.65247194,1.166566083,2458103.637,247.6041478,1.089771585,1,1,0
21.494,0.133584164,0.298703271,133.5841639,298.7032712,0.083005326,0.18560555,438.2682683,979.9976404,8.00E+11,15.67869704,56443.30934,35071.67741,0.194774593,75.76731873,29137866,18105430,5,0.0739088,6.696,2458000.5,0.383885058,0.874062218,10.86837596,100.3027573,298.4777408,0.538522793,257.1689857,1.209601643,2457968.782,38.25533,1.206120092,1,1,0
17.4,0.880146521,1.968067451,880.1465209,1968.067451,0.546897524,1.22290004,2887.619912,6456.914416,8.01E+11,36.90278723,132850.034,82547.84474,0.309082696,120.2331619,46238112,28731030,0,0.0508661,3.58,2458000.5,0.563978044,1.723590508,53.82827282,38.98727038,826.5127687,0.751523304,114.9699501,2.695657712,2458079.943,325.3972972,0.435564959,1,1,0
22.1,0.101054342,0.225964377,101.0543415,225.9643771,0.062792237,0.140407711,331.5431259,741.352967,8.01E+11,15.79708507,56869.50626,35336.4996,0.183460463,71.36611938,27445294,17053716,0,0.0549144,5.293,2458000.5,0.153836991,1.157817149,31.04245161,49.31999677,455.0492405,0.979702043,246.8332903,1.335932256,2458117.764,267.2300401,0.791123175,1,1,0
21.6,0.127219879,0.284472297,127.2198785,284.4722965,0.079050743,0.176762835,417.3880663,933.3080893,8.01E+11,20.28945338,73042.03216,45385.47826,0.20348541,79.15582275,30440984,18915152,0,0.0812573,5.01,2458000.5,0.476510033,1.253468714,5.800925368,191.2587797,512.5882833,0.656178296,147.9375113,1.850759132,2458112.46,281.3684519,0.702318043,1,1,0
20.5,0.211132445,0.472106499,211.1324448,472.1064988,0.131191578,0.293353287,692.6917702,1548.905886,8.01E+11,19.85485062,71477.46223,44413.31535,0.149688242,58.22872543,22393042,13914392,1,0.117551,6.468,2458000.5,0.5265427,0.896338941,20.13021458,38.7816058,309.9608359,0.424378215,334.9806742,1.368299666,2457976.506,27.86736523,1.161437054,1,1,0
22.2,0.096506147,0.215794305,96.50614696,215.7943048,0.059966121,0.134088323,316.6212272,707.9865871,8.01E+11,11.39660227,41027.76819,25493.05963,0.23383878,90.96328735,34981784,21736672,1,0.0499383,5.512,2458000.5,0.498869693,1.100327267,10.78773208,16.98040476,421.5812038,0.551407341,125.979501,1.649247193,2457807.135,165.1195034,0.853928014,1,1,0
20.6,0.201629919,0.450858206,201.6299194,450.8582062,0.125286985,0.280150214,661.5155049,1479.193637,8.01E+11,15.45541989,55639.51161,34572.22875,0.109673913,42.66315079,16406984,10194827,7,0.0947896,4.044,2458000.5,0.490849799,1.661650553,22.13016643,72.21757892,782.3624023,0.846029713,100.3153715,2.477271393,2457629.305,170.8032502,0.460144811,1,1,0
24.4,0.035039264,0.078350176,35.03926411,78.35017643,0.021772383,0.048684528,114.9582193,257.0543928,8.01E+11,14.68517642,52866.63512,32849.27114,0.387056474,150.5649719,57902824,35979148,0,0.021176,5.17,2458000.5,0.189682932,1.233608012,5.565071113,215.9032878,500.4540394,0.999613628,323.5602404,1.467602397,2457831.348,121.6788611,0.719346776,1,1,0
18.8,0.46190746,1.032856481,461.9074603,1032.856481,0.287015901,0.641787064,1515.444472,3388.636855,8.01E+11,19.53617081,70330.21491,43700.46048,0.346919794,134.9517975,51898464,32248210,2,0.0613713,3.232,2458000.5,0.591282536,2.269587545,28.17732241,95.20300055,1248.874609,0.927620066,158.5215331,3.611555024,2458591.875,189.5306371,0.288259524,1,1,0
25.8,0.018388867,0.041118757,18.38886721,41.1187571,0.011426309,0.025550003,60.33093109,134.9040631,8.01E+11,4.823898633,17366.03508,10790.57885,0.401786572,156.2949677,60106416,37348396,6,0.00120536,4.769,2458000.5,0.350066433,1.365936091,0.654497157,214.1302323,583.1012834,0.887767716,119.6465719,1.844104467,2458076.2,313.2636057,0.617388454,1,1,0
24.3,0.036690614,0.082042707,36.69061375,82.04270649,0.022798483,0.050978959,120.3760332,269.1689932,8.03E+11,11.50824853,41429.69471,25742.80114,0.025860867,10.0598774,3868730.5,2403917.75,7,0.0222117,5.054,2458000.5,0.202625296,1.253655419,20.00369553,256.4453283,512.7028131,0.999633119,38.56656344,1.507677719,2458106.355,285.6728098,0.702161156,1,1,0
26.2,0.015295194,0.034201093,15.29519353,34.20109247,0.00950399,0.021251567,50.18108276,112.2083122,8.03E+11,7.92636157,28534.90165,17730.4782,0.162800323,63.32932663,24354582,15133236,6,0.00634687,5.537,2458000.5,0.119756633,1.12660195,6.507326871,242.5828956,436.7713817,0.991683894,318.5163366,1.261520006,2458071.889,301.1588143,0.824229826,1,1,0
20.8,0.183888672,0.411187571,183.8886721,411.187571,0.114263088,0.255500032,603.3093109,1349.040631,8.03E+11,19.66727897,70802.20429,43993.73632,0.366525468,142.5784149,54831432,34070672,1,0.113249,6.447,2458000.5,0.299153918,0.912717017,21.03334898,87.57392832,318.4950216,0.639674145,23.616922,1.185759888,2458072.706,278.3844048,1.130315941,1,1,0
20.616,0.200149715,0.447548369,200.1497153,447.548369,0.124367229,0.278093578,656.6591918,1468.334591,8.03E+11,17.48135593,62932.88134,39104.04507,0.323688706,125.9149094,48423144,30088746,5,0.317486,5.612,2458000.5,0.405478939,1.062613441,29.97955176,280.3174925,400.0933971,0.63174607,202.1321893,1.493480811,2458183.942,194.9409037,0.899789906,1,1,0
17.5,0.840533402,1.879489824,840.5334021,1879.489824,0.522283081,1.167860472,2757.655607,6166.305395,8.03E+11,16.12549274,58051.77385,36071.1147,0.300967103,117.0762024,45024036,27976640,0,0.0636542,3.367,2458000.5,0.548401882,2.306718529,3.246143241,213.2863018,1279.647443,1.041709746,98.03956329,3.571727313,2457601.275,112.3129187,0.281327487,1,1,0
22,0.105816886,0.23661375,105.8168859,236.6137501,0.065751544,0.147024923,347.168272,776.2918559,8.03E+11,13.47523501,48510.84603,30142.75319,0.065619911,25.52614403,9816599,6099751.5,7,0.0589302,5.364,2458000.5,0.309772347,1.150231298,20.0186282,268.096334,450.5844479,0.79392145,70.13595363,1.506541146,2458052.234,318.6663284,0.798962329,1,1,0
23,0.066765941,0.149293183,66.76594135,149.2931834,0.04148642,0.092766455,219.048371,489.807048,8.03E+11,4.331719159,15594.18897,9689.622586,0.094274903,36.67293549,14103325,8763400,5,0.0949569,4.633,2458000.5,0.231820931,1.438387666,7.096661498,253.4295183,630.1041683,1.104939299,18.9283631,1.771836034,2458088.209,309.8889443,0.571334103,1,1,0
21.5,0.133215567,0.297879063,133.2155667,297.8790628,0.08277629,0.185093411,437.0589598,977.2935444,8.03E+11,16.93829897,60977.87629,37889.28096,0.30841203,119.9722748,46137780,28668688,4,0.0738937,3.5,2458000.5,0.526147419,2.161978056,4.440911302,237.8567753,1161.115304,1.024458882,78.24190435,3.299497229,2458038.03,348.3639763,0.310046727,1,1,0
27.1,0.010105434,0.022596438,10.10543415,22.59643771,0.006279224,0.014040771,33.15431259,74.1352967,8.04E+11,12.55217618,45187.83424,28077.96289,0.121790031,47.37631989,18219530,11321091,1,0.00108035,6.997,2458000.5,0.388447279,0.830728068,5.059664077,166.1544806,276.5583359,0.50803401,319.7961989,1.153422125,2458016.803,338.7787407,1.301714515,1,1,0
27.2,0.009650615,0.021579431,9.650614696,21.57943048,0.005996612,0.013408832,31.66212272,70.79865871,8.04E+11,12.52653474,45095.52508,28020.60557,0.373472573,145.2808228,55870700,34716444,7,0.00396247,6.385,2458000.5,0.360124157,0.929745407,0.49522171,323.4926065,327.4496188,0.594921626,264.2658161,1.264569188,2458072.033,281.3559795,1.099405769,1,1,0
21.571,0.128930295,0.288296904,128.9302951,288.2969041,0.080113546,0.179139336,422.9996693,945.856015,8.04E+11,12.83532762,46207.17944,28711.34436,0.316918802,123.2814102,47410376,29459442,5,0.119136,4.491,2458000.5,0.294842974,1.498548587,6.801303326,56.16673209,670.0460779,1.056712065,259.3072848,1.940385108,2457965.064,19.03910494,0.537276483,1,1,0
18.1,0.63760979,1.425738833,637.6097899,1425.738833,0.396192233,0.885912765,2091.895703,4677.620994,8.05E+11,15.59463771,56140.69577,34883.6451,0.387172398,150.6100616,57920168,35989924,0,0.243876,3.776,2458000.5,0.392904405,1.907178251,19.80151512,90.67146973,962.0227782,1.157839515,235.8207926,2.656516987,2457630.109,138.6044237,0.374211514,1,1,0
18.7,0.483676488,1.081533507,483.6764882,1081.533507,0.300542543,0.672033557,1586.86517,3548.33839,8.05E+11,32.18140575,115853.0607,71986.58653,0.238117318,92.62763977,35621844,22134388,0,0.22291,5.289,2458000.5,0.79075696,1.064507658,43.56115448,276.4541322,401.1636849,0.222740818,160.1054368,1.906274498,2457979.537,18.81210234,0.897389304,1,1,0
18.7,0.483676488,1.081533507,483.6764882,1081.533507,0.300542543,0.672033557,1586.86517,3548.33839,8.05E+11,32.18140589,115853.0612,71986.58683,0.238117294,92.62762451,35621840,22134386,0,0.22291,5.289,2458000.5,0.790756969,1.064507658,43.56115504,276.4541315,401.163685,0.222740809,160.1054356,1.906274507,2457979.537,18.81210291,0.897389304,1,1,0
20.1,0.253837029,0.567596853,253.8370294,567.5968529,0.157726969,0.352688224,832.7986794,1862.194459,8.06E+11,18.51752548,66663.09174,41421.85276,0.32111022,124.9118729,48037404,29849060,0,0.14088,4.574,2457600.5,0.247696643,1.376451096,37.22407109,106.1303161,589.8473138,1.035508781,244.0632687,1.717393412,2457658.844,324.390888,0.610327438,1,1,0
20.2,0.242412481,0.542050786,242.4124811,542.0507863,0.150628086,0.336814639,795.3165645,1778.381902,8.06E+11,18.51751945,66663.07001,41421.83925,0.321111829,124.9124985,48037648,29849210,0,0.141147,4.574,2458000.5,0.247647176,1.376501612,37.22279207,106.124859,589.8797848,1.035614874,244.0608254,1.717388349,2458248.697,208.5269511,0.610293842,1,1,0
19.7,0.305179233,0.682401509,305.1792326,682.4015094,0.189629525,0.424024508,1001.244233,2238.850168,8.06E+11,26.34786713,94852.32165,58937.54397,0.371910357,144.6731262,55637000,34571228,1,0.200346,3.568,2458000.5,0.436416168,1.895561585,40.75589996,296.3182957,953.2466222,1.068307863,56.5605408,2.722815307,2457581.929,158.076077,0.377656728,1,1,0
16.7,1.214940408,2.716689341,1214.940408,2716.689341,0.754928736,1.688071972,3986.025088,8913.023057,8.06E+11,20.29179925,73050.47728,45390.72573,0.40689832,158.2834473,60871124,37823564,0,0.256265,3.427,2458000.5,0.707411423,2.016449151,15.95128044,168.5299865,1045.873933,0.589989988,167.1005289,3.442908314,2458304.369,255.405256,0.344209745,1,1,0
23.7,0.048367649,0.108153351,48.36764882,108.1533507,0.030054254,0.067203356,158.686517,354.833839,8.06E+11,9.830749452,35390.69803,21990.40345,0.326699935,127.0862808,48873616,30368658,6,0.0752783,6.424,2458000.5,0.222717159,0.925365007,13.08284558,359.7151699,325.138229,0.719270342,330.5650247,1.131459673,2458031.559,325.6108651,1.107221384,1,1,0
