Bidder_Tendency,Bidding_Ratio,Successive_Outbidding,Last_Bidding,Auction_Bids,Starting_Price_Average,Early_Bidding,Winning_Ratio,Auction_Duration,Class
0.009803922,0.055555556,0,0.996805556,0,0,0.996805556,0,1,0
0.034482759,0.083333333,0,0.000335648,0,0,0.000335648,0,1,0
0.25,0.083333333,0,0.000462963,0,0,0.000462963,0,1,0
0.014925373,0.037037037,0,0.137633929,0.333333333,0.993528095,0.137633929,0,7,0
0.073170732,0.111111111,0,0.264477513,0.333333333,0.993528095,0.264469246,1,7,0
0.043478261,0.037037037,0,0.905257937,0.333333333,0.993528095,0.905257937,0,7,0
0.1,0.037037037,0,0.311369048,0.333333333,0.993528095,0.311369048,0,7,0
0.125,0.142857143,0,0.490601852,0,0,0.490601852,0.5,7,0
0.222222222,0.214285714,0,0.964861111,0.357142857,0.993528095,0.964803241,1,1,0
0.045454545,0.035714286,0,0.978726852,0.357142857,0.993528095,0.978726852,0,1,0
0,0.052631579,0,0.983546627,0.052631579,0,0.983546627,0,7,0
0.151515152,0.3125,0,0.877666997,0,0,0.778978175,0.866666667,7,0
0.176470588,0.1875,0.5,0.298953373,0,0,0.298931878,1,7,1
0.235294118,0.25,1,0.375639881,0,0,0.375611773,1,7,1
0.111111111,0.090909091,0,4.9603E-06,0,0,4.9603E-06,0,7,0
0.022222222,0.090909091,0,1.6534E-06,0,0,1.6534E-06,0,7,0
0.052631579,0.0625,0,0.387566138,0,0,0.387566138,0,7,0
1,0.222222222,1,0.762243717,0.333333333,0.993528095,0.762215609,1,7,1
0.036231884,0.263157895,1,0.805120701,0.052631579,0,0.805115741,0.865671642,7,1
0.020833333,0.083333333,0,0.102337963,0,0,0.102337963,0,1,0
0.041666667,0.166666667,0,0.045393519,0,0,0.045277778,1,1,0
0.125,0.166666667,0,0.000162037,0,0,0.000162037,0.5,1,0
0.003021148,0.166666667,0,0.000636574,0,0,0.000636574,0.848214286,1,0
1,0.333333333,0,0.048912037,0,0,0.045787037,1,1,0
0.038461538,0.166666667,0,0.145208333,0,0,0.145208333,0.769230769,1,0
0.028571429,0.166666667,0,0.362303241,0,0,0.362303241,0.888888889,1,0
0.069767442,0.272727273,0,0.106208333,0,0,0.025736111,0.866666667,5,0
0.035714286,0.090909091,0,0.058918982,0,0,0.058918982,0,5,0
0.130434783,0.065217391,0,0.982577712,0.608695652,0.999935281,0.97942791,0,7,0
0.003021148,0.0625,0,4.6296E-06,0,0,4.6296E-06,0,5,0
0.2,0.02173913,0,0.000138889,0.608695652,0.993592814,0.000138889,0,1,0
0.5,0.043478261,0,0.040706019,0.608695652,0.993592814,4.62963E-05,0,1,0
0.2,0.02173913,0,0.004236111,0.608695652,0.993592814,0.004236111,0,1,0
0.025,0.02173913,0,0.0190625,0.608695652,0.993592814,0.0190625,0,1,0
0.066666667,0.166666667,0,0.608043982,0,0.993592814,0.608043982,0.6,1,0
0.105263158,0.333333333,0,0.471851852,0,0.993592814,0.471851852,0.75,1,0
0.333333333,0.130434783,0.5,0.738738426,0.608695652,0.993592814,0.734050926,1,1,1
0.023529412,0.181818182,0,0.022121362,0,0,0.000335648,0.935483871,7,0
0.055555556,0.090909091,0,9.9206E-06,0,0,9.9206E-06,0,7,0
0.25,0.272727273,0,0.692432209,0,0,0.000415013,1,7,0
0.023255814,0.1,0,0.000185185,0,0,0.000185185,0.866666667,1,0
0.25,0.1,0,9.25926E-05,0,0,9.25926E-05,1,1,0
0.008264463,0.1,0,0.004872685,0,0,0.004872685,0.818181818,1,0
0.135135135,0.161290323,0,0.98806713,0.419354839,0.993592814,0.964072421,0.777777778,7,0
0.1,0.032258065,0,0.964737103,0.419354839,0.993592814,0.964737103,0,7,0
0.5,0.181818182,0,0.001031746,0,0,0.001021825,1,7,0
0.003021148,0.090909091,0,0.004193122,0,0,0.004193122,0,7,0
0.12987013,0.217391304,0.5,0.779699074,0.608695652,0.993592814,0.733391204,0.923076923,1,1
0.010416667,0.02173913,0,0.947986111,0.608695652,0.993592814,0.947986111,0,1,0
0.024169184,0.173913043,0.5,0.986157407,0.608695652,0.993592814,0.485115741,0.848214286,1,1
0.454545455,0.357142857,1,0.460441149,0,0,0.406625086,1,3,1
0.166666667,0.045454545,0,0.445814043,0.181818182,0,0.445814043,0,3,0
0.1875,0.136363636,0.5,0.287326389,0.181818182,0,0.254891975,0.666666667,3,0
0.014084507,0.045454545,0,0.578152006,0.181818182,0,0.578152006,0,3,0
0.006042296,0.090909091,0,0.860270062,0.181818182,0,0.860270062,0,3,0
0.875,0.225806452,0.5,0.878199405,0.419354839,0.993592814,0.876177249,0.5,7,1
0.05,0.032258065,0,0.014446098,0.419354839,0.993592814,0.014446098,0,7,0
0.018867925,0.142857143,0,0.760841601,0,0,0.760841601,0.857142857,7,0
0.115384615,0.096774194,0,0.555400132,0.419354839,0.993592814,0.551724537,0,7,0
0.357142857,0.161290323,0.5,0.858510251,0.419354839,0.993592814,0.858454034,0.8,7,1
0.142857143,0.071428571,0,0.485208634,0,0,0.485208635,0,3,0
0.2,0.071428571,0,0.703838843,0,0,0.703838843,0,3,0
1,0.214285714,0,0.7009874,0,0,0.700975617,1,3,0
0.010416667,0.166666667,0,0.783090278,0,0.993592814,0.783090278,1,1,0
0.076923077,0.333333333,0,0.984143519,0,0.993592814,0.983981482,0.769230769,1,0
0.1,0.153846154,0,0.730949074,0,0,0.730949074,0.833333333,1,0
0.076923077,0.1,0,0.004166667,0,0,0.004166667,0.833333333,5,0
0.03,0.3,0,0.001722222,0,0,0.001696759,0.666666667,5,0
0.04,0.4,0,0.140648148,0,0,0.140648148,0.666666667,1,0
0.2,0.1,0,0.012581019,0,0,0.012581019,1,1,0
0.041666667,0.0625,0,0.001511574,0,0,0.001511574,0,5,0
0.115384615,0.1875,0,0.002784722,0,0,0.000456019,0.916666667,5,0
0.066666667,0.0625,0,0.145134259,0,0,0.145134259,0,5,0
0.142857143,0.0625,0,0.006273148,0,0,0.006273148,0,5,0
0.051724138,0.1875,0,0.73575,0,0,0.735706019,1,5,0
0.142857143,0.0625,0,0.0864375,0,0,0.0864375,0,5,0
0.25,0.0625,0,0.215131944,0,0,0.215131944,0,5,0
0.024390244,0.0625,0,0.570488426,0,0,0.570488426,0,5,0
0.1875,0.096774194,0,0.597728175,0.419354839,0.993592814,0.0994709,0,7,0
0.02247191,0.064516129,0,0.577850529,0.419354839,0.993592814,0.577843915,0,7,0
0.025974026,0.064516129,0,0.272053571,0.419354839,0.993592814,0.272005622,0,7,0
0.03125,0.032258065,0,0.350580357,0.419354839,0.993592814,0.350580357,0,7,0
0.066666667,0.032258065,0,0.58139881,0.419354839,0.993592814,0.58139881,0,7,0
0.5,0.06,0,0.954284722,0.64,0.993592814,0.954240741,0,5,0
0.2,0.090909091,0,0.002113095,0,0,0.002113095,0,7,0
0.107142857,0.272727273,0,0.005765542,0,0,0.005724206,0.875,7,0
0.5,0.181818182,0,0.00858631,0,0,0.005380291,1,7,0
0.111111111,0.2,0,0.002712191,0,0,0.002712191,1,3,0
0.074074074,0.4,0,0.08005787,0,0,0.000165895,0.8,3,0
0.029411765,0.2,0,0.210065586,0,0,0.210065586,0.923076923,3,0
0.008695652,0.076923077,0,0.97902392,0,0.993592814,0.97902392,0,3,0
0.1,0.125,0,0.995930886,0,0,0.995930886,1,7,0
0.2,0.076923077,0,0.283561508,0,0,0.283561508,0,7,0
0.043478261,0.076923077,0,0.487362765,0,0,0.487362765,0,7,0
0.012987013,0.076923077,0,0.586916336,0,0,0.586916336,0,7,0
0.5,0.076923077,0,0.690401786,0,0,0.690401786,0,7,0
0.043478261,0.111111111,0,0.748657407,0,0,0.748657407,0.882352941,1,0
0.01,0.111111111,0,0.874710648,0,0,0.874710648,0.666666667,1,0
0.04,0.125,0,0.259549096,0,0,0.259549096,0.9,1,0
0.333333333,0.625,1,0.298087075,0,0,0.258151668,0.5,1,1
0.111111111,0.125,0,0.32423452,0,0,0.32423452,0.666666667,1,0
0.043478261,0.125,0,0.507810074,0,0,0.507810074,0.8,1,0
0.0625,0.25,0,0.007204034,0,0.993592814,0.007194114,0.923076923,7,0
0.357142857,0.625,1,0.00249504,0,0.993592814,0.001747685,0.8,7,1
0.008264463,0.125,0,0.005375331,0,0.993592814,0.005375331,0.818181818,7,0
0.008196721,0.028571429,0,0.689945988,0.485714286,0.993592814,0.689945988,0,3,0
0.016949153,0.028571429,0,0.707056327,0.485714286,0.993592814,0.707056327,0,3,0
0.008264463,0.028571429,0,0.870358796,0.485714286,0.993592814,0.870358796,0,3,0
0.5,0.028571429,0,0.965806327,0.485714286,0.993592814,0.965806327,0,3,0
0.017391304,0.057142857,0,0.956489198,0.485714286,0.993592814,0.956466049,0,3,0
0.034482759,0.1,0,0.000231482,0.1,0,0.000231482,0.611111111,5,0
0.047619048,0.05,0,0.000208333,0.1,0,0.000208333,0,5,0
0.024793388,0.176470588,0,0.606944444,0,0,0.002847222,0.818181818,1,0
0.2,0.058823529,0,0.156342593,0,0,0.156342593,0,1,0
0.111111111,0.176470588,0,0.537002315,0,0,0.330532407,0.8,1,0
0.6,0.352941176,1,0.403460648,0,0,0.328078704,0.75,1,1
0,0.1,0,0.95933642,0,0.993592814,0.95933642,1,3,0
0.583333333,0.152173913,1,0.196053241,0.608695652,0.99935281,0.195810185,1,1,1
0.037037037,0.043478261,0,0.263819444,0.608695652,0.99935281,0.263761574,0,1,0
0.028571429,0.032258065,0,0.569576389,0.419354839,0.993592814,0.569576389,0,5,0
0.5,0.161290323,0.5,0.909372685,0.419354839,0.993592814,0.909347222,1,5,1
0.1125,0.219512195,1,0.314828042,0.56097561,0.993528095,0.314522156,0.954545455,7,1
0.2,0.166666667,0,0.281122685,0,0,0.281108796,0.666666667,5,0
0.010869565,0.083333333,0,0.352252315,0,0,0.352252315,0,5,0
0.007246377,0.055555556,0,4.46429E-05,0,0,4.46429E-05,0,7,0
0.25,0.416666667,1,0.572435185,0,0,0.57231713,0.666666667,5,1
0.111111111,0.25,0.5,0.507337963,0,0,0.507291667,0.8,5,0
0,0.083333333,0,0.619074074,0,0,0.619074074,0,5,0
0.022727273,0.076923077,0,0.115127315,0,0,0.115127315,0,3,0
0.011627907,0.038461538,0,0.983599537,0.307692308,0.993592814,0.983599537,0,1,0
0.045454545,0.038461538,0,0.990115741,0.307692308,0.993592814,0.990115741,0,1,0
0.2,0.04,0,0.937619599,0.28,0,0.937619599,0,3,0
0.047619048,0.04,0,0.993070988,0.28,0,0.993070988,0,3,0
0.5,0.125,0,0.001011905,0.25,0,0.000968915,0.5,7,0
0.142857143,0.041666667,0,0.009904101,0.25,0,0.009904101,0,7,0
0.033333333,0.041666667,0,0.027681878,0.25,0,0.027681878,0,7,0
0.049382716,0.166666667,1,0.057395833,0.25,0,0.057316468,0.885714286,7,1
0.028571429,0.055555556,0,0.806698082,0,0,0.806698082,0,7,0
0.272727273,0.088235294,0,0.539434524,0.470588235,0.993592814,0.535342262,0,7,0
0.111111111,0.352941176,1,0.540610119,0.470588235,0.993592814,0.535261243,0.821428571,7,1
0.076923077,0.03125,0,0.506539352,0.4375,0.993592814,0.506539352,0,3,0
0.03030303,0.03125,0,0.256161265,0.4375,0.993592814,0.256161265,0,3,0
0.25,0.03125,0,0.290474537,0.4375,0.993592814,0.290474537,0,3,0
0.027027027,0.166666667,0,0.000150463,0,0,0.000150463,0.933333333,1,0
0.052631579,0.166666667,0,0.142916667,0,0,0.142916667,0.727272727,1,0
0.166666667,0.166666667,0,0.433877315,0,0,0.433877315,0.8,1,0
0.105263158,0.083333333,0,0.057809193,0.25,0,0.057795966,0,7,0
0,0.041666667,0,0.103521825,0.25,0,0.103521825,0,7,0
0.5,0.037037037,0,0.439112103,0.333333333,0.961233291,0.439112103,0,7,0
0.035714286,0.2,0,0.007569444,0,0.993592814,0.007569444,0.875,1,0
0.285714286,0.4,0,0.0003125,0,0.993592814,3.47222E-05,0.666666667,1,0
0.25,0.058823529,0,0.00777392,0,0,0.00777392,0,3,0
0.010309278,0.041666667,0,0.168085648,0.25,0.999935281,0.168085648,0,10,0
0.035087719,0.083333333,0,0.544775463,0.25,0.999935281,0.54475,0,10,0
0.010638298,0.041666667,0,0.651966435,0.25,0.999935281,0.651966435,0,10,0
0.010204082,0.041666667,0,0.75846875,0.25,0.999935281,0.75846875,0,10,0
0.045454545,0.041666667,0,0.709940972,0.25,0.999935281,0.709940972,0,10,0
0.051724138,0.125,0,0.937773148,0.25,0.999935281,0.882927083,1,10,0
0.090909091,0.041666667,0,0.766358796,0.25,0.999935281,0.766358796,0,10,0
0.222222222,0.083333333,0,0.937925926,0.25,0.999935281,0.937925926,0,10,0
0.181818182,0.105263158,0,0.01525463,0.526315789,0.993592814,0.011641865,1,7,0
1,0.157894737,0,0.013888889,0.526315789,0.993592814,0.002825728,1,7,0
0.2,0.026315789,0,0.018683862,0.526315789,0.993592814,0.018683862,0,7,0
0,0.026315789,0,0.088181217,0.526315789,0.993592814,0.088181217,0,7,0
0.25,0.026315789,0,0.12452381,0.526315789,0.993592814,0.12452381,0,7,0
0.333333333,0.026315789,0,0.137549603,0.526315789,0.993592814,0.137549603,0,7,0
0.15625,0.131578947,0.5,0.715813492,0.526315789,0.993592814,0.437761243,0.923076923,7,1
0.5,0.078947368,0,0.707397487,0.526315789,0.993592814,0.707397487,0,7,0
0.066666667,0.083333333,0,0.387037037,0,0,0.387037037,0,1,0
0.333333333,0.083333333,0,0.672546296,0,0,0.672546296,0,1,0
0.08,0.4,0,0.010893519,0,0,0.005486111,1,5,0
0.043478261,0.0625,0,0.462714947,0,0,0.462714947,0,7,0
0.043478261,0.0625,0,0.875656415,0,0,0.875656415,0,7,0
0.083333333,0.0625,0,0.875929233,0,0,0.875929233,0,7,0
0.03030303,0.020833333,0,0.898546627,0.625,0.993592814,0.898546627,0,7,0
1,0.041666667,0,0.897657077,0.625,0.993592814,0.897647156,0,7,0
0.028571429,0.052631579,0,0.874184855,0.052631579,0,0.874184855,0,7,0
0.017241379,0.071428571,0,4.9603E-06,0,0,4.9603E-06,0,7,0
0.03125,0.071428571,0,0.014978505,0,0,0.014978505,0,7,0
0.047058824,0.285714286,0.5,0.005443122,0,0,0.002814153,0.935483871,7,1
0.012987013,0.083333333,0,0.796770833,0,0,0.796770833,0,1,0
0.076923077,0.083333333,0,0.858912037,0,0,0.858912037,0,1,0
0.03125,0.083333333,0,0.902685185,0,0,0.902685185,0,1,0
0.016129032,0.083333333,0,0.904884259,0,0,0.904884259,0,1,0
0.090909091,0.083333333,0,0.905011574,0,0,0.905011574,0,1,0
0.25,0.071428571,0,0.114303902,0,0,0.114303902,0,7,0
0.083333333,0.142857143,0,0.140314153,0,0,0.008133267,0.909090909,7,0
0.444444444,0.285714286,0.5,0.420119048,0,0,0.190694444,1,7,1
0.142857143,0.071428571,0,0.397906746,0,0,0.397906746,0,7,0
0.1,0.076923077,0,0.87729828,0.307692308,0.993592814,0.693359788,0,7,0
0.012987013,0.166666667,0,0.271518519,0,0,0.271518519,0.833333333,5,0
0.066666667,0.166666667,0,2.3148E-06,0,0,2.3148E-06,0.8,5,0
0.008695652,0.166666667,0,0.55944213,0,0,0.55944213,0.87755102,5,0
0.025974026,0.333333333,0,0.747238426,0,0,0.570071759,0.923076923,5,0
0.045454545,0.166666667,0,0.616032407,0,0,0.616032407,1,5,0
0.028571429,0.020833333,0,1.81878E-05,0.625,0.993592814,1.81878E-05,0,7,0
0.022222222,0.125,0,6.11772E-05,0,0,6.11772E-05,0.727272727,7,0
0.057142857,0.25,0,0.618511905,0,0,0.618511905,0.947368421,7,0
0.045454545,0.125,0,0.325525794,0,0,0.325525794,0.928571429,7,0
0.032258065,0.25,0,0.550087632,0,0,0.550081019,0.75,7,0
0.043478261,0.125,0,0.859796627,0,0,0.859796627,0.882352941,7,0
0.117647059,0.125,0,0.001288029,0.4375,0.993592814,0.000610119,0.923076923,7,0
0.126984127,0.173913043,1,0.496886574,0.608695652,0.993592814,0.496736111,0.80952381,1,1
0.028571429,0.076923077,0,0.000557209,0,0,0.000557209,0,7,0
0.25,0.065217391,0,0.985196759,0.608695652,0.993592814,0.985104167,0,1,0
0.02173913,0.03125,0,3.3069E-06,0.4375,0.993592814,3.3069E-06,0,7,0
0.028571429,0.03125,0,6.6138E-06,0.4375,0.993592814,6.6138E-06,0,7,0
0.111111111,0.045454545,0,0.933665124,0.181818182,0,0.933665124,0,3,0
0.013333333,0.125,0,0.980661376,0,0,0.980661376,0.891891892,7,0
0.026086957,0.375,0.5,0.013252315,0,0,0.001099537,0.926829268,1,1
0.051282051,0.153846154,0,0.002307099,0,0.993592814,3.47222E-05,0.846153846,3,0
0.007246377,0.1,0,0.693365222,0,0,0.693365222,0.865671642,7,0
0.093023256,0.4,0,0.010965278,0,0,0.001333333,0.866666667,5,0
1,0.2,0,0.001962963,0,0,0.00075463,0,5,0
0.142857143,0.2,0,0.007548611,0,0,0.007539352,1,5,0
0.518518519,0.777777778,1,0.998328373,0.5,0.999935281,0.998315146,1,7,1
