R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,Y
0.654,1.147,0.139,0.727,0.726,0.999,7.775,8.223,1,0.195,0.195,0.308,0.03,0.022,0.111,0.022,1
0.512,1.206,0.128,0.699,0.68,0.972,5.699,9.173,1,0.24,0.24,0.414,0.058,0.039,0.164,0.039,1
0.61,1.175,0.221,0.755,0.55,0.728,4.877,3.868,1,0.21,0.21,0.327,0.05,0.028,0.132,0.028,1
0.57,1.228,0.16,0.761,0.455,0.598,3.221,4.578,1,0.031,0.031,0.05,0.031,0.014,0.459,0.014,1
0.497,1.227,0.058,0.708,0.432,0.61,3.298,12.892,1,0.231,0.231,0.401,0.065,0.028,0.122,0.028,1
0.851,1.364,0.153,0.862,0.394,0.457,1.712,4.077,1,0.191,0.191,0.302,0.062,0.024,0.128,0.024,1
1.053,1.856,0.231,0.822,1.642,1.997,4.33,16.082,1,0.119,0.119,0.269,0.034,0.055,0.464,0.055,1
1.204,1.934,0.242,0.796,1.547,1.943,4.022,15.547,1,0.083,0.083,0.203,0.056,0.086,1.032,0.086,1
1.5,2.591,0.374,0.794,1.7,2.141,3.487,14.837,1,0.142,0.142,0.463,0.059,0.1,0.704,0.1,1
1.133,2.017,0.15,0.772,1.737,2.251,4.464,30.301,1,0.107,0.107,0.281,0.058,0.101,0.937,0.101,1
1.097,1.718,0.307,0.799,1.551,1.94,4.644,10.866,1,0.133,0.133,0.285,0.025,0.038,0.288,0.038,1
1.185,1.936,0.296,0.756,1.742,2.305,4.766,15.088,1,0.146,0.146,0.374,0.064,0.111,0.761,0.111,1
1.364,2.122,0.548,0.762,1.967,2.582,4.882,9.997,1,0.137,0.137,0.382,0.104,0.204,1.484,0.204,1
1.533,1.986,0.589,0.736,2.068,2.81,5.66,9.477,1,0.162,0.162,0.437,0.077,0.158,0.976,0.158,1
11.997,12.864,3.811,0.792,0.417,0.527,0.571,1.778,1,0.029,0.029,0.477,0.413,0.172,5.86,0.172,1
9.81,10.632,0.525,0.777,0.39,0.501,0.553,10.156,1,0.028,0.028,0.387,0.379,0.148,5.227,0.148,1
15.882,17.077,0.909,0.784,0.406,0.518,0.55,9.735,1,0.026,0.026,0.565,0.406,0.165,6.353,0.165,1
14.858,16.141,1.055,0.755,0.398,0.528,0.563,8.072,1,0.023,0.023,0.482,0.421,0.168,7.443,0.168,1
13.558,14.893,0.393,0.742,0.421,0.567,0.608,21.474,1,0.018,0.018,0.359,0.412,0.174,9.698,0.174,1
11.171,12.367,0.889,0.721,0.435,0.603,0.656,8.389,1,0.013,0.013,0.225,0.415,0.181,13.736,0.181,1
11.133,12.974,3.027,0.61,0.519,0.851,0.923,3.649,1,0.025,0.025,0.531,0.286,0.149,5.952,0.149,1
11.679,12.699,4.057,0.372,0.409,1.098,1.192,3.437,1,0.117,0.117,3.985,0.198,0.081,0.694,0.081,1
0.902,1.008,0.028,0.69,0.221,0.321,41.354,11.454,1,0.311,0.311,0.454,-0.01,-0.002,-0.007,-0.002,0
0.944,0.997,0.058,0.678,0.25,0.368,-110.089,6.347,1,0.302,0.302,0.443,-0.072,-0.018,-0.059,-0.018,0
0.966,1.028,0.012,0.681,0.353,0.518,19.053,43.201,1,0.287,0.287,0.434,-0.114,-0.04,-0.14,-0.04,0
1.051,1.113,0.101,0.689,0.321,0.466,4.608,5.13,1,0.286,0.286,0.461,0.006,0.002,0.007,0.002,0
1.101,1.163,0.06,0.585,0.389,0.665,4.732,12.812,1,0.366,0.366,0.729,0.023,0.009,0.024,0.009,0
1.134,1.183,0.043,0.664,0.332,0.501,3.235,13.831,1,0.279,0.279,0.497,0.058,0.019,0.07,0.019,0
0.127,1.19,0.077,0.732,0.293,0.4,2.507,6.174,1,0.186,0.186,0.302,0.026,0.008,0.041,0.008,0
1.144,1.18,0.024,0.662,0.281,0.424,2.771,20.452,0.888,0.234,0.208,0.371,-0.287,-0.081,-0.387,-0.091,0
2.09,2.208,0.189,0.55,0.456,0.83,1.516,9.682,1,0.28,0.28,1.125,0.113,0.052,0.184,0.052,1
2.016,2.066,0.15,0.523,0.432,0.826,1.602,11.378,1,0.322,0.322,1.272,0.144,0.062,0.193,0.062,1
1.751,1.825,0.14,0.411,0.427,1.038,2.296,13.519,1,0.334,0.334,1.48,0.155,0.066,0.199,0.066,1
1.423,1.462,0.247,0.328,0.529,1.615,5.106,9.542,1,0.279,0.279,1.244,0.197,0.104,0.374,0.104,1
1.344,1.377,0.445,0.303,0.595,1.961,7.16,6.068,1,0.266,0.266,1.206,0.17,0.101,0.381,0.101,1
2.088,2.16,0.962,0.458,0.528,1.153,2.148,2.591,1,0.261,0.261,1.231,0.129,0.068,0.26,0.068,1
4.957,5.208,1.402,0.556,0.378,0.681,0.842,2.528,1,0.322,0.322,3.015,15.275,5.777,17.956,5.777,1
-11.163,4.59,1.05,0.552,0.347,0.629,0.805,2.752,1,0.253,0.253,2.107,0.151,0.052,0.207,0.052,1
2.569,2.569,0.813,0.348,0.01,0.028,0.046,0.089,1,0.861,0.861,6.353,0.069,0.001,0.001,0.001,1
3.659,3.659,1.321,0.338,0.008,0.024,0.034,0.068,1,0.903,0.903,9.77,0.032,0,0,0,1
3.094,3.094,1.81,0.35,0.007,0.02,0.03,0.035,1,0.883,0.883,7.797,0.003,0,0,0,1
2.556,2.556,0.833,0.316,0.013,0.041,0.067,0.125,1,0.87,0.87,7.044,0.11,0.001,0.002,0.001,1
2.999,2.999,1.243,0.301,0.014,0.045,0.067,0.108,1,0.893,0.893,8.903,0.057,0.001,0.001,0.001,1
2.787,2.787,1.5,0.262,0.009,0.036,0.056,0.066,1,0.9,0.9,9.574,0.089,0.001,0.001,0.001,1
0.025,0.025,1.496,0.178,0.01,0.053,-0.001,0.001,1,0.922,0.922,0.128,0.121,0.001,0.001,0.001,1
6.587,6.601,4.934,0.734,0.548,0.747,0.88,0.999,1,0.095,0.095,0.857,0.251,0.137,1.442,0.137,1
0.955,1.738,0.005,0.767,0.341,0.444,1.046,166.687,1,0.293,0.293,0.664,0.033,0.011,0.038,0.011,1
1.094,1.894,0.049,0.754,0.298,0.395,0.837,15.262,1,0.291,0.291,0.73,0.014,0.004,0.015,0.004,1
1.183,1.963,0.02,0.71,0.291,0.41,0.837,40.528,1,0.301,0.301,0.833,0.085,0.025,0.083,0.025,1
1.028,1.646,0.005,0.808,0.274,0.339,0.863,103.687,1,0.06,0.06,0.123,0.089,0.024,0.404,0.024,1
1.651,2.296,0.008,0.878,0.335,0.381,0.676,103.607,0.926,0.054,0.05,0.13,-0.311,-0.104,-2.088,-0.112,1
2.407,2.424,0,0.874,0.542,0.62,1.056,"5098.33",1.014,0.047,0.047,0.131,0.024,0.013,0.281,0.013,1
1.482,2.437,0.071,0.867,0.568,0.655,1.111,22.639,1.007,0.043,0.044,0.123,0.046,0.026,0.601,0.026,1
1.49,2.045,0.2,0.846,0.486,0.574,1.123,5.855,1.105,0.044,0.048,0.116,0.031,0.015,0.317,0.014,1
0.544,1.746,0.076,0.946,0.047,0.05,0.117,1.152,1,0.337,0.337,0.623,0.41,0.019,0.058,0.019,1
0.715,1.635,0.419,0.968,0.361,0.373,0.961,1.458,1,0.295,0.295,0.498,0.075,0.027,0.092,0.027,1
0.308,1.365,0.2,0.964,0.051,0.053,0.199,0.363,1,0.183,0.183,0.259,0.798,0.041,0.224,0.041,1
0.191,1.331,0.036,0.997,0.115,0.116,0.465,4.289,1,0.129,0.129,0.172,0.19,0.022,0.17,0.022,1
0.202,1.24,0.019,0.997,0.058,0.059,0.302,3.903,1,0.08,0.08,0.099,0.411,0.024,0.3,0.024,1
0.337,1.597,0.038,0.997,0.103,0.103,0.276,4.389,1,0.252,0.252,0.403,0.271,0.028,0.111,0.028,1
0.303,1.598,0.036,0.997,0.107,0.108,0.287,4.822,1,0.259,0.259,0.415,0.227,0.024,0.094,0.024,1
0.436,2.189,0.036,0.997,0.075,0.075,0.138,4.619,1,0.447,0.447,0.981,0.166,0.012,0.028,0.012,1
0.394,0.435,0.003,0.178,0.042,0.236,-0.182,32.698,1,1.02,1.02,2.487,-1.613,-0.068,-0.067,-0.068,0
0.435,0.498,0.033,0.186,0.04,0.217,-0.215,3.294,1,0.989,0.989,2.654,-1.922,-0.077,-0.078,-0.077,0
0.511,0.553,0.149,0.204,0.028,0.136,-0.168,0.504,1,0.862,0.862,2.337,-3.464,-0.096,-0.112,-0.096,0
0.319,0.339,0.107,0.258,0.059,0.227,-0.116,0.721,1,0.318,0.318,0.418,-1.863,-0.109,-0.343,-0.109,0
0.616,0.659,0.091,0.551,0.352,0.64,-1.236,4.63,0.997,0.157,0.157,0.187,-0.154,-0.054,-0.347,-0.054,0
0.646,0.775,0.146,0.705,0.308,0.437,-1.507,2.324,1,0.005,0.005,0.006,-0.192,-0.059,-11.423,-0.059,0
0.629,0.786,0.019,0.63,0.563,0.894,-3.289,37.663,1,0.011,0.011,0.013,-0.187,-0.106,-10.03,-0.106,0
0.598,0.865,0.088,0.655,0.643,0.981,-6.278,9.642,1,0.005,0.005,0.006,-0.099,-0.064,-13.285,-0.064,0
2.754,3.239,0.316,0.707,0.373,0.528,0.764,5.42,1,0.038,0.038,0.174,0.102,0.038,1.001,0.038,1
2.993,3.646,0.336,0.647,0.265,0.41,0.565,4.447,1,0.026,0.026,0.147,0.013,0.004,0.135,0.004,1
2.899,3.315,0.586,0.668,0.217,0.324,0.465,1.834,1,0.023,0.023,0.114,0.015,0.003,0.138,0.003,1
2.853,3.425,0.769,0.637,0.217,0.341,0.481,1.517,1,0.012,0.012,0.066,0.041,0.009,0.718,0.009,1
3.648,4.154,0.544,0.707,0.213,0.302,0.397,2.305,1,0.011,0.011,0.066,0.089,0.019,1.68,0.019,1
3.379,4.036,0.374,0.757,0.344,0.454,0.604,4.9,1,0.01,0.01,0.052,0.375,0.129,13.3,0.129,1
3.679,3.859,1.511,0.732,0.28,0.383,0.517,0.978,1,0.015,0.015,0.079,0.128,0.036,2.394,0.036,1
4.067,4.417,1.302,0.72,0.36,0.5,0.646,1.696,1,0.04,0.04,0.244,0.37,0.133,3.344,0.133,1
4.423,6.907,0.58,0.974,1.257,1.292,1.51,15.371,1,0.859,0.859,6.094,-0.028,-0.035,-0.041,-0.035,1
3.653,5.565,0.72,0.972,1.405,1.445,1.762,11.163,1,0.825,0.825,4.725,0.005,0.007,0.009,0.007,1
7.959,10.619,1.752,0.969,1.684,1.738,1.919,10.537,1,0.909,0.909,9.959,0.011,0.019,0.021,0.019,1
6.735,9.773,1.702,0.969,1.989,2.053,2.287,11.788,1,0.901,0.901,9.09,0.031,0.062,0.068,0.062,1
6.251,9.069,1.58,0.969,1.896,1.958,2.2,11.24,0.946,0.887,0.839,7.858,0.029,0.054,0.064,0.057,1
4.55,6.591,0.99,0.967,1.5,1.551,1.829,10.33,0.977,0.85,0.83,5.658,0.029,0.043,0.052,0.044,1
6.848,10.286,1.14,0.966,1.657,1.715,1.9,15.485,0.9,0.896,0.806,8.578,0.029,0.049,0.06,0.054,1
2.632,3.617,0.777,0.962,1.574,1.636,2.261,7.619,1.108,0.76,0.842,3.163,0.055,0.087,0.103,0.078,1
1.21,1.247,0.315,0.699,0.68,0.973,4.913,3.857,0.876,0.013,0.011,0.02,-0.106,-0.072,-6.36,-0.082,0
1.069,1.069,0.155,0.696,0.78,1.12,17.309,7.711,1,0.349,0.349,0.536,-0.106,-0.083,-0.236,-0.083,0
1.253,1.253,0.201,0.766,0.948,1.237,6.129,7.726,1,0.017,0.017,0.028,-0.015,-0.014,-0.843,-0.014,0
1.798,1.804,0.179,0.857,0.915,1.067,2.395,10.782,1,0.06,0.06,0.125,0.178,0.163,2.739,0.163,0
1.606,1.606,0.363,0.794,0.696,0.877,2.323,3.88,1,0.169,0.169,0.342,0.05,0.035,0.204,0.035,0
1.667,1.667,0.038,0.777,0.68,0.875,2.187,38.599,1,0.244,0.244,0.523,0.087,0.059,0.243,0.059,0
1.578,1.578,0.107,0.789,0.73,0.925,2.526,13.706,1,0.211,0.211,0.422,0.095,0.069,0.328,0.069,0
1.518,1.518,0.132,0.755,1.068,1.415,4.147,16.286,1,0.217,0.217,0.437,0.01,0.011,0.049,0.011,0
0.883,1.084,0.049,0.88,0.509,0.579,7.494,12.832,1,0.754,0.754,0.928,-0.727,-0.37,-0.491,-0.37,0
1.15,1.321,0.025,0.897,0.571,0.637,2.623,33.247,1,0.443,0.443,0.653,-0.086,-0.049,-0.111,-0.049,0
1.208,1.316,0.028,0.881,0.499,0.566,2.358,26.279,1,0.393,0.393,0.587,0.412,0.205,0.523,0.205,0
1.181,1.287,0.028,0.805,0.822,1.021,4.577,47.59,1,0.709,0.709,1.133,-0.072,-0.059,-0.083,-0.059,0
0.725,0.787,0.114,0.79,0.615,0.778,-2.869,5.373,1,0.216,0.216,0.215,-1.265,-0.778,-3.605,-0.778,0
2.478,2.567,0.204,0.863,0.156,0.181,0.296,2.279,1,0.373,0.373,1.111,-0.517,-0.081,-0.216,-0.081,0
1.593,1.67,0.051,0.823,0.303,0.368,0.918,11.945,1,0.363,0.363,0.736,-0.761,-0.231,-0.635,-0.231,0
1.164,1.256,0.011,0.784,0.774,0.986,4.833,110.791,1,0.37,0.37,0.592,-0.137,-0.106,-0.286,-0.106,0
0.378,0.433,0.001,0.626,0.038,0.061,-0.046,17.623,1,0.003,0.003,0.002,-7.444,-0.282,-109.261,-0.282,0
0.417,0.499,0.002,0.549,0.022,0.041,-0.04,10.703,1,0.029,0.029,0.027,-0.812,-0.018,-0.619,-0.018,0
0.444,0.527,0.004,0.522,0.046,0.087,-0.097,11.254,1,0.11,0.11,0.111,-2.911,-0.133,-1.202,-0.133,0
0.734,0.818,0.001,0.862,0.172,0.199,-0.895,178.316,1,0.011,0.011,0.011,-0.941,-0.162,-14.238,-0.162,0
0.812,0.956,0.01,0.865,0.211,0.244,-5.265,23.576,1,0.011,0.011,0.012,0.002,0,0.04,0,0
0.852,0.993,0.031,0.875,0.408,0.467,-65.04,15.124,1,0.014,0.014,0.016,0.013,0.005,0.384,0.005,0
0.887,1.055,0.009,0.927,0.302,0.325,6.205,38.248,1,0.014,0.014,0.016,0.007,0.002,0.157,0.002,0
1.065,1.068,0.137,0.923,0.505,0.547,8.625,4.267,1,0.018,0.018,0.021,0.008,0.004,0.22,0.004,0
0.379,0.412,0.002,0.314,1.797,5.715,-4.002,"1058.54",1,0.237,0.237,0.31,-0.086,-0.155,-0.656,-0.155,0
0.453,0.516,0.003,0.318,0.961,3.022,-3.223,605.06,1,0.384,0.384,0.622,-0.072,-0.07,-0.181,-0.07,0
0.341,0.443,0.02,0.528,3.102,5.877,-4.671,127.582,1,-0.192,-0.192,-0.161,-0.027,-0.085,0.443,-0.085,0
0.145,0.302,0,0.344,0.52,1.512,-0.654,0,1,-0.139,-0.139,-0.122,-0.698,-0.363,2.617,-0.363,0
0.176,0.325,0.003,0.272,3.04,11.191,-5.388,"1302.10",1,0.164,0.164,0.196,0.017,0.05,0.308,0.05,0
0.376,0.562,0,0.509,2.625,5.155,-6.625,"12711.21",1,0.095,0.095,0.104,0,0,-0.003,0,0
0.302,0.467,0.001,0.443,1.222,2.759,-2.42,"2137.34",1.047,0.095,0.099,0.104,-0.01,-0.013,-0.127,-0.012,0
0.167,0.305,0.002,0.329,0.692,2.104,-0.922,418.254,1.076,0.034,0.036,0.034,-0.344,-0.238,-6.53,-0.221,0
1.635,3.12,0.605,0.746,0.892,1.195,1.759,6.163,1,0.761,0.761,3.182,0.164,0.146,0.192,0.146,1
0.899,2.535,0.069,0.724,0.81,1.119,1.848,41.261,1,0.714,0.714,2.503,0.221,0.179,0.251,0.179,1
1.178,2.222,0.084,0.58,0.777,1.34,2.437,35.271,1,0.739,0.739,2.831,0.153,0.119,0.161,0.119,1
0.823,1.758,0.048,0.51,0.553,1.084,2.513,39.488,1,0.71,0.71,2.445,0.071,0.039,0.056,0.039,1
0.736,1.54,0.05,0.488,0.006,0.012,0.035,0.374,1,0.683,0.683,2.156,42.527,0.254,0.372,0.254,1
0.565,1.471,0.048,0.402,0.432,1.076,3.362,33.021,1,0.727,0.727,2.66,0.12,0.052,0.071,0.052,1
0.312,1.12,0.019,0.437,0.377,0.864,8.06,51.453,1,0.61,0.61,1.565,0.145,0.055,0.089,0.055,1
0.27,0.926,0.025,0.469,0.461,0.983,-12.224,36.154,1,0,0,0,0.071,0.033,228.075,0.033,1
0.639,1.504,0.115,0.356,0.206,0.579,1.729,7.605,1,0.046,0.046,0.193,0.048,0.01,0.216,0.01,1
0.71,1.767,0.129,0.392,0.164,0.42,0.967,5.745,1,0.065,0.065,0.292,0.049,0.008,0.124,0.008,1
0.806,1.757,0.199,0.396,0.156,0.393,0.911,3.474,1,0.091,0.091,0.402,0.046,0.007,0.078,0.007,1
0.9,1.887,0.244,0.414,0.144,0.349,0.743,2.699,1,0.123,0.123,0.559,0.048,0.007,0.056,0.007,1
1.538,2.661,1.336,0.414,0.119,0.288,0.461,0.573,0.947,0.134,0.127,0.818,-0.069,-0.008,-0.065,-0.009,1
2.588,3.496,2.151,0.572,0.106,0.186,0.26,0.302,1,0.133,0.133,0.815,-0.134,-0.014,-0.106,-0.014,1
2.775,3.466,2.267,0.577,0.091,0.158,0.222,0.241,1,0.13,0.13,0.784,-0.246,-0.022,-0.171,-0.022,1
0.131,0.234,0.034,0.357,0.133,0.374,-0.114,2.61,1,0.038,0.038,0.025,-0.299,-0.04,-1.056,-0.04,1
0.478,0.734,0.189,0.324,0.765,2.362,-6.527,9.199,1,0.278,0.278,0.631,0.029,0.022,0.08,0.022,1
0.375,0.552,0.094,0.34,1.135,3.336,-4.105,19.641,1,0.012,0.012,0.02,0.09,0.102,8.167,0.102,1
0.414,0.679,0.042,0.34,1.101,3.242,-6.845,51.944,1,0.179,0.179,0.357,0.075,0.083,0.464,0.083,1
0.591,0.969,0.06,0.34,0.844,2.485,-78.101,39.818,0.899,0.383,0.344,0.982,0.047,0.04,0.115,0.044,1
0.511,0.662,0.182,0.27,0.7,2.59,-5.061,9.413,1.118,0.477,0.534,1.306,-0.142,-0.099,-0.186,-0.089,1
2.071,2.325,0.134,1,0.724,0.724,1.27,12.597,1.037,0.554,0.574,1.335,-0.044,-0.032,-0.056,-0.031,1
1.156,1.545,0.301,0.348,0.473,1.36,3.856,6.967,0.921,0.688,0.634,2.814,-0.192,-0.091,-0.144,-0.099,1
0.414,0.53,0.002,0.225,0.269,1.193,-1.344,303.234,1,0.421,0.421,0.989,-0.419,-0.113,-0.268,-0.113,1
1.037,1.89,0.026,0.706,0.459,0.651,1.382,48.05,1,0.313,0.313,0.838,0.006,0.003,0.009,0.003,1
0.978,2.038,0.015,0.67,0.485,0.723,1.42,95.677,1,0.344,0.344,1.044,0.006,0.003,0.009,0.003,1
1.025,1.862,0.096,0.701,0.429,0.611,1.32,11.819,1,0.329,0.329,0.875,0.024,0.01,0.032,0.01,1
0.995,2.116,0.03,0.665,0.407,0.613,1.161,43.387,1,0.37,0.37,1.179,0.032,0.013,0.035,0.013,1
1.449,2.992,0.192,0.282,0.17,0.603,0.906,9.391,0.421,0.427,0.18,1.91,0.046,0.008,0.044,0.019,1
1.307,2.644,0.351,0.661,0.411,0.621,0.999,4.685,1,0.421,0.421,1.682,0.043,0.018,0.042,0.018,1
1.451,2.293,0.414,0.703,0.308,0.438,0.777,2.424,1,0.392,0.392,1.278,0.019,0.006,0.015,0.006,1
1.34,1.92,0.377,0.725,0.177,0.244,0.51,1.243,1,0.354,0.354,0.938,-0.062,-0.011,-0.031,-0.011,1
1.28,1.458,0.168,0.687,0.559,0.813,2.587,7.048,1,0.083,0.083,0.176,0.058,0.033,0.394,0.033,1
1.466,1.7,0.232,0.672,0.442,0.658,1.598,4.828,1,0.074,0.074,0.186,0.068,0.03,0.41,0.03,1
1.315,1.593,0.197,0.629,0.595,0.945,2.539,7.665,1,0.1,0.1,0.252,0.115,0.068,0.685,0.068,1
0.833,1.371,0.268,0.666,0.621,0.932,3.443,4.775,1,0.114,0.114,0.234,0.066,0.041,0.359,0.041,1
0.902,1.346,0.183,0.699,0.556,0.795,3.091,5.839,1,0.081,0.081,0.156,0.075,0.042,0.514,0.042,1
0.89,1.304,0.111,0.736,0.535,0.727,3.123,8.558,1,0.117,0.117,0.208,0.089,0.048,0.405,0.048,1
1.335,1.623,0.386,0.701,0.584,0.833,2.17,3.504,1,0.063,0.063,0.145,0.112,0.066,1.049,0.066,1
1.55,1.807,0.134,0.633,0.875,1.383,3.098,18.599,1,0.061,0.061,0.174,0.152,0.133,2.174,0.133,1
5.002,5.002,3.521,0.145,0.332,2.289,2.86,3.252,1,0.479,0.479,16.526,0.409,0.136,0.283,0.136,1
8.733,8.733,7.029,0.345,0.302,0.877,0.991,1.09,1,0.509,0.509,12.888,0.346,0.105,0.206,0.105,1
1.644,1.644,1.475,0.347,0.28,0.805,2.054,0.897,1,0.462,0.462,2.187,0.409,0.114,0.248,0.114,1
5.906,5.906,3.231,0.435,0.311,0.713,0.859,1.304,1,0.436,0.436,5.91,0.663,0.206,0.472,0.206,1
2.876,2.877,2.438,0.32,0.191,0.598,0.916,0.705,1,0.562,0.562,5.059,0.204,0.039,0.069,0.039,1
2.658,2.658,2.25,0.294,0.194,0.659,1.057,0.779,0.669,0.835,0.559,5.059,0.34,0.066,0.118,0.098,1
3.407,3.407,2.675,0.233,0.187,0.802,1.135,1.021,1.039,0.064,0.067,0.974,0.023,0.004,0.064,0.004,1
57.778,57.781,44.148,0.236,0.199,0.842,0.857,1.102,0.954,0.052,0.049,12.118,0.387,0.077,1.553,0.081,1
4.484,4.484,3.188,0.258,0.339,1.311,1.688,1.844,1,0.479,0.479,8.316,0.508,0.172,0.359,0.172,1
3.029,3.029,2.104,0.279,0.31,1.114,1.663,1.603,1,0.508,0.508,5.526,0.436,0.135,0.266,0.135,1
9.671,9.671,6.051,0.233,0.337,1.449,1.616,2.316,0.914,0.627,0.573,23.812,0.151,0.051,0.089,0.056,1
8.441,8.441,6.338,0.221,0.298,1.351,1.532,1.799,1,0.613,0.613,23.449,0.371,0.111,0.181,0.111,1
10.359,10.359,7.156,0.199,0.257,1.293,1.432,1.872,1,0.655,0.655,34.16,0.336,0.086,0.132,0.086,1
9.357,9.357,7.489,0.247,0.226,0.914,1.023,1.142,1,0.627,0.627,23.753,0.486,0.11,0.175,0.11,1
7.596,7.596,5.235,0.222,0.21,0.948,1.092,1.376,1,0.672,0.672,22.998,0.315,0.066,0.099,0.066,1
5.351,5.351,3.233,0.166,0.195,1.175,1.445,1.944,1,0.732,0.732,23.58,0.259,0.051,0.069,0.051,1
0.624,1.417,0.283,0.501,0.22,0.439,1.492,2.198,1,0.293,0.293,0.827,0.032,0.007,0.024,0.007,1
3.315,4.287,2.832,0.691,0.723,1.045,1.364,1.582,1,0.403,0.403,2.499,0.167,0.12,0.299,0.12,1
1.416,2.544,0.738,0.721,0.985,1.365,2.25,4.706,1,0.402,0.402,1.419,0.066,0.065,0.162,0.065,1
0.337,1.929,0.153,0.801,1.07,1.336,2.773,16.841,1,0.325,0.325,0.781,0.084,0.09,0.278,0.09,1
0.798,1.94,0.182,0.853,0.603,0.707,1.459,7.518,1,0.308,0.308,0.7,0.03,0.018,0.058,0.018,1
1.719,2.757,0.314,0.872,3.401,3.901,6.121,34.231,1,0.282,0.282,0.891,0.04,0.134,0.477,0.134,1
0.293,1.161,0.042,0.951,0.53,0.558,4.029,15.57,1,0.087,0.087,0.106,-0.026,-0.014,-0.16,-0.014,1
1.493,2.607,0.458,0.863,0.63,0.73,1.184,4.157,1,0.339,0.339,1.024,-0.286,-0.18,-0.532,-0.18,1
-0.22,0.123,0.07,0.063,0.294,4.637,-0.649,8.126,1,0.484,0.484,0.937,0.128,0.037,0.077,0.037,1
-0.183,0.174,0.037,0.093,0.369,3.966,-0.838,18.927,1,0.002,0.002,0.004,0.286,0.106,54.674,0.106,1
-0.112,0.229,0.293,0.146,0.248,1.695,-0.503,1.324,1,0,0,0,-0.114,-0.028,-153.497,-0.028,1
-0.148,0.206,0.263,0.128,0.309,2.409,-0.627,1.89,1,0.38,0.38,0.612,0.211,0.065,0.172,0.065,1
0.053,0.434,0.116,0.163,0.174,1.073,-0.821,4.007,0.572,0.345,0.197,0.527,0.333,0.058,0.294,0.101,1
0.278,0.54,0.115,0.336,0.247,0.735,-0.864,3.452,1,0.003,0.003,0.005,0.357,0.088,30.816,0.088,1
1.222,1.237,0.114,0.658,0.432,0.657,3.425,7.12,1,0.003,0.003,0.006,0.531,0.23,67.063,0.23,1
0.751,0.774,0.091,0.53,0.219,0.412,-1.414,3.506,1,0.007,0.007,0.01,0.364,0.08,11.948,0.08,1
0.267,0.378,0.074,0.076,0.125,1.646,-1.002,8.454,1,0.481,0.481,2.406,-0.117,-0.015,-0.03,-0.015,0
0.176,0.344,0.03,0.068,0.142,2.069,-1.085,24.098,1,0.465,0.465,2.336,-0.091,-0.013,-0.028,-0.013,0
0.111,0.256,0.006,0.044,0.109,2.495,-0.861,98.872,1,0.472,0.472,2.772,-0.149,-0.016,-0.034,-0.016,0
0.151,0.285,0.018,0.05,0.108,2.169,-0.866,34.618,1,0.456,0.456,2.62,-0.433,-0.047,-0.102,-0.047,0
