no_of_ifs,no_of_switches,no_of_loop,no_of_break,priority_queue_present,no_of_sort,hash_set_present,hash_map_present,recursion_present,nested_loop_depth,noOfVariables,noOfMethods,noOfJumps,noOfStatements,complexity
2,0,1,0,0,0,0,0,0,1,6,2,2,10,logn
5,0,0,0,0,0,0,0,1,0,7,2,6,3,logn
0,0,2,0,0,0,0,0,0,1,7,3,1,10,logn
5,0,0,0,0,0,0,0,1,0,7,2,6,4,logn
5,0,0,0,0,0,0,0,1,0,23,2,6,28,logn
4,0,0,0,0,0,0,0,1,0,11,2,4,8,logn
3,0,1,0,0,0,0,0,0,1,11,2,2,11,logn
4,0,1,0,0,0,0,0,1,1,6,4,7,4,logn
11,0,0,0,0,0,0,0,1,0,17,4,14,7,logn
9,0,0,0,0,0,0,0,1,0,12,3,10,8,logn
7,0,0,0,0,0,0,0,1,0,10,2,7,8,logn
4,0,2,0,0,0,0,0,1,1,16,3,6,13,logn
3,0,0,0,0,0,0,0,1,0,7,2,4,4,logn
5,0,0,0,0,0,0,0,1,0,7,2,6,4,logn
2,0,0,0,0,0,0,0,1,0,10,3,4,4,logn
5,0,0,0,0,0,0,0,1,0,23,2,6,28,logn
6,0,0,0,0,0,0,0,1,0,11,2,6,8,logn
3,0,0,0,0,0,0,0,1,0,8,2,4,5,logn
3,0,0,0,0,0,0,0,1,0,8,2,4,5,logn
6,0,1,0,0,0,0,0,0,1,24,6,7,32,logn
4,0,4,1,0,0,0,0,0,2,14,5,7,20,logn
5,0,1,0,0,0,0,0,0,1,8,1,1,18,logn
3,0,2,0,0,0,0,0,0,1,15,2,0,25,logn
7,0,0,0,0,0,0,0,1,0,22,4,10,11,logn
5,0,1,0,0,0,0,0,0,1,8,1,0,36,logn
0,0,1,0,0,0,0,0,0,1,6,1,0,6,n
10,0,7,0,0,0,0,0,0,1,26,5,5,23,n
11,0,7,0,0,0,0,0,0,1,28,5,5,26,n
3,0,2,0,0,0,0,0,0,1,9,1,0,12,n
3,0,4,0,0,0,0,0,0,1,11,1,0,9,n
3,0,2,0,0,0,0,0,0,1,8,1,0,11,n
6,0,7,0,0,0,0,0,0,1,34,6,6,40,n
7,0,8,0,0,0,0,0,0,1,31,5,5,43,n
3,0,2,0,0,0,0,0,0,1,13,1,0,20,n
7,0,5,4,0,0,0,0,0,1,10,2,6,12,n
1,0,5,0,0,0,0,0,0,1,22,4,3,25,n
7,0,5,1,0,0,0,0,0,1,34,4,2,45,n
3,0,5,1,0,0,0,0,0,1,19,8,7,28,n
0,0,0,0,0,0,0,0,0,0,10,1,0,1,n
2,0,3,0,0,0,0,0,0,2,9,1,0,10,n
2,0,2,0,0,0,0,0,0,2,11,1,0,14,n
0,0,0,0,0,0,0,0,0,0,10,1,0,1,n
1,0,2,0,0,0,0,0,0,1,6,1,1,6,n
4,0,4,1,0,0,0,0,0,1,11,1,1,12,n
9,0,5,0,0,0,0,0,0,1,12,3,6,25,n
3,0,4,0,0,0,0,0,0,1,10,1,2,18,n
0,0,2,0,0,0,0,0,0,1,9,2,0,7,n
4,0,3,0,0,0,0,0,0,1,12,2,1,14,n
2,0,3,0,0,0,0,0,0,2,11,2,0,11,n
2,0,4,0,0,0,0,0,0,1,13,2,0,11,n
6,0,2,0,0,0,0,0,0,1,18,4,8,12,n
1,0,1,0,0,0,0,0,0,1,9,2,1,7,n
6,0,4,1,0,0,0,0,0,1,15,4,7,12,n
3,0,2,0,0,0,1,0,0,1,11,2,0,11,n
1,0,2,0,0,0,0,0,0,1,14,3,2,13,n
0,0,2,0,0,0,0,0,0,2,8,2,1,10,n
1,0,2,0,0,0,0,0,0,2,8,2,1,5,n
1,0,1,0,0,0,0,0,1,1,9,3,1,12,n
1,0,2,0,0,0,0,0,0,1,10,2,0,7,n
3,0,1,0,0,0,0,0,0,1,7,2,1,8,n
2,0,1,0,0,0,0,0,0,1,10,2,1,8,n
0,1,1,2,0,0,0,0,0,1,11,2,3,9,n
1,0,1,0,0,0,0,0,0,1,7,2,1,9,n
3,0,1,0,0,0,0,0,0,1,13,2,1,18,n
0,0,1,0,0,0,0,0,0,1,7,2,1,5,n
1,0,1,0,0,0,0,0,0,1,5,2,1,5,n
0,0,1,0,0,0,0,0,0,1,4,2,0,8,n
2,0,1,0,0,0,0,0,1,1,5,2,3,3,n
1,0,0,0,0,0,0,0,1,0,3,2,2,2,n
0,0,1,0,0,0,0,0,0,1,5,2,1,8,n
0,0,3,0,0,0,0,0,0,1,11,3,0,15,n
3,0,1,0,0,0,0,0,0,1,7,2,1,8,n
4,0,0,0,0,0,0,0,1,0,5,2,5,3,n
4,0,1,0,0,0,0,0,0,1,11,2,1,8,n
1,0,5,0,0,0,0,0,0,1,15,4,0,21,n
0,0,1,0,0,0,0,0,0,1,6,2,1,6,n
0,0,1,0,0,0,0,0,0,1,9,2,1,8,n
1,0,1,0,0,0,0,0,0,1,8,2,1,8,n
3,0,1,0,0,0,0,0,0,1,11,2,3,6,n
0,0,1,0,0,0,0,0,0,1,8,2,1,9,n
1,0,4,0,0,0,0,0,0,1,12,2,0,14,n
3,0,1,0,0,0,0,0,0,1,7,2,4,7,n
3,0,1,0,0,0,0,0,0,1,9,2,4,9,n
0,0,1,0,0,0,0,0,0,1,5,2,1,6,n
0,0,1,0,0,0,0,0,0,1,5,2,1,7,n
2,0,1,0,0,0,0,0,0,1,7,2,1,9,n
2,0,1,0,0,0,0,0,0,1,5,2,1,7,n
0,0,4,0,0,0,0,0,0,2,8,2,1,6,n
3,0,2,0,0,0,0,0,0,1,15,2,1,14,n
1,0,3,0,0,0,0,0,0,1,10,2,0,13,n
5,0,0,0,0,0,0,0,1,0,9,2,4,13,n
0,0,0,0,0,0,0,0,0,0,1,1,0,0,n
0,0,1,0,0,0,0,0,0,1,9,2,1,8,n
3,0,4,0,0,0,0,0,0,1,11,2,1,9,n
3,0,0,0,0,0,0,0,1,0,9,7,3,24,n
2,0,0,0,0,0,0,0,1,0,13,3,2,10,n
4,0,0,0,0,0,0,0,1,0,17,6,5,32,n
2,0,2,0,0,0,0,0,0,1,10,3,0,16,n
7,0,2,0,0,0,0,0,1,1,17,6,7,23,n
3,0,0,0,0,0,0,0,1,0,11,3,2,15,n
3,0,0,0,0,0,0,0,1,0,9,2,1,13,n
5,0,3,0,0,0,0,0,0,2,11,2,1,23,n
5,0,1,0,0,0,0,0,0,1,8,2,1,16,n
2,0,2,0,0,0,0,0,0,1,9,2,0,21,n
4,0,1,0,0,0,0,0,0,1,10,2,2,50,n
1,0,2,0,0,0,0,0,0,1,9,2,1,10,n
5,0,1,0,0,0,0,0,1,1,24,8,3,47,n
3,0,0,0,0,0,0,0,1,0,13,5,3,32,n
7,0,1,0,0,0,0,0,0,1,12,2,2,25,n
9,0,0,0,0,0,0,0,1,0,10,5,0,26,n
3,0,1,0,0,0,0,0,1,1,19,4,2,32,n
2,0,0,0,0,0,0,0,1,0,12,3,1,11,n
4,0,2,1,0,0,0,0,0,1,10,2,3,10,n
3,0,0,0,0,0,0,0,1,0,24,4,4,16,n
2,0,3,0,0,0,0,0,1,1,13,6,4,26,n
2,0,1,0,0,0,0,0,1,1,10,3,1,17,n
2,0,1,0,0,0,0,0,1,1,9,3,1,21,n
3,0,0,0,0,0,0,0,1,0,9,4,2,23,n
2,0,0,0,0,0,0,0,1,0,9,3,3,16,n
3,0,0,0,0,0,0,0,1,0,11,4,5,19,n
2,0,2,0,0,0,0,0,1,1,13,3,2,29,n
4,0,0,0,0,0,0,0,1,0,12,3,3,12,n
6,0,2,1,0,0,0,0,1,2,11,3,5,23,n
4,0,3,1,0,0,0,0,0,2,16,4,4,33,n
5,0,0,0,0,0,0,0,1,0,9,2,3,12,n
10,0,0,0,0,0,0,0,1,0,11,3,7,17,n
5,0,0,0,0,0,0,0,1,0,18,4,7,16,n
4,0,0,0,0,0,0,0,1,0,13,3,5,11,n
10,0,2,0,0,0,0,0,0,2,12,2,4,21,n
4,0,0,0,0,0,0,0,1,0,15,4,5,14,n
4,0,1,0,0,0,0,0,1,1,14,5,7,18,n
4,0,0,0,0,0,0,0,1,0,7,2,4,18,n
6,0,1,0,0,0,0,0,0,1,9,2,4,16,n
12,0,2,1,0,0,0,0,1,2,34,5,12,41,n
3,0,0,0,0,0,0,0,1,0,11,2,3,13,n
7,0,3,1,0,2,0,0,1,1,26,5,8,22,n
3,0,2,1,0,0,0,0,0,2,12,3,5,27,n
3,0,0,0,0,0,0,0,1,0,9,2,3,13,n
3,0,0,0,0,0,0,0,1,0,9,2,3,11,n
9,0,0,0,0,0,0,0,1,0,17,5,7,21,n
4,0,1,0,0,0,0,0,1,1,13,3,4,15,n
2,0,0,0,0,0,0,0,1,0,9,3,2,13,n
5,0,2,1,0,0,0,0,0,2,12,3,3,21,n
2,0,0,0,0,0,0,0,1,0,6,2,0,13,n
2,0,0,0,0,0,0,0,1,0,13,4,3,17,n
3,0,2,0,0,0,0,0,1,1,21,7,5,34,n
1,0,1,0,0,0,0,0,0,1,4,2,1,4,n
2,0,0,0,0,0,0,0,1,0,14,3,3,13,n
2,0,0,0,0,0,0,0,1,0,13,4,3,18,n
2,0,1,0,0,0,0,0,1,1,11,3,3,13,n
5,0,1,0,0,0,0,0,0,1,12,2,3,23,n
4,0,2,0,0,0,0,0,0,2,13,3,2,24,n
4,0,0,0,0,0,0,0,1,0,14,5,4,19,n
7,0,3,0,0,0,0,0,1,2,16,4,4,29,n
3,0,1,0,0,0,0,0,0,1,6,2,3,4,n
4,0,1,0,0,0,0,0,0,1,9,2,1,13,n
4,0,3,1,0,0,0,0,0,2,15,2,3,35,n
6,0,0,0,0,0,0,0,1,0,15,5,7,28,n
7,0,1,0,0,0,0,0,1,1,17,5,6,24,n
6,0,4,0,0,0,0,0,0,1,24,5,3,25,n
5,0,1,0,0,0,0,0,1,1,23,6,4,38,n
4,0,0,0,0,0,0,0,1,0,15,7,4,24,n
3,0,4,0,0,0,0,0,1,1,21,3,2,24,n
4,0,2,0,0,0,0,0,0,1,15,2,1,24,n
7,0,1,0,0,0,0,0,0,1,11,2,5,13,n
6,0,1,0,0,0,0,0,0,1,10,2,5,11,n
0,0,0,0,0,0,0,0,0,0,6,2,1,4,n
1,0,1,0,0,0,0,0,0,1,9,2,1,7,n
5,0,4,0,0,0,0,0,0,1,23,2,2,16,n
1,0,2,0,0,0,0,0,0,1,10,3,0,14,n
1,0,1,0,0,0,0,0,0,1,7,2,1,5,n
2,0,2,0,0,0,0,0,0,1,5,2,0,8,n
3,0,2,0,0,0,0,0,0,1,8,2,2,13,n
3,0,3,0,1,0,0,0,0,1,14,2,0,18,n
1,0,2,0,0,0,0,0,0,2,6,2,1,7,n
4,0,0,0,0,0,0,0,1,0,8,2,4,4,n
0,0,1,0,0,0,0,0,0,1,7,2,1,6,n
4,0,1,0,0,0,0,0,0,1,7,2,1,10,n
4,0,1,0,0,0,0,0,0,1,10,2,4,7,n
1,0,1,0,0,0,0,0,0,1,9,2,1,6,n
2,0,2,0,0,0,0,0,0,1,7,2,0,10,n
2,0,4,0,0,0,0,0,0,1,10,2,0,17,n
1,0,1,0,0,0,0,0,0,1,6,2,2,4,n
1,0,1,0,0,0,0,0,0,1,8,2,1,6,n
2,0,1,0,0,0,0,0,0,1,8,2,2,9,n
4,0,1,0,0,0,0,0,0,1,8,2,1,11,n
2,0,1,0,0,0,0,1,0,1,6,2,0,8,n
3,0,1,0,0,0,0,0,0,1,11,2,0,14,n
2,0,1,0,0,0,0,0,0,1,12,2,0,11,n
2,0,1,0,0,0,0,0,0,1,17,2,0,16,n
4,0,2,1,0,0,0,0,0,1,10,2,3,10,n
3,0,1,0,0,0,0,0,0,1,5,2,1,9,n
4,0,1,0,0,0,0,0,0,1,7,2,1,10,n
3,0,2,0,0,0,0,0,0,2,9,1,1,10,n
3,0,1,0,0,0,0,0,0,1,7,1,0,8,n
2,0,1,0,0,0,0,0,0,1,7,1,0,7,n
2,0,2,0,0,0,0,0,0,2,6,1,0,7,n
0,0,3,0,0,0,0,0,0,1,8,1,0,8,n
1,0,2,0,0,0,0,0,0,1,8,1,0,9,n
2,0,1,0,0,0,0,0,0,1,6,1,0,9,n
1,0,1,0,0,0,0,0,0,1,7,2,0,8,n
7,0,2,0,0,0,0,0,0,1,17,1,0,31,n
2,0,4,0,0,0,0,0,0,1,11,1,0,14,n
1,0,2,0,0,0,0,0,0,2,7,1,0,12,n
0,0,1,0,0,0,0,0,0,1,9,2,1,10,n
2,0,3,0,0,0,0,0,0,2,9,1,0,11,n
2,0,3,0,0,0,0,0,0,1,11,1,2,24,n
6,0,2,0,0,0,0,0,0,1,12,5,5,12,n
4,0,5,0,0,0,0,0,0,3,15,1,0,16,n
3,0,2,1,0,0,0,0,0,1,12,5,3,17,n
3,0,1,1,0,1,0,0,0,1,13,1,2,19,n
1,0,2,0,0,0,0,0,0,1,7,1,0,9,n
2,0,3,0,0,0,0,0,0,1,12,2,1,12,n
1,0,1,0,0,0,0,0,0,1,10,2,1,6,n
1,0,2,0,0,0,0,0,0,1,7,1,0,8,n
0,0,2,0,0,0,0,0,0,2,6,1,0,5,n
3,0,3,0,0,0,0,0,0,1,12,1,3,15,n
5,0,3,0,0,0,1,0,0,1,14,1,3,17,n
8,0,5,3,0,0,0,0,0,1,24,3,6,26,n
1,0,2,0,0,0,0,0,0,1,7,2,1,8,n
3,0,2,1,0,0,0,0,0,1,8,4,4,12,n
0,0,1,0,0,0,0,0,0,1,5,1,0,8,n
7,0,2,4,0,0,0,0,0,1,14,1,4,24,n
12,0,1,0,0,0,0,0,0,1,19,3,1,38,n
1,0,1,0,0,0,0,0,0,1,11,2,1,11,n
9,0,6,5,0,0,0,0,0,1,18,1,7,22,n
1,0,6,0,0,0,0,0,0,2,19,1,0,20,n
2,0,2,0,0,0,0,0,0,1,13,2,1,15,n
1,0,2,0,0,0,0,0,0,1,12,1,0,16,n
0,0,0,0,0,0,0,0,0,0,7,1,0,5,n
6,0,3,0,0,1,0,0,0,1,9,1,3,13,n
10,0,4,0,0,1,0,0,1,1,16,3,6,23,n
7,0,4,0,0,1,0,0,0,1,16,1,0,29,n
1,0,2,0,0,0,0,1,0,1,10,3,3,8,n
0,0,0,0,0,0,0,0,0,0,12,1,0,5,n
4,0,6,0,0,0,0,0,0,1,29,4,4,34,n
9,0,6,0,0,0,0,0,0,1,29,7,9,35,n
1,0,2,0,0,0,0,0,0,1,15,4,1,19,n
4,0,2,0,0,0,0,0,0,1,12,1,0,21,n
0,0,1,0,0,0,0,0,0,1,8,1,0,9,n
13,0,12,0,0,0,0,0,0,1,30,7,6,56,n
2,0,2,0,0,0,0,0,0,1,11,1,0,13,n
1,0,2,0,0,0,0,0,0,1,7,3,2,7,n
2,0,1,0,0,0,0,0,0,1,9,1,0,14,n
2,0,3,0,0,0,0,0,0,1,12,2,1,12,n
1,0,1,1,0,0,0,0,0,1,6,1,1,6,n
3,0,1,0,0,0,0,0,0,1,8,1,0,15,n
1,0,3,0,0,0,0,0,0,1,9,1,0,10,n
4,0,4,0,0,0,0,0,0,1,23,4,3,28,n
9,0,2,0,0,0,0,0,0,2,14,1,1,27,n
7,0,7,0,0,0,0,0,1,1,37,8,7,41,n
2,0,2,0,0,0,0,0,0,1,10,2,1,10,n
2,0,4,2,0,0,0,0,0,2,13,1,2,16,n
3,0,4,0,0,0,0,0,0,2,6,1,0,10,n
2,0,1,0,0,0,0,0,0,1,9,1,0,11,n
0,0,3,0,0,0,0,0,0,1,14,1,0,14,n
2,0,3,0,0,0,0,0,0,1,11,1,2,24,n
6,0,2,0,0,0,0,0,0,1,12,5,5,12,n
4,0,5,0,0,0,0,0,0,3,15,1,0,16,n
3,0,2,1,0,0,0,0,0,1,12,5,3,17,n
3,0,1,1,0,1,0,0,0,1,13,1,2,19,n
3,0,2,1,0,0,0,0,0,1,13,2,2,13,n
1,0,2,0,0,0,0,0,0,1,7,1,0,9,n
2,0,3,0,0,0,0,0,0,1,12,2,1,12,n
1,0,2,0,0,0,0,0,0,1,7,1,0,8,n
0,0,2,0,0,0,0,0,0,2,6,1,0,5,n
3,0,3,0,0,0,0,0,0,1,12,1,3,15,n
5,0,3,0,0,0,1,0,0,1,14,1,3,17,n
8,0,5,3,0,0,0,0,0,1,24,3,6,26,n
1,0,2,0,0,0,0,0,0,1,10,3,2,16,n
0,0,5,0,0,0,0,0,0,2,18,5,4,14,n
1,0,1,0,0,0,0,0,0,1,12,1,0,20,n
0,0,3,0,0,0,0,0,0,2,9,1,0,6,n
7,0,4,1,0,0,0,0,0,1,14,2,7,20,n
2,0,2,1,0,0,0,0,0,1,9,1,1,15,n
3,0,1,0,0,0,0,0,0,1,10,3,3,11,n
2,0,6,0,0,0,0,0,0,2,13,1,1,22,n
1,0,1,0,0,0,0,0,0,1,7,1,0,11,n
3,0,5,0,0,0,0,0,0,1,29,4,3,31,n
3,0,5,0,0,0,0,0,1,1,20,4,2,21,n
19,0,3,0,0,0,0,0,0,1,12,2,6,29,n
9,0,5,0,0,0,0,0,0,1,19,8,5,28,n
9,0,7,1,0,0,0,0,0,1,23,4,5,38,n
2,0,1,0,0,0,0,0,0,1,9,1,0,14,n
