e,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_17,z_18,binaryClass
2.265,0,0,0,0,1,0,0,0,0,0,0,0,P
1.524,0,1,0,0,0,0,0,0,0,0,0,0,P
1.759,0,0,0,1,0,0,0,0,0,0,0,0,P
1.309,1,0,0,0,0,0,0,0,0,0,0,0,P
1.529,0,0,0,0,1,0,0,0,0,0,0,0,P
1.677,0,1,0,0,0,0,0,0,0,0,0,0,P
1.654,0,0,1,0,0,0,0,0,0,0,0,0,P
1.785,0,0,0,1,0,0,0,0,0,0,0,0,P
1.979,0,0,0,0,1,0,0,0,0,0,0,0,P
1.767,0,0,0,0,1,0,0,0,0,0,0,0,P
2.465,0,0,1,0,0,0,0,0,0,0,0,0,P
1.75,0,0,1,0,0,0,0,0,0,0,0,0,P
2.458,0,0,0,0,1,0,0,0,0,0,0,0,P
2.383,0,0,1,0,0,0,0,0,0,0,0,0,N
2.717,0,0,0,1,0,0,0,0,0,0,0,0,N
2.282,1,0,0,0,0,0,0,0,0,0,0,0,N
2.115,1,0,0,0,0,0,0,0,0,0,0,0,N
2.852,0,0,1,0,0,0,0,0,0,0,0,0,N
2.856,0,0,0,0,0,1,0,0,0,0,0,0,N
3.174,0,0,0,0,0,1,0,0,0,0,0,0,N
2.369,0,1,0,0,0,0,0,0,0,0,0,0,N
2.557,0,1,0,0,0,0,0,0,0,0,0,0,N
3.859,0,0,0,1,0,0,0,0,0,0,0,0,N
2.641,0,1,0,0,0,0,0,0,0,0,0,0,N
2.741,0,1,0,0,0,0,0,0,0,0,0,0,N
3.055,0,0,0,1,0,0,0,0,0,0,0,0,N
3.513,0,1,0,0,0,0,0,0,0,0,0,0,N
2.728,0,0,1,0,0,0,0,0,0,0,0,0,N
3.354,0,0,0,0,0,0,1,0,0,0,0,0,N
3.814,1,0,0,0,0,0,0,0,0,0,0,0,N
4.014,0,0,1,0,0,0,0,0,0,0,0,0,N
2.612,0,0,1,0,0,0,0,0,0,0,0,0,N
2.815,0,1,0,0,0,0,0,0,0,0,0,0,N
4.294,0,0,1,0,0,0,0,0,0,0,0,0,N
3.45,0,0,0,0,0,0,0,0,1,0,0,0,N
3.628,0,0,0,0,0,0,1,0,0,0,0,0,N
4.219,0,1,0,0,0,0,0,0,0,0,0,0,N
3.932,0,0,0,0,0,0,1,0,0,0,0,0,N
4.082,0,0,0,0,1,0,0,0,0,0,0,0,N
4.203,0,1,0,0,0,0,0,0,0,0,0,0,N
4.022,0,0,0,1,0,0,0,0,0,0,0,0,N
4.636,0,0,0,0,0,1,0,0,0,0,0,0,N
5.571,0,0,1,0,0,0,0,0,0,0,0,0,N
6.436,0,0,0,0,1,0,0,0,0,0,0,0,N
5.344,0,0,0,1,0,0,0,0,0,0,0,0,N
4.445,0,0,0,0,1,0,0,0,0,0,0,0,N
4.705,0,0,0,0,0,1,0,0,0,0,0,0,N
5.039,0,0,1,0,0,0,0,0,0,0,0,0,N
6.043,0,0,0,0,0,0,1,0,0,0,0,0,N
5.121,0,0,0,0,0,0,0,0,1,0,0,0,N
11.26,0,0,0,0,0,1,0,0,0,0,0,0,N
5.789,1,0,0,0,0,0,0,0,0,0,0,0,N
6.044,0,0,0,0,0,0,1,0,0,0,0,0,N
5.569,0,0,0,0,0,0,0,0,1,0,0,0,N
6.13,0,0,0,0,0,0,0,1,0,0,0,0,N
6.249,0,0,0,1,0,0,0,0,0,0,0,0,N
7.002,0,0,0,1,0,0,0,0,0,0,0,0,N
7.851,0,0,0,0,0,0,0,0,0,1,0,0,N
9.573,0,0,0,0,0,0,0,1,0,0,0,0,N
12.05,0,0,0,0,0,0,0,0,0,0,0,1,N
12.131,0,0,0,0,0,0,0,0,0,0,1,0,N
