motor_A,motor_B,motor_C,motor_D,motor_E,screw_A,screw_B,screw_C,screw_D,screw_E,pgain_3,pgain_4,pgain_5,pgain_6,vgain_1,vgain_2,vgain_3,vgain_4,vgain_5,binaryClass
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,N
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,P
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,P
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,P
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,P
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,P
0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,N
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,P
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,P
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,P
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,P
0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,P
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,P
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,P
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,N
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,P
0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,P
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,P
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,P
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,P
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,P
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,P
1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,P
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,P
0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,P
0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,N
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,N
0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,P
0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,N
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,P
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,P
0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,P
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,P
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,P
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,P
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,P
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,P
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,P
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,P
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,P
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,P
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,P
1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,P
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,P
0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,P
0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,P
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,N
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,P
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,P
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,N
0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,N
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,P
0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,P
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,P
0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,P
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,P
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,P
0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,N
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,P
0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,P
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,P
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,P
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,P
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,P
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,P
0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,N
0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,P
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,P
0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,P
0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,P
0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,N
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,P
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,N
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,P
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,P
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,N
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,P
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,P
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,P
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,P
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,P
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,P
1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,P
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,P
0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,P
0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,N
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,P
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,P
1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,N
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,P
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,N
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,N
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,N
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,N
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,N
0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,P
0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,P
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,P
0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,N
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,P
1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,N
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,P
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,N
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,P
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,P
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,N
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,P
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,N
0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,N
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,P
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,N
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,P
