a (AU),e,i (deg),w (deg),Node (deg),M (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),class
1.46769861,0.481907083,3.1230592,280.0830844,73.429096,343.3753955,0.7604,2.17,1.78,18.6,0.006649,APO*
1.12293413,0.164686536,37.121527,249.4088407,156.8669509,22.878808,0.938,1.31,1.19,17.4,0.023397,APO*
1.74643281,0.45613397,1.866298,114.4012629,210.257805,176.1981947,0.9498,2.54,2.31,18.7,0.01706,APO*
1.5064064,0.430290627,37.9741204,125.1259448,164.1448821,37.4090275,0.8582,2.15,1.85,16.3,0.020715,APO*
2.24232343,0.625858394,9.8265568,116.1561803,168.1649982,212.8118493,0.8389,3.65,3.36,17.4,0.022718,APO*
1.24835694,0.324777735,15.3215726,233.6246456,8.9250788,266.1794842,0.8429,1.65,1.39,17,0.046004,APO*
1.07964733,0.355821149,10.3097613,289.4572154,234.4484376,23.9869891,0.6955,1.46,1.12,18.3,0.034471,APO*
1.54147674,0.406083566,24.5288827,321.7216389,220.748672,315.3027272,0.9155,2.17,1.91,15.8,0.028874,APO*
1.96157806,0.492018594,5.3043911,147.0730861,168.2131797,127.4572607,0.9964,2.93,2.75,15.8,0.021643,APO*
1.33534595,0.305616905,17.2477179,133.7835386,116.6759934,274.6005745,0.9272,1.74,1.54,17.6,0.0137,APO*
2.84073077,0.665696971,1.9808791,238.0941985,57.977416,165.6166848,0.9497,4.73,4.79,18.3,0.014767,APO*
2.20292124,0.857901779,17.5489432,242.9301293,260.4997145,183.8058555,0.313,4.09,3.27,14.3,0.014491,APO*
1.564533,0.476536882,6.9841402,296.1609485,227.3739501,62.7067519,0.819,2.31,1.96,20.4,0.003303,APO*
1.21883517,0.569794394,3.2043388,324.7139627,307.4422716,274.7886336,0.5243,1.91,1.35,17.7,0.033575,APO*
1.84669413,0.58945197,51.3144209,293.5402131,164.3574235,147.8697399,0.7582,2.94,2.51,16.1,0.014435,APO*
1.32416362,0.280117657,1.6214564,162.8034823,69.0799299,131.4340298,0.9532,1.7,1.52,19.2,0.012882,APO*
1.54576574,0.471828278,13.5388041,231.0943137,303.7002067,113.0496645,0.8164,2.28,1.92,18.1,0.035262,APO*
1.74365658,0.433438668,8.6970071,0.7580734,130.3906768,85.2554773,0.9879,2.5,2.3,18.2,0.002904,APO*
1.699185,0.507419882,12.1815586,224.5354192,356.7760865,65.4461032,0.837,2.56,2.21,17.1,0.040359,APO*
2.13724207,0.577156064,9.5402241,39.1118536,78.833089,293.5478574,0.9037,3.37,3.12,15.9,0.000186,APO*
0.71846579,0.417912067,7.3419336,167.295108,81.9990255,126.4682127,0.4182,1.02,0.61,17.9,0.009954,ATE*
1.13737563,0.144299061,13.910956,206.9524396,139.3663708,345.3378045,0.9733,1.3,1.21,16.7,0.025182,APO*
1.44271027,0.483929976,4.0984046,102.9225393,213.758484,119.3043047,0.7445,2.14,1.73,16.9,0.00065,APO*
1.90982164,0.519202159,5.0779678,323.051831,145.6767689,271.5653651,0.9182,2.9,2.64,19.3,0.000672,APO*
1.47777481,0.752385642,18.0017428,303.7205342,139.6909002,158.9209208,0.3659,2.59,1.8,17.9,0.024143,APO*
2.0898763,0.506915217,12.7307218,8.8137769,195.5345613,328.5958041,1.0305,3.15,3.02,19.6,0.032765,AMO*
2.03700262,0.49195162,10.0201308,344.7894623,313.5686132,336.5138918,1.0349,3.04,2.91,16.5,0.030098,AMO*
1.59262636,0.555208409,2.173121,297.1871783,351.967327,109.9001996,0.7084,2.48,2.01,20.6,0.010816,APO*
2.40862838,0.623383031,2.4274112,20.324459,338.7251064,328.8255696,0.9071,3.91,3.74,17.5,0.016601,APO*
2.37939924,0.572804653,5.8797487,174.4314227,27.063138,50.1236162,1.0165,3.74,3.67,15.9,0.014187,APO*
2.72626385,0.641137843,13.8286546,166.7561581,133.6496415,335.2191023,0.9784,4.47,4.5,15.2,0.02269,APO*
1.92271828,0.538441676,22.7770876,43.2984062,239.1080146,213.14792,0.8874,2.96,2.67,17.2,0.02505,APO*
2.02289692,0.639842124,26.7941471,64.0043308,199.2642982,42.3016479,0.7286,3.32,2.88,18.9,0.047722,APO*
1.49537981,0.419466031,7.1745157,324.8667493,313.2331998,358.1388974,0.8681,2.12,1.83,19,0.04549,APO*
1.37053477,0.269129958,40.7908522,218.3102124,190.0439002,317.0811607,1.0017,1.74,1.6,17.4,0.049114,APO*
0.91511125,0.26473543,1.2997056,14.9062365,178.2355728,282.0928921,0.6728,1.16,0.88,19.4,0.014115,ATE*
1.42725039,0.36297628,11.1502293,63.2980815,180.1672479,34.3277276,0.9092,1.95,1.71,19.1,0.038799,APO*
1.39481533,0.280716352,2.7908884,289.9816264,175.5588646,229.9621629,1.0033,1.79,1.65,20.8,0.047855,APO*
1.64458856,0.383832871,3.4076796,319.2515863,73.2218596,110.7962295,1.0133,2.28,2.11,18,0.040681,APO*
1.09104345,0.539830373,3.5595801,284.4527104,108.6354302,295.5340279,0.5021,1.68,1.14,19.2,0.012859,APO*
0.64225816,0.688519477,38.8838138,192.6191697,244.9160392,336.0257273,0.2001,1.08,0.51,16.5,0.013379,ATE*
1.30845387,0.212721648,9.023461,184.7736523,264.5439443,205.2795473,1.0301,1.59,1.5,17,0.047054,AMO*
1.32038633,0.543023175,10.6662773,266.7792187,294.9732369,19.4467627,0.6034,2.04,1.52,19.8,0.017303,APO*
1.31948171,0.326496084,17.9982149,48.6673001,18.1777812,281.5745083,0.8887,1.75,1.52,16.5,0.023511,APO*
1.50730046,0.41682964,16.6936421,140.2330792,219.3993356,82.7254708,0.879,2.14,1.85,16.9,0.038117,APO*
0.96286514,0.379769038,17.1378856,243.8712943,245.921878,308.4109971,0.5972,1.33,0.94,19.9,0.014061,ATE*
1.61813058,0.41574978,8.1004687,322.2048652,253.0424115,257.3286985,0.9454,2.29,2.06,18.8,0.004002,APO*
1.70670967,0.436513292,22.7167482,24.7049516,302.0643096,28.8420817,0.9617,2.45,2.23,16.5,0.024506,APO*
1.05684217,0.344221109,25.1548245,255.5243083,236.2423399,35.00187,0.6931,1.42,1.09,16.4,0.006267,APO*
1.65490868,0.623941901,6.067885,92.7498893,34.2212705,63.2180652,0.6223,2.69,2.13,17.5,0.004332,APO*
2.22158214,0.776750079,3.127915,242.9390772,339.6898128,305.8576112,0.496,3.95,3.31,17.1,0.016593,APO*
1.23398802,0.311236649,12.8048066,293.8535031,54.4000059,38.892014,0.8499,1.62,1.37,18.6,0.001183,APO*
1.29750392,0.356186107,4.083257,95.3428616,2.3643068,330.3994836,0.8354,1.76,1.48,21.6,0.021474,APO*
1.58042676,0.485719428,4.5129481,117.1144978,299.7043355,66.2198705,0.8128,2.35,1.99,21.1,0.001104,APO*
1.92387594,0.639303922,10.7643065,102.4651323,41.4939676,285.8737297,0.6939,3.15,2.67,15.6,0.002677,APO*
1.40377349,0.329147699,13.5886328,50.0149663,64.7102887,209.2175031,0.9417,1.87,1.66,19.2,0.03569,APO*
1.85296946,0.483650031,9.1461285,197.6085108,19.916772,28.3123156,0.9568,2.75,2.52,18.6,0.023302,APO*
0.88304805,0.632821025,17.0563333,309.1878041,130.2059498,252.9391738,0.3242,1.44,0.83,17.1,0.047821,ATE*
1.00806133,0.311452813,5.3195026,235.3381296,124.5555842,120.9422221,0.6941,1.32,1.01,20.2,0.031558,APO*
1.75958447,0.57911357,7.1225002,120.5896697,311.7874954,115.2446114,0.7406,2.78,2.33,16,0.024463,APO*
1.99617862,0.505529634,10.0585751,150.2576384,164.9242832,313.7391513,0.9871,3.01,2.82,17.4,0.018231,APO*
0.85862146,0.642784407,19.2286252,47.7546829,162.0541536,314.5158573,0.3067,1.41,0.8,16,0.045917,ATE*
1.18212755,0.629611378,1.5211114,140.0266547,272.2736036,179.9668281,0.4378,1.93,1.29,17.6,0.009999,APO*
1.35598759,0.252852909,1.9052283,67.0919768,175.9642637,24.9793822,1.0131,1.7,1.58,20.2,0.028618,APO*
2.07683386,0.507546023,43.7017941,5.6757092,19.9331429,51.9725285,1.0227,3.13,2.99,14.9,0.027699,AMO*
1.64139852,0.886397948,9.9605799,222.5729991,188.4883439,314.3188968,0.1865,3.1,2.1,17,0.001442,APO*
1.73547009,0.528646559,42.3327398,300.674454,132.0764704,79.3754738,0.818,2.65,2.29,16.4,0.000353,APO*
2.13357194,0.576100581,8.9169734,30.6148978,226.7978244,323.2600116,0.9044,3.36,3.12,15.2,0.030697,APO*
1.23452679,0.280108313,19.0037389,306.8153886,286.2763582,128.8996355,0.8887,1.58,1.37,17.6,0.035945,APO*
1.69505159,0.492131176,7.8390904,233.054884,326.904177,306.7844645,0.8609,2.53,2.21,18.7,0.001363,APO*
1.86620434,0.507566718,10.6129611,61.5158311,284.191122,357.4911918,0.919,2.81,2.55,16.4,0.047397,APO*
0.92227889,0.191079522,3.3312902,126.3936406,204.4571896,215.5399783,0.7461,1.1,0.89,19.7,0.000659,ATE*
2.65571065,0.619775204,2.650886,41.4375503,305.8941994,239.640896,1.0098,4.3,4.33,17.8,0.024639,APO*
1.62457146,0.610905603,4.7636697,268.6839903,111.0374804,159.588357,0.6321,2.62,2.07,19.3,0.001582,APO*
1.12639103,0.203745111,6.0349392,66.2230686,2.0608678,101.7039477,0.8969,1.36,1.2,20.9,0.003223,APO*
1.8434841,0.581807914,38.5432708,103.9955549,116.6520417,266.8030811,0.7709,2.92,2.5,16.8,0.041626,APO*
1.75369181,0.439373763,42.019976,6.928455,310.1666051,313.8552269,0.9832,2.52,2.32,15.2,0.028586,APO*
1.63771553,0.416939233,4.68072,24.8449053,268.5612628,227.0102357,0.9549,2.32,2.1,17.7,0.015859,APO*
1.57302833,0.395122538,1.4389817,248.2806609,99.3392859,21.2994853,0.9515,2.19,1.97,16.8,0.012564,APO*
1.7456876,0.478422911,11.0059716,147.4241539,50.2094469,225.1119847,0.9105,2.58,2.31,18.1,0.035939,APO*
1.49150121,0.578347929,7.7893085,97.6446608,110.8023185,129.6651769,0.6289,2.35,1.82,17.7,0.019347,APO*
1.45870597,0.56217189,39.9322227,268.3023625,314.404368,50.4703783,0.6387,2.28,1.76,17.9,0.000961,APO*
1.89941138,0.550171908,8.9917108,221.8229937,339.6251288,298.6833414,0.8544,2.94,2.62,18.1,0.024209,APO*
1.77291981,0.600255848,5.5471058,90.2147293,157.1066703,192.1163344,0.7087,2.84,2.36,18,0.019149,APO*
2.4482075,0.610239192,39.1904198,161.7994632,348.1521086,132.1182646,0.9542,3.94,3.83,15.2,0.019888,APO*
0.66184822,0.533048494,26.4631797,197.8357937,155.7707423,350.6642539,0.3091,1.01,0.54,17.1,0.023119,ATE*
1.00475884,0.293442558,5.2418522,280.9139886,25.940294,258.078617,0.7099,1.3,1.01,20.3,0.008586,APO*
1.13978947,0.318794798,2.1691489,142.0394276,309.5800459,29.1570881,0.7764,1.5,1.22,19.1,0.027305,APO*
2.3596024,0.566491502,6.2357659,181.2246958,226.5903685,165.4212422,1.0229,3.7,3.62,16.8,0.033249,AMO*
2.10293914,0.607313294,11.8883762,135.9877687,328.1074115,105.696528,0.8258,3.38,3.05,19,0.0363,APO*
1.0345787,0.333501846,7.9019729,271.7388615,353.766518,11.9283105,0.6895,1.38,1.05,18.4,0.023956,APO*
1.85938168,0.452408234,26.0716054,3.3795598,173.577026,98.5143809,1.0182,2.7,2.54,18,0.024369,AMO*
2.6469899,0.867712072,5.8339266,300.871671,85.8744576,214.2940686,0.3502,4.94,4.31,16.6,0.011911,APO*
1.42286438,0.311234118,9.3153566,337.8394373,83.2785294,4.258466,0.98,1.87,1.7,18.4,0.011964,APO*
1.82052363,0.568849849,4.8558519,30.8637523,197.231098,179.4535621,0.7849,2.86,2.46,18.4,0.046097,APO*
1.34672258,0.460763873,2.5138262,42.6403077,126.9118307,129.6142762,0.7262,1.97,1.56,18.3,0.026117,APO*
1.78396986,0.507769225,53.2315194,225.5958594,357.1140458,266.3830486,0.8781,2.69,2.38,16.7,0.017358,APO*
1.52803368,0.579635167,2.7332407,31.2039544,316.404286,47.4678116,0.6423,2.41,1.89,18.8,0.041337,APO*
0.97845027,0.428305368,2.463284,272.7837983,81.3562959,265.3432764,0.5594,1.4,0.97,20,0.019314,ATE*
1.11414818,0.802291279,2.3537491,317.6977026,51.9521174,8.0746682,0.2203,2.01,1.18,18.3,0.001043,APO*
1.08683929,0.724717325,34.030674,308.099715,38.8689672,335.7996911,0.2992,1.87,1.13,17.9,0.035615,APO*
1.51387922,0.626701561,9.2078562,247.5046196,187.6279494,40.6403351,0.5651,2.46,1.86,18.9,0.041878,APO*
2.00222042,0.52876013,2.3510666,2.250295,307.0667631,46.6832237,0.9435,3.06,2.83,18.1,0.023735,APO*
1.62334162,0.536118658,7.1824709,127.3401365,200.674964,14.9928802,0.753,2.49,2.07,19.4,0.039229,APO*
1.19786897,0.850152102,19.179417,224.3876504,304.1474454,66.3760963,0.1795,2.22,1.31,17.7,0.037722,APO*
1.96656238,0.605983793,2.6662566,89.1953095,181.3621883,322.9071216,0.7749,3.16,2.76,16.8,0.017869,APO*
2.12505455,0.72958987,4.9892406,88.7253932,177.1625016,158.8670477,0.5746,3.68,3.1,18.7,0.000789,APO*
1.08536163,0.18699213,62.102444,104.9889446,0.9978312,253.4226187,0.8824,1.29,1.13,17.4,0.00268,APO*
2.1355162,0.524348339,11.6064519,183.5107635,58.2225807,171.0001754,1.0158,3.26,3.12,16,0.004785,APO*
1.97098951,0.554012292,27.1366954,57.935969,315.6801437,287.9557455,0.879,3.06,2.77,16,0.033542,APO*
1.42256006,0.289589786,55.9000326,186.3816351,171.1476621,20.452036,1.0106,1.83,1.7,16.5,0.007053,APO*
1.50799297,0.588648336,4.2235717,90.9446157,224.0334621,255.7855367,0.6203,2.4,1.85,18.8,0.001599,APO*
0.96830326,0.655535493,36.2615984,43.9035632,208.8782417,13.4556055,0.3335,1.6,0.95,18.3,0.028709,ATE*
1.4433052,0.398177802,3.4451039,80.874042,268.8957114,105.129961,0.8686,2.02,1.73,19,0.02077,APO*
1.45449401,0.485646469,19.5823803,68.8696553,359.373197,146.546091,0.7481,2.16,1.75,19,0.038049,APO*
0.86526187,0.208077292,16.7244356,16.5722217,96.5137998,285.7132618,0.6852,1.05,0.8,18,0.017347,ATE*
2.51179394,0.721459912,3.4694056,81.0355313,357.7581734,296.3156621,0.6996,4.32,3.98,19.7,0.007748,APO*
1.12884005,0.366067715,2.6795423,188.1154259,163.6853704,145.4745107,0.7156,1.54,1.2,20.1,0.045405,APO*
1.44799813,0.639787643,10.9291392,260.0389877,98.6137666,232.4921735,0.5216,2.37,1.74,19.4,0.005522,APO*
1.34661006,0.573152241,0.1460839,39.9010882,121.6272327,22.9149565,0.5748,2.12,1.56,19.3,0.001614,APO*
1.19095218,0.497316894,2.02074,134.8695149,314.5160526,320.4468052,0.5987,1.78,1.3,19.1,0.018871,APO*
1.87851709,0.653477539,7.1356831,284.3504543,178.3990457,239.9709887,0.6509,3.11,2.57,18.4,0.015654,APO*
1.16201667,0.523167247,5.1486701,319.1552082,222.0045373,210.8555532,0.5541,1.77,1.25,21.2,0.048265,APO*
1.16208263,0.236557095,25.0074699,240.8085287,57.8754661,91.3142399,0.8872,1.44,1.25,19.6,0.025358,APO*
1.34058352,0.795693287,31.4617617,233.3553926,213.1519641,329.6489061,0.2739,2.41,1.55,18.2,0.02799,APO*
0.91139037,0.780607815,7.7708636,213.6995561,69.2619096,287.3464749,0.2,1.62,0.87,19.3,0.003195,ATE*
2.52139251,0.6765319,5.880845,138.1450099,67.8688264,324.8245454,0.8156,4.23,4,17.4,0.030113,APO*
2.50086117,0.645813864,28.4150317,218.4944021,142.3627089,326.2260904,0.8858,4.12,3.95,17.2,0.038221,APO*
1.71193853,0.466951588,1.9196015,44.5627058,277.5098135,318.2237455,0.9125,2.51,2.24,18.3,0.001548,APO*
1.70309634,0.451647374,4.6445504,197.9377606,144.4003373,5.242746,0.9339,2.47,2.22,18.3,0.031476,APO*
1.32561342,0.360258086,4.9710676,80.7935063,142.89387,256.2186392,0.8481,1.8,1.53,22,0.025477,APO*
1.87156977,0.486318441,14.4300436,217.2048772,10.9119963,302.7898108,0.9614,2.78,2.56,17.8,0.023,APO*
1.08323278,0.490711668,11.5782473,258.1342901,247.8420805,192.3779889,0.5517,1.61,1.13,20.1,0.035905,APO*
1.7042983,0.689397425,8.744361,99.3997092,34.2981692,127.9626193,0.5294,2.88,2.22,17.6,0.002972,APO*
1.71935533,0.56176346,28.819293,280.8963196,222.8258634,86.5630658,0.7535,2.69,2.25,17.6,0.039078,APO*
1.47657374,0.408662929,7.1612783,215.0781909,320.1881768,255.4292818,0.8732,2.08,1.79,18.1,0.032745,APO*
1.10539094,0.40229667,1.4131571,228.9217589,152.6536533,201.8215231,0.6607,1.55,1.16,21.7,0.013093,APO*
1.56916671,0.482792986,2.0803788,138.5669528,226.6730903,117.3576431,0.8116,2.33,1.97,20.5,0.012928,APO*
2.4324612,0.618147442,9.6966371,237.713371,107.716849,132.1667609,0.9288,3.94,3.79,17,0.048147,APO*
2.26486159,0.593192518,23.1174869,139.9098358,235.5987512,228.8320039,0.9214,3.61,3.41,15.4,0.018043,APO*
1.12314234,0.213970914,26.0605934,102.1658396,161.2427825,179.7790847,0.8828,1.36,1.19,17.2,0.016073,APO*
1.67834992,0.462994806,1.0942572,21.4505523,346.6161438,50.6398964,0.9013,2.46,2.17,19.4,0.009017,APO*
1.80169907,0.660745917,5.2811939,280.2052259,52.8880444,185.1822663,0.6112,2.99,2.42,19.5,0.012083,APO*
1.24629099,0.187271434,20.0483786,148.5070724,213.5699175,44.8062103,1.0129,1.48,1.39,18.9,0.042334,APO*
1.91614571,0.557565681,7.0999021,331.2993387,114.2863083,307.1721646,0.8478,2.98,2.65,19.4,0.04589,APO*
1.08803189,0.570897031,2.13157,278.7226404,217.9402258,7.4455208,0.4669,1.71,1.13,20.6,0.011964,APO*
1.2058081,0.194823996,10.8410071,29.8665785,157.6177694,186.0945268,0.9709,1.44,1.32,19.9,0.001948,APO*
1.18955571,0.19020842,5.8835548,211.439657,251.5947538,2.0980126,0.9633,1.42,1.3,19.3,0.001116,APO*
2.0732682,0.535199893,1.4307703,123.1281721,235.3921052,298.3392618,0.9637,3.18,2.99,21,0.013095,APO*
2.29992239,0.694368749,5.2011761,319.1103457,327.7633871,12.461037,0.7029,3.9,3.49,19.1,0.049374,APO*
0.87777535,0.411394846,2.6965796,200.1458816,110.7856611,70.2272362,0.5167,1.24,0.82,20.1,0.023644,ATE*
1.85375805,0.47845758,0.3984625,19.0907016,215.2368234,230.9907145,0.9668,2.74,2.52,21.7,0.001032,APO*
0.9466299,0.123717505,22.323569,46.1102813,331.1563993,275.3315203,0.8295,1.06,0.92,18,0.030061,ATE*
1.20732003,0.531123847,1.3989416,314.49058,108.9359404,320.536274,0.5661,1.85,1.33,20.6,0.011904,APO*
1.24086975,0.35754513,50.7090121,285.2674953,80.8686475,326.7298295,0.7972,1.68,1.38,18.5,0.00478,APO*
1.37615412,0.302169717,38.1519784,220.6826869,344.359997,181.9245265,0.9603,1.79,1.61,17.5,0.024569,APO*
1.2474931,0.250138321,13.7468454,133.2381822,333.333143,191.6485829,0.9354,1.56,1.39,19.9,0.007863,APO*
1.87602308,0.543016443,14.7907792,40.7891628,76.2380412,98.3830932,0.8573,2.89,2.57,19.2,0.033247,APO*
2.12101388,0.636852405,2.1891119,151.6243217,333.3801554,74.6347031,0.7702,3.47,3.09,20.1,0.023073,APO*
1.31313819,0.232153412,7.2627953,339.1005183,64.9648293,293.7182681,1.0083,1.62,1.5,20.8,0.030614,APO*
1.77414241,0.743328527,9.0759202,78.7381507,159.8680908,251.059349,0.4554,3.09,2.36,18,0.014335,APO*
1.09212041,0.575343007,6.4986917,45.9234831,341.2285402,91.0127474,0.4638,1.72,1.14,18.8,0.032765,APO*
1.31826845,0.381784216,10.2986456,291.1920646,284.2519441,151.0600275,0.815,1.82,1.51,20.8,0.013027,APO*
2.03674082,0.543944698,17.0823283,326.0294075,311.6131789,130.3705573,0.9289,3.14,2.91,18,0.02028,APO*
1.92564347,0.473889569,1.6790882,186.3193757,285.4316635,228.8957436,1.0131,2.84,2.67,17.9,0.030049,APO*
1.78684063,0.445525351,9.9484373,27.5318143,58.6899683,132.8788632,0.9908,2.58,2.39,17.5,0.031996,APO*
1.29703182,0.365312959,11.858859,294.3982612,247.9119874,37.8840839,0.8232,1.77,1.48,21,0.02153,APO*
2.27137662,0.569416607,9.2813948,322.334588,247.8489501,122.5729699,0.978,3.56,3.42,16.3,0.027079,APO*
2.04307587,0.588210021,7.5993528,117.6424657,87.449848,30.2298618,0.8413,3.24,2.92,19.8,0.01074,APO*
1.21957565,0.295157745,48.7802078,110.5222109,157.7641458,340.351379,0.8596,1.58,1.35,18.5,0.000437,APO*
0.7615492,0.601766423,20.2774487,148.3011611,203.6057605,277.0406158,0.3033,1.22,0.66,16.5,0.003467,ATE*
1.34441209,0.334940532,6.9687367,135.1125527,201.7598426,89.5692895,0.8941,1.79,1.56,18.5,0.015379,APO*
0.87646456,0.434312735,5.4147051,222.2402182,259.5050472,82.3314418,0.4958,1.26,0.82,20.1,0.006972,ATE*
1.36563353,0.369116688,4.1883785,275.2445173,259.9812302,154.3767231,0.8616,1.87,1.6,18.8,0.026354,APO*
1.46784544,0.546232936,1.6686698,259.9501403,328.9684966,85.490921,0.6661,2.27,1.78,18.9,0.002773,APO*
1.5768795,0.688267321,20.6234439,281.3708587,52.5165368,78.1174103,0.4916,2.66,1.98,19,0.020524,APO*
1.60907952,0.472825898,2.9509941,353.6844794,268.5130697,264.4543677,0.8483,2.37,2.04,20,0.041846,APO*
1.22920278,0.354445396,10.3897306,245.8372252,241.0788434,203.5486829,0.7935,1.66,1.36,18.4,0.026257,APO*
0.82754461,0.210604499,8.4590087,326.4694561,274.0525135,60.8281016,0.6533,1,0.75,17.3,0.017927,ATE*
1.10960395,0.291918486,44.0634347,91.0584439,38.3352025,34.0846551,0.7857,1.43,1.17,16.2,0.002488,APO*
0.9883587,0.27917046,4.6693855,56.0887647,342.9558644,149.9884303,0.7124,1.26,0.98,20.8,0.023871,ATE*
1.00129357,0.136151022,13.6497135,280.1951607,38.6108381,188.4947206,0.865,1.14,1,21.1,0.00001,APO*
1.6660919,0.423115649,2.2582333,270.1988565,67.7835932,285.7498765,0.9611,2.37,2.15,19.4,0.03277,APO*
2.15153119,0.565078481,19.9365158,326.2744243,295.1207245,13.1354981,0.9357,3.37,3.16,17.2,0.016235,APO*
1.65643512,0.467803072,6.6275632,202.9229621,219.0137972,315.5512755,0.8815,2.43,2.13,17.4,0.049456,APO*
2.16264175,0.542610192,6.4925142,139.7971819,349.1923989,294.8908331,0.9892,3.34,3.18,18.9,0.044146,APO*
1.90565988,0.625549676,2.1301051,120.1094069,75.6677061,100.8796813,0.7136,3.1,2.63,18,0.011041,APO*
1.33641435,0.603212477,8.2630359,115.3192495,87.7651789,281.7062576,0.5303,2.14,1.54,18.1,0.029763,APO*
1.08434693,0.583486722,17.2932829,61.5941107,208.1212715,191.5439281,0.4516,1.72,1.13,18.5,0.001695,APO*
1.46095458,0.311052623,17.07295,321.901977,226.691909,355.9115916,1.0065,1.92,1.77,19.1,0.046237,APO*
