Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,Fe2O3,MnO,CuO,ZnO,PbO2,Rb2O,SrO,Y2O3,ZrO2,P2O5,Part
0.28,0.52,14.76,68.65,3.63,10.46,0.07,0.64,2000,30,120,100,210,570,50,140,880,Glaze
0.34,0.97,13.76,65.53,3.57,13.69,0.06,1.07,2190,20,70,20,180,780,50,150,1480,Glaze
0.5,0.66,11.3,69.9,3.88,11.72,0.06,0.98,1270,30,130,20,220,680,40,130,1060,Glaze
0.51,0.4,13.54,71.35,4.14,8.21,0.07,0.78,910,20,120,30,190,630,20,150,590,Glaze
0.14,0.5,14.15,68.91,5.1,9.21,0.08,0.91,1410,10,50,30,250,660,40,140,880,Glaze
0.38,1.04,12.37,67.7,3.89,12.17,0.07,1.38,1830,40,140,30,230,540,50,170,850,Glaze
0.25,0.47,14.09,68.46,4.71,9.81,0.07,1.14,1460,10,100,20,270,610,50,170,900,Glaze
0.2,0.53,12.83,72.24,5.03,6.92,0.07,1.18,950,10,50,10,250,520,40,130,650,Glaze
0.19,0.57,13.61,70.06,4.7,9.14,0.07,0.66,640,20,70,0,220,640,30,160,840,Glaze
0.69,0.35,13.86,71.38,4.94,6.71,0.16,0.91,770,30,120,60,230,460,40,140,510,Glaze
0.65,0.78,13.81,70.37,5.91,6.14,0.08,1.27,1500,30,110,30,290,490,30,110,720,Glaze
0.03,1.01,13.05,72.28,5.56,5.77,0.07,1.24,1750,20,150,30,270,330,30,130,960,Glaze
0.61,0.35,12.73,71.6,5.79,6.96,0.07,0.88,1740,40,140,70,240,550,40,120,540,Glaze
0.03,0.54,13.97,67.3,3.56,12.53,0.1,0.97,1340,40,70,30,180,690,40,170,1030,Glaze
0.31,0.53,14.63,68.22,3.6,11.06,0.06,0.58,1950,40,230,80,180,700,30,150,1030,Glaze
0.25,0.5,12.93,71.59,5.5,6.99,0.06,1.18,1290,20,90,40,250,520,40,120,510,Glaze
0.11,0.32,11.33,75.95,5.87,4.37,0.09,0.96,1600,50,200,50,300,300,30,120,400,Glaze
0.24,0.39,12.64,74.08,5.11,5.76,0.08,0.71,620,40,100,30,250,610,30,150,380,Glaze
0.15,0.33,13.14,73.76,4.87,6.03,0.05,0.68,700,20,110,0,220,560,30,150,380,Glaze
1,0.52,13.7,70.52,6.74,5.34,0.05,1.11,1510,70,140,50,320,610,30,120,490,Glaze
0.66,0.53,12.95,72.16,6.57,4.29,0.14,1.69,2250,50,90,60,280,400,40,110,480,Glaze
0.32,0.58,12.89,70.6,4.27,8.7,0.05,1.61,880,20,70,0,230,470,30,130,900,Glaze
0.71,0.57,11.61,71.04,5.31,8.13,0.06,1.58,2450,40,150,20,240,480,40,170,780,Glaze
0.4,0.47,14.38,66.59,4.16,12.16,0.07,0.77,870,0,80,30,210,650,40,140,1160,Glaze
0.03,1.32,13.55,67.66,5.41,8.91,0.11,2,2970,60,180,90,220,650,30,100,1590,Glaze
0.37,0.47,13.56,72.77,6.54,4.12,0.08,1.09,2560,20,80,10,290,640,40,130,410,Glaze
0.34,0.55,12.37,70.7,5.33,8.06,0.06,1.61,1250,10,90,30,250,520,30,140,690,Glaze
0.72,0.34,12.2,72.19,6.19,6.06,0.04,1.27,1700,60,110,10,270,540,40,120,630,Glaze
0.23,0.24,12.99,71.81,5.25,7.15,0.05,1.29,750,40,100,0,240,470,40,120,480,Glaze
0.14,0.46,12.62,69.16,4.34,11.03,0.05,1.2,920,40,90,20,230,470,40,130,1100,Glaze
0.14,0.63,14.25,71.55,4.87,6.43,0.08,1.05,800,40,90,20,220,410,40,110,690,Glaze
