ang,xF,yF,wF,hF,xRE,yRE,xLE,yLE,xN,yN,xRM,yRM,xLM,yLM,label
0,284,218,120,130,325,249,373,252,351,278,327,297,365,298,2
0,284,220,120,130,325,247,376,250,352,274,331,297,365,295,2
0,287,211,118,132,328,242,377,244,356,272,332,293,368,293,2
0,286,215,117,128,329,244,377,247,356,274,332,295,367,295,2
0,284,217,117,130,330,246,376,249,355,274,330,295,368,294,2
0,286,214,121,126,331,244,376,245,357,274,331,292,370,294,2
0,287,218,122,127,331,245,379,246,359,274,334,294,372,294,2
0,285,218,129,126,333,245,379,246,361,271,336,295,371,294,2
0,282,217,127,126,331,244,378,247,362,272,335,295,374,295,2
0,289,218,121,129,333,246,381,249,361,273,339,294,373,295,2
0,287,220,126,121,334,244,380,249,362,275,335,296,374,296,2
0,286,215,125,125,334,241,379,244,361,269,333,291,374,291,2
0,287,214,124,125,334,240,380,243,362,268,336,288,373,289,2
0,285,212,126,122,333,237,379,241,361,266,336,286,373,286,2
0,287,211,126,123,333,236,380,240,360,263,335,284,373,285,2
0,284,206,127,123,333,233,377,237,361,263,337,283,372,282,2
0,284,204,127,128,333,234,378,237,361,262,336,281,373,281,2
0,285,206,127,125,331,235,379,236,360,261,336,282,371,282,2
0,285,207,127,119,333,235,377,237,361,261,336,280,370,281,2
0,287,205,126,126,334,234,378,235,361,260,335,281,371,281,2
0,285,203,128,130,333,231,379,234,362,258,337,280,373,280,2
0,284,204,130,124,334,231,380,234,363,257,336,278,373,280,2
0,281,202,133,124,334,230,380,232,364,255,338,276,376,277,2
0,285,205,128,124,334,232,379,233,362,257,339,278,373,278,2
0,287,206,123,117,332,231,378,232,361,258,336,277,373,277,2
0,287,201,123,121,333,227,377,230,362,255,337,275,373,274,2
0,286,204,125,120,333,230,377,231,362,254,339,275,371,276,2
0,285,203,123,118,333,231,376,230,362,252,339,275,373,275,2
0,292,207,118,114,333,231,377,231,363,254,339,277,370,277,2
0,293,206,115,121,336,231,382,232,362,255,339,276,371,278,2
0,291,200,119,118,334,228,378,230,363,252,342,274,372,275,2
0,292,203,113,116,334,228,378,232,364,253,342,274,373,274,2
0,292,204,118,121,332,229,378,230,363,252,341,274,370,276,2
0,288,202,118,122,333,229,377,231,362,252,341,273,370,275,2
0,289,206,124,121,333,231,376,233,361,254,337,277,371,277,2
0,291,204,116,119,333,230,376,232,362,253,337,276,368,277,2
0,290,201,118,122,334,229,376,231,361,252,338,274,368,276,2
0,291,210,115,119,333,231,376,234,360,255,337,275,370,279,2
0,291,204,116,119,333,229,377,233,360,252,336,275,371,276,2
0,290,204,117,120,333,229,375,232,359,252,335,274,369,275,2
0,290,201,114,118,333,227,375,230,359,250,334,273,368,275,2
0,293,203,113,116,333,229,377,232,361,251,337,274,369,276,2
0,293,206,111,115,331,229,377,232,356,254,334,276,369,276,2
0,288,201,118,117,331,228,376,230,357,249,332,273,369,274,2
0,290,201,115,117,332,228,377,229,359,248,335,275,366,274,2
0,286,204,119,119,332,229,376,231,358,250,335,274,366,276,2
0,287,203,122,123,331,229,375,233,357,250,336,275,368,276,2
0,284,206,120,118,333,229,376,230,359,247,336,274,368,276,2
0,285,206,120,117,330,229,374,232,357,250,334,275,368,275,2
0,285,203,123,121,329,229,376,232,357,250,335,277,367,277,2
0,286,200,116,120,330,229,373,230,359,250,332,274,364,274,2
0,288,205,117,119,329,232,372,234,356,255,334,276,366,278,2
0,290,208,107,113,327,230,370,232,357,254,333,275,365,277,2
0,284,204,115,114,324,229,368,231,351,254,332,276,364,276,2
0,283,207,114,116,322,231,367,232,347,257,330,275,360,275,2
0,285,209,110,109,320,232,365,233,345,255,330,277,361,278,2
0,288,204,103,118,319,231,363,234,345,255,325,278,357,277,2
0,285,207,109,112,318,229,365,231,344,253,322,274,359,274,2
0,285,212,106,112,317,237,364,237,341,258,324,281,361,281,2
0,283,214,112,116,314,240,361,240,342,263,322,287,353,283,2
0,277,221,114,111,315,244,359,242,342,264,321,289,353,288,2
0,279,216,115,115,314,240,362,241,342,263,322,287,356,288,2
0,279,215,116,117,317,240,360,240,342,263,321,286,357,286,2
0,279,212,117,120,320,240,367,238,342,262,328,285,356,283,2
0,280,211,114,113,317,232,365,234,342,255,325,281,354,281,2
0,282,210,114,114,319,234,365,237,341,257,327,283,355,283,2
0,281,214,113,113,317,236,364,236,344,258,326,283,357,282,2
0,280,212,119,115,317,234,363,236,342,258,329,283,354,281,2
0,279,211,118,117,320,234,364,237,342,257,328,282,356,280,2
0,283,214,114,115,319,236,365,237,344,260,330,286,354,283,2
0,279,207,118,120,317,235,362,236,341,257,327,281,353,280,2
0,281,207,112,119,318,234,363,235,341,255,327,281,354,281,2
0,282,216,114,121,320,240,364,240,341,261,327,285,355,285,2
0,282,217,114,122,319,238,364,240,342,259,328,285,353,285,2
0,280,215,110,119,317,238,361,239,339,258,325,281,351,281,2
0,280,214,110,114,317,238,362,240,341,261,328,287,352,286,2
0,275,214,113,118,314,241,361,241,340,261,328,284,350,282,2
0,286,224,97,107,313,241,361,243,335,264,324,287,351,286,2
0,278,210,113,118,314,241,361,241,339,262,323,287,353,284,2
0,279,211,113,123,315,241,359,241,341,263,322,286,355,285,2
0,279,217,106,115,311,243,360,241,338,261,318,286,353,285,2
0,280,215,113,111,315,239,360,240,337,260,320,284,354,281,2
0,280,213,104,110,314,239,358,239,337,261,319,283,353,283,2
0,279,218,109,110,313,243,357,241,336,264,315,287,350,286,2
0,277,221,109,116,310,241,357,241,334,262,315,286,353,285,2
0,280,215,110,112,311,240,354,241,337,265,317,286,354,284,2
0,278,216,110,115,312,243,358,241,336,263,317,286,353,284,2
0,277,214,111,122,312,240,357,240,337,263,319,286,351,286,2
0,280,217,110,116,312,241,359,240,337,260,323,286,354,285,2
0,273,217,117,117,314,241,361,240,339,261,322,284,353,284,2
0,279,215,111,117,316,243,362,243,342,264,321,287,355,286,2
0,276,212,113,117,314,238,359,237,344,257,322,284,359,281,2
0,277,209,108,118,316,237,360,238,344,259,325,283,359,282,2
0,274,213,116,119,316,241,362,240,345,261,324,284,356,284,2
0,274,216,112,119,320,240,364,239,346,260,327,284,359,283,2
0,282,217,108,114,319,241,365,241,345,261,327,285,359,283,2
0,280,216,110,110,319,239,364,240,347,260,328,283,359,280,2
0,282,214,104,110,319,239,364,238,347,258,327,283,357,281,2
0,280,214,109,117,320,239,367,240,345,261,329,283,359,283,2
0,284,213,105,113,320,237,366,237,348,263,325,283,362,281,2
0,282,209,111,119,319,236,362,237,346,257,328,280,362,281,2
0,281,215,110,108,322,237,366,237,352,259,329,281,361,281,2
0,279,215,108,112,324,236,364,237,350,258,328,281,359,281,2
0,282,211,106,116,322,236,365,235,349,257,329,278,361,280,2
0,281,210,109,113,321,234,364,235,350,257,325,282,362,278,2
0,275,221,112,116,319,243,363,243,348,263,325,286,358,286,2
0,276,221,110,114,319,244,364,244,348,266,330,286,359,287,2
0,280,224,105,114,317,248,363,247,347,268,330,290,361,291,2
0,283,215,103,112,319,240,366,239,347,257,330,283,358,281,2
0,278,205,114,114,322,229,365,230,351,257,330,278,361,280,2
0,271,206,114,109,319,227,361,227,350,250,325,272,357,271,2
0,271,224,114,114,320,250,363,251,349,272,325,295,358,295,2
0,273,227,114,111,318,249,364,249,346,268,328,292,356,293,2
0,276,221,108,105,320,241,363,241,348,262,328,285,359,285,2
15,277,204,109,112,323,230,365,230,355,251,332,272,362,273,2
15,279,200,114,114,324,223,368,223,354,245,334,269,365,270,2
15,274,216,109,115,322,241,365,237,351,263,328,287,361,287,2
15,279,215,108,109,321,237,363,235,354,260,332,280,361,280,2
15,284,200,106,112,323,226,367,226,356,246,334,271,362,270,2
15,277,211,121,117,323,232,363,234,356,255,333,280,361,280,2
15,277,215,114,112,320,238,365,238,353,260,331,283,359,283,2
15,272,218,125,125,323,249,366,249,357,269,334,295,361,292,2
15,279,226,116,114,322,249,368,247,354,271,334,295,361,294,2
15,278,224,116,116,324,247,367,249,353,269,330,289,360,293,2
15,274,217,121,112,327,243,370,243,356,267,336,286,363,287,2
15,280,215,116,117,327,241,371,245,357,267,339,286,363,288,2
15,280,218,117,113,324,240,370,243,357,264,336,289,361,288,2
15,277,223,122,117,328,243,370,245,357,269,336,293,362,290,2
15,278,224,119,117,328,246,370,247,356,267,339,292,362,295,2
15,279,228,120,110,330,248,368,250,361,269,342,295,364,294,2
15,279,223,117,117,331,249,372,250,364,271,337,295,365,294,2
30,279,218,122,116,331,246,370,246,369,267,341,290,364,291,3
30,276,224,130,117,334,247,372,249,367,268,343,294,368,293,3
45,278,223,127,120,337,247,376,250,373,271,352,295,371,296,3
45,280,219,121,121,342,247,374,249,376,271,350,293,373,295,3
45,294,191,116,127,345,219,382,215,386,241,366,268,382,266,3
45,276,187,138,130,341,223,379,218,381,243,364,272,379,267,3
45,280,189,128,123,340,220,379,216,381,240,362,267,381,267,3
45,287,187,122,127,341,219,379,217,381,239,364,267,379,266,3
45,290,189,120,132,342,218,379,217,379,239,365,270,380,266,3
45,291,194,119,123,341,220,381,218,381,239,364,268,380,265,3
45,289,183,127,133,341,218,382,217,379,241,362,270,382,268,3
45,288,189,125,124,342,218,380,218,380,240,363,267,381,267,3
15,306,161,111,125,347,187,396,189,380,210,361,237,390,237,2
15,315,164,101,122,347,187,394,189,381,209,357,240,390,240,2
15,304,164,112,127,344,189,391,190,378,209,356,241,387,242,2
15,301,166,112,128,341,192,393,194,377,213,356,244,384,243,2
15,300,168,118,125,341,193,388,194,377,215,354,246,384,247,2
15,302,160,108,129,339,184,389,186,374,206,354,240,385,238,2
15,302,159,112,128,342,183,391,185,377,206,354,237,385,237,2
15,306,159,107,135,341,184,389,187,373,207,353,240,386,240,2
15,300,166,113,132,341,192,388,193,375,212,351,244,384,244,2
15,297,167,116,134,337,192,387,193,371,213,352,246,384,246,2
15,297,160,114,127,339,186,387,186,373,207,349,241,385,239,2
15,296,160,116,122,341,184,388,184,376,205,353,237,385,236,2
15,298,163,109,122,339,188,388,189,374,207,351,240,382,241,2
15,299,167,111,128,338,192,385,194,372,212,351,243,383,245,2
15,297,171,110,116,337,194,384,195,373,212,347,246,382,244,2
15,296,157,115,119,339,181,385,181,373,198,352,232,385,232,2
15,301,148,109,127,339,174,391,174,377,192,354,227,385,226,2
15,297,154,112,128,337,181,386,181,373,198,354,230,385,230,2
15,300,165,108,125,337,189,385,190,372,207,348,242,382,242,2
15,299,171,109,122,337,195,386,195,372,211,352,246,382,246,2
15,299,167,113,128,339,192,387,193,373,212,352,244,385,244,2
15,303,174,108,121,340,197,390,198,375,217,353,250,385,249,2
15,302,172,112,123,345,198,391,199,379,216,355,249,389,247,2
15,311,153,106,119,345,175,396,175,382,192,359,227,393,227,2
15,311,149,112,128,353,177,401,178,385,199,360,231,397,231,2
15,310,159,111,122,351,181,397,181,383,200,359,233,394,234,2
15,310,151,112,129,353,178,401,177,385,200,364,232,395,232,2
15,314,158,110,124,356,184,404,185,387,205,365,234,398,238,2
15,313,160,115,129,356,189,400,190,386,211,365,246,397,244,2
15,314,175,110,125,353,199,403,201,386,222,364,254,401,255,2
15,314,178,113,123,354,203,404,203,388,224,367,255,400,255,2
15,315,160,115,121,358,186,407,186,393,207,368,237,399,237,2
15,322,152,113,135,362,178,410,180,395,199,373,232,406,233,2
15,322,151,108,133,362,180,411,181,396,201,373,231,405,234,2
15,322,166,109,136,361,194,412,196,396,213,370,247,403,247,2
15,319,174,111,127,362,201,410,201,393,220,370,252,403,255,2
15,320,176,109,131,361,200,409,204,394,221,369,253,406,254,2
15,319,174,109,129,361,197,410,200,396,219,368,250,400,250,2
15,318,174,115,132,361,202,408,201,391,221,370,252,405,253,2
15,317,163,113,128,359,192,409,193,394,209,368,242,404,243,2
15,319,159,113,129,362,187,411,191,396,207,371,239,407,240,2
15,315,158,113,133,359,186,407,189,390,208,368,239,404,240,2
15,314,167,115,132,357,192,404,195,391,214,367,247,400,247,2
15,311,166,115,134,354,195,404,197,390,216,364,247,398,247,2
15,314,170,110,136,354,196,402,197,391,217,364,249,398,249,2
15,313,165,108,130,354,191,400,193,387,209,364,240,395,242,2
15,310,162,112,135,353,189,402,192,390,210,365,241,396,241,2
15,308,161,117,133,353,192,400,193,389,209,362,243,397,244,2
15,307,162,115,132,350,189,398,191,386,209,363,241,399,243,2
15,308,162,111,127,351,188,400,190,386,209,361,239,404,240,2
15,305,164,114,128,351,187,400,191,384,207,361,240,394,240,2
15,309,163,110,128,350,187,398,189,382,209,362,241,396,242,2
15,308,164,111,124,350,191,397,191,382,209,358,242,393,243,2
15,302,165,116,134,347,194,397,194,384,211,358,241,388,243,2
15,306,164,112,131,347,192,397,194,383,212,360,243,393,243,2
15,306,166,114,124,350,194,396,194,384,210,360,245,394,244,2
15,304,167,112,120,347,189,394,189,383,206,359,240,393,240,2
15,303,172,109,123,345,195,390,197,381,213,353,245,390,245,2
15,310,166,109,126,349,189,399,190,383,204,362,239,393,240,2
15,305,164,112,125,347,189,395,192,386,210,363,238,393,240,2
15,308,166,108,120,349,189,396,192,384,204,362,240,393,240,2
15,313,164,102,126,348,185,397,188,384,203,360,236,393,236,2
15,310,169,106,118,348,191,394,191,384,206,359,238,393,238,2
15,304,165,110,126,344,188,390,190,378,203,355,237,389,237,2
15,299,166,111,114,342,187,388,189,378,203,353,235,386,235,2
15,302,164,112,123,345,187,392,189,379,203,357,235,390,237,2
30,313,163,107,124,360,189,403,192,393,206,367,237,400,239,3
15,330,183,101,129,368,210,410,214,399,231,368,258,406,260,2
15,325,182,105,135,365,210,411,214,399,232,366,257,406,260,2
15,325,185,103,130,363,213,410,215,397,235,365,257,403,261,2
15,322,187,108,127,362,213,410,216,396,236,365,261,405,263,2
15,324,187,101,130,363,213,407,215,393,238,364,262,402,263,2
15,322,184,105,131,362,214,409,215,393,238,362,261,403,263,2
15,322,183,106,128,361,211,409,215,391,234,362,257,402,260,2
15,320,172,107,134,360,205,408,206,393,227,359,251,401,253,2
15,318,169,112,131,361,198,413,201,393,222,361,246,402,246,2
0,318,161,108,127,356,189,408,191,387,217,358,238,399,238,2
0,319,163,103,132,353,195,404,195,386,218,355,241,399,240,2
0,311,169,108,128,350,199,398,200,381,224,351,246,391,245,2
0,304,174,113,130,346,203,394,202,377,229,345,251,390,252,2
0,306,175,111,129,344,203,396,203,374,230,345,249,386,249,2
0,305,172,109,131,342,203,392,203,371,229,345,250,385,249,2
0,307,174,104,129,343,203,393,203,371,228,344,249,387,249,2
0,309,174,105,129,344,203,394,204,374,227,345,249,384,249,2
0,311,174,107,134,347,203,396,204,376,229,348,249,388,250,2
0,311,174,107,134,348,203,398,205,377,232,348,251,388,251,2
0,313,173,108,132,351,202,400,204,382,229,347,249,390,250,2
0,316,174,109,136,352,204,399,205,382,232,353,249,388,252,2
0,316,178,107,134,351,204,399,205,383,232,353,251,393,253,2
0,314,177,109,132,351,204,407,205,383,231,352,252,393,254,2
0,317,176,109,136,351,203,400,204,382,232,355,252,391,253,2
0,316,177,109,126,348,204,400,204,382,232,353,253,391,254,2
0,313,176,114,141,351,203,399,204,378,232,353,254,387,255,2
0,316,173,103,135,348,201,396,203,375,230,347,251,389,255,2
0,317,174,102,136,347,202,397,204,374,229,348,250,389,253,2
0,308,174,112,139,344,203,396,204,372,235,351,250,385,254,2
0,310,174,109,144,343,202,395,204,369,232,346,252,382,255,2
0,310,174,110,134,342,203,392,204,364,235,345,252,380,253,2
0,310,172,110,137,340,203,392,204,364,231,341,252,382,254,2
0,310,174,102,132,340,203,391,204,365,232,344,250,380,254,2
0,305,172,110,137,336,203,387,204,361,236,339,251,379,255,2
0,304,171,109,138,335,202,387,203,359,231,338,251,377,255,2
0,304,176,112,133,334,203,382,204,359,231,337,253,377,254,2
0,302,174,110,140,332,203,383,202,356,234,335,254,373,252,2
0,302,177,102,127,332,203,383,202,354,234,333,252,372,253,2
0,304,178,103,133,330,201,380,204,354,233,333,254,377,254,2
0,301,174,107,135,328,202,379,203,353,232,333,253,374,253,2
0,299,172,111,146,328,203,379,203,352,230,331,251,371,248,2
0,298,172,108,134,328,203,379,203,353,231,331,250,371,250,2
0,300,172,107,131,329,203,381,203,352,232,331,250,374,250,2
0,302,174,107,127,331,201,382,203,355,232,332,246,377,249,2
0,304,167,106,134,337,201,387,202,365,228,339,244,381,244,2
15,311,169,108,128,350,198,398,200,380,225,350,244,390,244,2
30,317,161,110,148,363,195,408,199,399,220,361,240,403,243,3
45,351,160,111,140,404,186,445,189,444,214,399,235,434,238,3
45,344,154,117,145,395,184,437,187,436,210,393,235,430,239,3
30,347,158,106,136,393,184,436,187,430,212,382,235,428,236,3
30,341,155,113,140,385,184,431,188,422,213,381,234,425,234,3
15,337,155,117,144,379,186,430,186,419,214,379,235,423,236,2
15,341,155,106,136,379,186,427,187,417,214,376,235,422,235,2
15,341,157,112,137,382,187,427,189,414,213,374,232,419,235,2
15,339,159,112,141,383,186,427,186,417,213,377,236,418,234,2
30,341,153,116,144,389,183,431,186,426,212,384,232,425,233,3
45,343,151,113,144,395,185,434,187,435,212,389,232,427,235,3
45,338,154,101,138,384,179,420,180,424,204,381,229,417,231,3
30,331,154,107,135,377,178,418,180,418,204,374,229,412,228,3
15,325,152,110,137,369,180,415,180,406,203,367,227,410,226,2
15,322,151,111,132,360,178,409,180,399,204,362,227,406,227,2
0,316,152,114,132,354,178,401,178,390,204,353,228,402,227,2
0,310,152,118,137,347,180,401,180,381,206,350,228,398,226,2
0,310,152,115,137,342,180,393,178,371,207,342,229,391,228,2
0,305,152,118,133,338,181,391,180,365,207,341,234,388,229,2
0,305,152,107,136,333,182,387,178,361,209,334,230,389,229,2
0,298,151,121,134,327,180,381,177,352,207,330,227,380,227,2
-15,294,153,126,133,322,183,376,178,344,209,330,232,376,230,2
-15,290,151,121,138,317,181,371,177,337,210,324,232,374,229,2
-30,284,155,123,134,311,183,365,177,330,210,316,234,364,227,1
-30,276,150,121,137,305,183,359,178,325,210,310,229,362,224,1
-30,274,152,115,145,300,184,350,178,316,210,311,236,358,230,1
-45,271,153,104,134,291,187,340,178,302,212,300,237,348,228,1
-45,255,154,115,141,276,187,323,179,283,212,285,239,329,228,1
-45,261,156,108,133,280,189,328,181,288,214,293,238,336,230,1
-45,265,149,112,145,280,186,336,177,296,210,294,236,339,227,1
-45,262,154,117,133,291,188,344,180,302,209,299,236,348,229,1
-45,271,153,110,130,294,184,346,177,311,211,305,235,348,227,1
-30,276,155,114,128,298,184,346,177,313,209,308,237,353,227,1
-30,273,151,111,132,300,185,353,178,318,210,311,235,356,229,1
-30,279,153,115,121,305,181,353,175,322,207,314,230,364,226,1
-30,282,155,115,132,308,184,362,180,329,214,316,233,362,229,1
-30,285,149,114,132,313,185,362,179,330,212,317,232,367,227,1
-15,279,144,124,140,313,181,365,177,335,205,320,232,367,227,2
-15,285,150,115,134,314,180,366,174,337,207,325,234,367,224,2
-15,291,149,113,131,319,179,370,175,342,205,330,229,373,224,2
-15,294,150,111,128,317,179,372,175,342,204,327,229,373,222,2
0,291,150,109,127,317,178,371,172,345,201,327,227,373,223,2
0,292,147,114,126,324,176,371,172,347,197,326,225,373,220,2
0,294,152,111,127,322,179,374,174,345,203,329,227,374,221,2
0,292,152,115,126,322,177,373,174,345,199,330,229,374,224,2
0,289,149,114,122,322,177,373,172,348,199,330,224,376,221,2
0,290,148,114,126,320,176,372,171,346,196,325,224,372,219,2
0,285,144,120,128,320,176,368,170,345,196,328,221,373,219,2
0,290,151,117,126,318,179,367,172,345,201,329,227,372,220,2
0,285,147,120,130,317,178,367,172,345,199,327,227,372,220,2
0,286,147,111,127,313,177,363,169,342,198,323,224,368,218,2
0,281,144,118,129,313,172,363,166,337,195,322,224,367,217,2
0,284,146,117,131,312,176,363,170,339,198,321,225,369,217,2
0,281,144,122,134,310,178,361,170,342,200,322,227,369,221,2
0,278,144,123,133,307,180,357,169,335,203,319,229,362,218,2
0,277,148,123,128,303,180,357,171,338,201,319,230,366,221,2
0,276,152,128,132,306,185,360,175,337,206,316,234,362,227,2
0,276,252,137,136,317,278,373,277,349,304,330,337,365,335,2
0,274,239,131,144,309,269,363,272,340,296,319,326,354,327,2
0,271,245,132,141,307,274,362,274,333,297,312,331,350,334,2
0,274,244,126,150,307,275,360,275,331,297,314,332,351,335,2
0,274,237,129,149,308,267,364,268,334,291,317,324,354,326,2
0,276,236,125,143,311,269,364,271,336,291,317,324,349,327,2
15,310,257,114,128,348,278,395,284,378,304,356,337,389,340,2
15,308,247,115,133,348,271,396,274,382,297,357,326,390,329,2
15,305,250,118,141,347,278,396,282,379,304,357,334,387,337,2
15,307,258,116,128,347,283,395,286,376,308,359,338,388,339,2
15,309,254,115,129,353,277,396,280,384,304,358,333,391,337,2
15,313,251,114,131,354,276,402,279,386,301,361,332,393,334,2
15,310,258,117,130,354,280,401,283,385,307,360,335,395,338,2
15,314,261,110,131,354,286,401,290,384,311,364,339,391,343,2
15,306,261,113,125,350,284,399,288,381,310,361,338,388,340,2
15,309,251,117,130,353,275,399,278,382,300,357,328,390,330,2
15,313,251,110,125,354,272,400,275,382,297,360,326,390,329,2
15,308,253,114,128,350,278,398,282,380,303,359,332,390,337,2
15,305,267,119,128,351,292,397,296,379,314,356,347,388,347,2
15,310,264,114,125,352,286,397,289,381,311,359,338,393,340,2
15,315,253,109,128,354,278,402,280,385,301,363,329,393,331,2
15,311,254,114,134,354,277,400,282,385,304,362,332,393,335,2
15,313,258,111,129,356,280,400,283,384,306,360,335,390,337,2
15,313,260,107,129,354,281,401,286,384,306,364,335,391,338,2
15,310,257,115,128,354,280,400,287,383,307,362,335,392,338,2
15,306,254,122,133,356,280,403,286,386,305,362,334,391,338,2
15,311,255,111,129,355,279,401,284,385,305,361,332,390,337,2
15,311,254,116,129,356,278,401,284,385,305,362,332,391,335,2
15,310,253,117,132,356,276,400,280,384,303,360,329,391,333,2
15,309,255,116,132,356,277,402,283,386,306,362,332,393,336,2
15,309,255,117,131,355,281,402,287,386,307,361,335,390,340,2
15,306,259,119,132,354,283,402,289,382,312,362,337,390,340,2
15,310,259,120,133,353,284,400,289,384,311,361,338,388,343,2
15,301,258,123,131,352,283,397,287,378,307,357,335,390,341,2
15,306,258,113,129,348,281,396,286,374,308,350,335,382,337,2
0,304,256,112,128,341,279,391,283,367,305,346,331,379,334,2
0,297,255,117,129,333,281,382,283,356,303,337,330,371,335,2
0,293,253,115,135,317,281,373,283,343,305,330,334,356,335,2
-30,274,255,114,129,299,284,341,284,313,307,304,336,331,337,1
-30,268,255,102,128,290,288,334,286,300,311,296,338,324,338,1
-30,271,261,102,126,297,291,337,292,309,313,301,338,335,341,1
-15,279,261,112,128,312,287,361,287,332,311,320,338,350,340,2
0,289,263,108,129,318,287,369,289,341,311,329,338,356,340,2
0,291,265,111,121,320,286,371,289,344,311,327,339,360,339,2
0,288,257,112,125,326,281,374,284,345,307,332,334,359,337,2
0,294,254,111,123,328,282,377,283,353,304,336,332,361,334,2
0,297,260,109,127,330,284,377,286,354,310,337,336,365,339,2
0,294,264,114,130,328,292,376,292,353,315,337,345,365,347,2
0,295,270,116,129,332,292,380,294,357,319,341,347,368,347,2
0,297,267,115,125,337,292,382,292,363,314,345,346,375,347,2
0,299,263,113,137,337,291,384,295,367,317,349,345,374,347,2
0,303,267,105,128,341,292,385,294,366,318,346,348,375,352,2
0,300,269,109,126,341,294,388,296,366,321,349,347,373,350,2
0,301,271,110,133,338,297,387,300,367,323,347,350,376,353,2
0,295,268,122,133,341,295,388,297,368,321,347,348,377,355,2
0,302,266,111,125,343,291,389,292,371,318,348,346,381,350,2
0,310,260,106,131,344,287,392,291,375,313,350,341,384,346,2
0,308,259,108,128,348,286,394,289,374,312,353,338,385,345,2
0,306,268,114,129,341,292,389,295,372,321,347,349,379,351,2
0,299,274,114,128,337,297,384,302,365,327,346,354,373,357,2
0,299,267,115,128,337,292,385,296,367,321,347,347,373,350,2
0,304,264,111,128,337,286,387,290,363,317,344,343,375,345,2
0,302,264,111,130,337,287,384,289,363,314,342,340,371,346,2
0,300,263,113,126,334,287,383,290,361,317,343,343,371,346,2
0,301,265,107,131,333,291,382,294,360,318,341,346,371,349,2
0,298,273,112,125,333,295,382,298,359,323,339,349,367,353,2
0,300,269,110,117,331,287,381,291,360,314,340,340,369,344,2
0,300,255,117,126,336,277,382,280,360,304,340,331,368,331,2
0,302,247,113,134,337,274,387,277,360,300,347,327,374,330,2
0,302,254,115,129,335,277,382,279,361,304,342,332,371,335,2
0,298,256,115,132,334,283,383,285,359,308,343,334,374,338,2
0,299,262,116,122,334,285,382,289,362,310,340,336,372,339,2
0,304,255,105,128,335,280,382,283,363,305,344,331,369,334,2
0,304,252,111,128,337,275,385,278,362,301,344,326,376,330,2
0,302,252,113,131,337,279,385,284,362,305,345,331,373,335,2
0,304,257,107,124,338,278,382,283,363,306,345,329,372,337,2
0,307,255,106,134,339,282,385,286,365,307,348,333,376,337,2
0,308,255,106,131,339,285,387,289,364,309,345,334,376,338,2
0,306,257,107,131,338,284,385,289,365,309,346,335,374,340,2
0,305,257,115,128,342,284,387,288,370,309,349,334,375,338,2
0,301,252,117,132,344,280,390,284,371,304,350,330,374,334,2
0,309,261,108,125,344,283,388,287,372,311,350,335,377,340,2
15,305,262,111,122,344,286,387,291,371,311,346,337,377,342,2
15,306,257,110,127,347,282,389,286,371,307,351,333,380,335,2
