CreditScore,Age,Exited,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Gender_Female,Gender_Male,Geography
716,42,0,8,0.0,2,1,0,180800.42,0,1,Spain
539,37,0,2,127609.59,1,1,0,98646.22,0,1,France
614,43,0,6,0.0,2,1,1,109041.53,1,0,France
706,57,1,7,0.0,1,1,0,17941.16,0,1,Spain
758,33,0,7,0.0,2,0,0,82996.47,1,0,France
586,28,0,2,0.0,2,1,1,92067.35,1,0,Spain
646,73,0,6,97259.25,1,0,1,104719.66,1,0,France
631,33,0,4,123246.7,1,0,0,112687.57,1,0,Germany
717,22,0,6,101060.25,1,0,1,84699.56,1,0,Spain
684,30,0,2,0.0,2,1,0,83473.82,0,1,France
800,49,0,7,108007.36,1,0,0,47125.11,1,0,France
721,36,0,2,0.0,2,1,1,106977.8,1,0,Spain
683,29,1,0,133702.89,1,1,0,55582.54,0,1,Spain
660,31,0,9,125189.75,2,1,1,139874.43,0,1,Germany
704,24,1,7,113034.22,1,1,0,162503.48,1,0,Germany
615,41,0,9,109013.23,1,1,0,196499.96,1,0,Spain
667,39,1,2,0.0,2,1,0,40721.24,1,0,Spain
682,24,0,9,57929.81,2,0,0,53134.3,0,1,Germany
484,29,0,4,130114.39,1,1,0,164017.89,1,0,France
628,27,0,5,95826.49,2,1,0,155996.96,0,1,Germany
480,44,1,10,129608.57,1,1,0,5472.7,0,1,Germany
578,30,0,4,169462.09,1,1,0,112187.11,0,1,France
512,40,0,5,0.0,2,1,1,146457.83,0,1,France
484,35,0,7,133868.21,1,1,1,27286.1,1,0,Spain
510,30,0,0,0.0,2,1,1,130553.47,1,0,France
606,36,0,5,190479.48,2,0,0,179351.89,0,1,Germany
597,40,0,8,101993.12,1,0,1,94774.12,1,0,Spain
754,55,1,3,161608.81,1,1,0,8080.85,1,0,Germany
850,45,0,2,122311.21,1,1,1,19482.5,1,0,Spain
510,65,0,2,0.0,2,1,1,48071.61,0,1,France
778,45,0,1,162150.42,2,1,0,174531.27,1,0,Germany
636,42,0,2,0.0,2,1,1,55470.78,0,1,France
804,50,1,4,0.0,1,1,1,8546.87,1,0,France
514,32,0,8,0.0,2,1,0,95857.18,0,1,France
730,39,0,1,99010.67,1,1,0,194945.8,1,0,France
525,37,0,0,0.0,1,0,1,131521.72,1,0,Spain
616,30,0,5,0.0,2,0,1,196108.51,0,1,Spain
687,34,0,7,111388.18,2,1,0,148564.76,1,0,Germany
715,41,1,8,56214.85,2,0,0,92982.61,1,0,France
512,36,0,3,84327.77,2,1,0,17675.36,1,0,France
479,40,0,1,0.0,2,0,0,114996.43,0,1,France
601,32,0,8,93012.89,1,1,0,86957.42,0,1,France
580,29,0,9,61710.44,2,1,0,128077.8,0,1,Spain
807,35,0,3,174790.15,1,1,1,600.36,0,1,France
616,32,0,6,0.0,2,1,1,43001.46,1,0,Spain
721,37,0,3,107720.64,1,1,1,158591.12,0,1,Germany
501,57,0,10,0.0,2,1,1,47847.19,0,1,France
521,35,0,6,96423.84,1,1,0,10488.44,0,1,France
850,30,0,2,141040.01,1,1,1,5978.2,0,1,Spain
759,42,0,4,105420.18,1,0,1,121409.06,0,1,France
516,50,1,5,0.0,1,0,1,146145.93,0,1,Spain
711,38,1,2,129022.06,2,1,1,14374.86,1,0,France
512,33,0,3,176666.62,1,1,0,94670.77,0,1,Spain
550,37,0,3,0.0,1,1,1,179670.31,0,1,France
608,41,1,3,89763.84,1,0,0,199304.74,1,0,Spain
618,34,0,5,134954.53,1,1,1,151954.39,0,1,France
643,45,1,5,0.0,1,1,0,142513.5,0,1,France
671,45,0,2,106376.85,1,0,1,158264.62,0,1,France
689,33,0,2,161814.64,2,1,0,169381.9,0,1,Germany
603,31,0,8,0.0,2,1,1,169915.02,0,1,France
620,41,0,9,0.0,2,0,0,88852.47,1,0,France
676,34,0,1,63095.01,1,1,1,40645.81,1,0,France
572,26,0,4,118287.01,2,0,0,60427.3,0,1,Germany
668,47,1,7,106854.21,1,0,1,157959.02,0,1,Germany
695,46,0,7,49512.55,1,1,0,133007.34,0,1,France
730,33,0,9,0.0,2,0,0,176576.62,1,0,Spain
807,43,1,1,105799.32,2,1,0,34888.04,0,1,France
592,54,1,8,0.0,1,1,1,28737.71,0,1,France
726,31,0,9,114722.05,2,1,1,98178.57,1,0,France
514,30,0,7,0.0,1,0,1,125010.24,0,1,Spain
567,42,0,2,0.0,2,1,1,167984.61,0,1,France
850,33,1,10,0.0,1,1,0,4861.72,0,1,France
671,45,1,6,99564.22,1,1,1,108872.45,0,1,Germany
670,37,0,4,170557.91,2,1,0,198252.88,0,1,France
694,30,0,9,0.0,2,1,1,26960.31,1,0,France
547,39,1,6,74596.15,3,1,1,85746.52,1,0,Germany
751,50,1,2,96888.39,1,1,0,77206.25,0,1,Germany
594,29,0,3,130830.22,1,1,0,61048.53,1,0,Germany
673,72,0,1,0.0,2,0,1,111981.19,0,1,France
610,40,0,0,0.0,2,1,0,62232.6,0,1,France
512,37,0,1,0.0,2,0,1,156105.03,1,0,France
767,20,0,3,119714.25,2,0,1,150135.38,0,1,Germany
585,67,0,5,113978.97,2,0,1,93146.11,1,0,France
763,42,1,6,100160.75,1,1,0,33462.94,0,1,Germany
712,29,0,2,0.0,1,1,1,144375.0,1,0,France
539,43,1,3,116220.5,3,1,0,55803.96,1,0,Germany
668,46,1,2,0.0,3,1,0,89048.46,1,0,France
703,28,0,2,81173.83,2,0,1,162812.16,0,1,France
662,38,0,4,0.0,2,1,0,136259.65,0,1,Spain
725,39,0,5,116803.8,1,1,0,124052.97,1,0,Germany
703,37,0,8,105961.68,2,0,1,74158.8,0,1,France
659,67,1,6,117411.6,1,1,1,45071.09,0,1,Germany
523,34,0,7,0.0,2,1,0,62030.06,0,1,Spain
635,40,1,10,123497.58,1,1,0,131953.23,1,0,France
772,26,0,7,152400.51,2,1,0,79414.0,0,1,Germany
545,26,0,1,0.0,2,1,1,199638.56,1,0,France
634,24,0,8,103097.85,1,1,1,157577.29,0,1,Germany
739,54,1,8,126418.14,1,1,0,134420.75,0,1,Germany
771,36,0,5,77846.9,1,0,0,99805.99,1,0,Germany
587,34,0,1,0.0,2,1,1,97932.68,1,0,Spain
681,79,0,0,0.0,2,0,1,170968.99,1,0,France
544,37,0,2,79731.91,1,1,1,57558.95,0,1,Germany
696,28,0,8,0.0,1,0,0,176713.47,0,1,Spain
766,41,0,0,0.0,2,0,1,34283.23,0,1,Spain
727,34,0,10,0.0,2,1,1,198637.34,0,1,France
671,34,0,6,37266.67,2,0,0,156917.12,1,0,Germany
693,30,0,6,127992.25,1,1,1,50457.2,1,0,France
850,38,0,3,54901.01,1,1,1,140075.55,0,1,Germany
732,42,0,9,108748.08,2,1,1,65323.11,0,1,Germany
726,48,0,6,99906.19,1,1,0,64323.24,1,0,Spain
557,32,0,6,184686.41,2,1,0,14956.44,1,0,France
682,26,0,0,110654.02,1,0,1,111879.21,1,0,France
738,31,0,9,79019.8,1,1,1,18606.23,0,1,Spain
531,36,0,9,99240.51,1,1,0,123137.01,1,0,Spain
498,34,0,2,0.0,2,1,1,148528.24,0,1,France
651,36,0,7,0.0,2,1,0,13898.31,0,1,France
549,39,1,7,0.0,1,0,0,81259.25,1,0,Spain
791,35,0,7,52436.2,1,1,0,161051.75,1,0,Germany
650,41,0,9,0.0,2,0,1,191599.67,0,1,Spain
733,34,1,3,100337.96,3,1,0,48559.19,0,1,Germany
811,34,0,1,149297.19,2,1,1,186339.74,1,0,Germany
707,30,0,8,0.0,2,1,0,33159.37,0,1,France
712,28,0,4,145605.44,1,0,1,93883.53,0,1,Germany
706,37,0,7,0.0,2,1,1,110899.3,1,0,Spain
756,62,1,3,0.0,1,1,1,11199.04,0,1,France
777,53,0,10,0.0,2,1,0,189992.97,1,0,France
646,35,0,6,84026.86,1,0,1,164255.69,0,1,France
714,46,1,1,0.0,1,1,0,152167.79,0,1,France
782,39,0,8,0.0,2,1,1,33949.67,0,1,France
775,29,0,10,0.0,2,1,1,68143.93,0,1,Spain
479,35,1,4,138718.92,1,1,1,47251.79,0,1,Germany
807,42,0,7,118274.71,1,1,1,25885.72,0,1,France
799,22,0,8,174185.98,2,0,1,192633.85,1,0,France
675,40,0,7,113208.86,2,1,0,34577.36,0,1,France
602,29,0,5,103907.28,1,1,0,161229.84,0,1,Spain
475,32,0,8,119023.28,1,1,0,100816.29,1,0,France
744,26,0,5,166297.89,1,1,1,181694.44,1,0,Spain
588,34,0,10,0.0,2,1,0,79078.91,0,1,Spain
703,42,0,9,63227.0,1,0,1,137316.32,0,1,Germany
747,41,0,5,94521.17,2,1,0,194926.86,1,0,Spain
583,27,0,7,0.0,2,1,0,51285.49,0,1,France
750,34,1,9,112822.26,1,0,0,150401.53,1,0,Spain
681,38,0,3,0.0,2,1,1,112491.96,0,1,France
773,25,0,2,135903.33,1,1,0,73656.38,0,1,France
714,31,0,4,125169.26,1,1,1,106636.89,1,0,France
687,44,1,7,0.0,3,1,0,155853.52,1,0,Spain
511,58,0,0,149117.31,1,1,1,162599.51,0,1,France
627,33,0,5,0.0,2,1,1,103737.82,0,1,France
694,31,0,10,0.0,2,1,0,160990.27,1,0,France
616,36,0,6,132311.71,1,0,0,15462.84,1,0,Spain
687,35,0,8,0.0,2,1,0,10334.05,0,1,France
712,33,0,6,0.0,2,1,1,190686.16,1,0,France
553,33,0,4,118082.89,1,0,0,94440.45,0,1,France
667,31,0,1,119266.69,1,1,1,28257.63,0,1,France
731,43,1,2,0.0,1,1,1,170034.95,0,1,France
629,35,0,7,156847.29,2,1,0,31824.29,0,1,Germany
614,50,1,4,137104.47,1,1,0,127166.49,0,1,France
438,31,0,8,78398.69,1,1,0,44937.01,0,1,Germany
652,80,0,4,0.0,2,1,1,188603.07,1,0,France
729,30,0,6,63669.42,1,1,0,145111.37,0,1,Germany
642,38,0,3,0.0,2,0,0,171463.83,0,1,France
806,59,0,0,135296.33,1,1,0,182822.5,1,0,Germany
744,36,0,2,153804.44,1,1,1,87213.33,0,1,Spain
474,37,0,3,0.0,2,0,0,57175.32,0,1,Spain
559,49,1,2,147069.78,1,1,0,120540.83,0,1,France
706,42,0,9,0.0,2,1,1,28714.34,0,1,Spain
628,22,0,3,0.0,1,1,0,85426.28,1,0,Spain
429,24,0,4,95741.75,1,1,0,46170.75,0,1,France
525,57,0,2,145965.33,1,1,1,64448.36,1,0,Spain
680,30,0,8,141441.75,1,1,1,16278.97,1,0,France
749,40,1,1,139290.41,1,1,0,182855.42,0,1,France
763,31,0,4,0.0,2,0,0,50404.72,1,0,France
734,30,0,3,0.0,2,1,0,107640.25,0,1,France
716,35,0,4,144428.87,1,1,0,134132.65,0,1,France
594,35,0,2,0.0,2,1,0,103480.69,0,1,France
644,46,1,9,95441.27,1,1,0,108761.05,1,0,France
671,35,0,1,144848.74,1,1,1,179012.3,0,1,Germany
664,26,0,7,116244.14,2,1,1,95145.14,0,1,Germany
656,50,0,7,0.0,2,0,1,72143.44,0,1,France
667,40,0,1,146502.07,1,1,0,19162.89,1,0,Spain
663,44,0,2,117028.6,2,0,1,144680.18,0,1,Germany
584,30,1,8,112013.81,1,1,0,177772.03,1,0,Germany
626,37,0,6,108269.37,1,1,0,5597.94,1,0,Spain
485,29,1,7,182123.79,1,1,0,116828.51,0,1,France
659,32,0,3,150923.74,2,0,1,174652.51,1,0,Germany
649,33,0,2,0.0,2,1,0,2010.98,0,1,France
805,39,1,5,165272.13,1,1,0,14109.85,1,0,Spain
716,39,1,10,115301.31,1,1,0,43527.4,1,0,Germany
642,40,1,6,129502.49,2,0,1,86099.23,1,0,Germany
659,31,0,4,118342.26,1,0,0,161574.19,0,1,France
545,47,0,5,0.0,2,1,1,38970.14,1,0,Spain
543,22,0,8,0.0,2,0,0,127587.22,0,1,France
718,25,0,7,0.0,2,1,0,30380.12,1,0,France
840,43,0,7,0.0,2,1,0,90908.95,1,0,France
630,34,0,9,106937.05,2,1,0,138275.01,1,0,Germany
643,59,0,3,170331.37,1,1,1,32171.79,0,1,Germany
654,32,0,1,114510.85,1,1,1,126143.23,1,0,Germany
582,39,0,5,0.0,2,1,1,129892.93,0,1,France
659,32,0,3,107594.11,2,1,1,102416.84,0,1,Spain
762,39,0,2,81273.13,1,1,1,18719.67,0,1,Spain
568,32,0,7,169399.6,1,1,0,61936.22,1,0,Spain
670,25,0,6,0.0,2,1,1,78358.94,0,1,Spain
613,45,0,1,187841.99,2,1,1,147224.27,1,0,France
539,30,0,0,0.0,2,1,0,160979.66,0,1,France
850,57,0,8,126776.3,2,1,1,132298.49,1,0,Spain
522,34,1,9,126436.29,1,1,0,174248.52,0,1,Spain
737,41,0,1,101960.74,1,1,1,123547.28,0,1,France
520,58,0,3,0.0,2,0,1,32790.02,0,1,France
706,28,0,3,0.0,2,0,1,181543.67,0,1,Spain
643,45,1,2,150842.93,1,0,1,2319.96,1,0,Germany
648,50,0,9,102535.57,1,1,1,189543.19,1,0,France
443,29,0,9,99027.61,2,1,0,10940.4,1,0,Germany
640,68,0,9,0.0,2,1,1,199493.38,0,1,France
628,33,0,3,0.0,1,1,1,188193.25,1,0,Spain
540,42,0,9,87271.41,2,1,0,172572.64,1,0,Germany
460,35,0,8,102742.91,2,1,1,189339.6,1,0,Germany
636,34,0,2,40105.51,2,0,1,53512.16,0,1,Germany
593,29,0,2,152265.43,1,1,0,34004.44,1,0,France
801,42,0,4,141947.67,1,1,1,10598.29,0,1,Spain
640,75,0,1,106307.91,2,0,1,113428.77,1,0,Germany
611,31,0,0,107884.81,2,1,1,183487.98,0,1,Germany
802,31,0,1,125013.72,1,1,1,187658.09,0,1,Germany
717,35,0,7,58469.37,2,1,1,172459.39,0,1,Germany
769,39,0,8,0.0,1,0,1,21016.0,1,0,France
745,45,1,10,117231.63,3,1,1,122381.02,0,1,Germany
572,35,0,4,152390.26,1,1,0,128123.66,0,1,Spain
629,30,0,2,34013.63,1,1,0,19570.63,1,0,Spain
687,39,1,2,0.0,3,0,0,188150.6,1,0,Spain
483,50,0,9,0.0,2,1,1,111020.24,1,0,France
690,36,0,7,101583.11,2,1,0,123775.15,0,1,France
492,30,0,10,77168.87,2,0,1,146700.22,1,0,Germany
709,28,0,8,124695.72,2,1,0,145251.35,0,1,Germany
705,44,0,3,105934.96,1,1,0,82463.69,0,1,Germany
560,66,0,9,0.0,1,1,1,15928.49,1,0,France
611,46,0,6,0.0,2,1,0,45886.33,0,1,Spain
730,62,0,2,0.0,2,1,1,186489.95,0,1,Spain
709,45,0,2,0.0,2,0,1,162922.65,1,0,Spain
544,21,0,10,161525.96,2,1,0,9262.77,1,0,France
712,29,0,7,147199.07,1,1,1,84932.4,1,0,Germany
752,38,0,3,183102.29,1,1,1,71557.12,0,1,Germany
648,46,1,9,127209.0,2,1,0,77405.95,0,1,Spain
556,38,1,8,0.0,2,0,0,417.41,0,1,Spain
594,24,0,0,97378.54,1,1,1,71405.17,1,0,Spain
645,37,0,2,136925.09,2,0,1,153400.24,1,0,Germany
557,33,0,3,54503.55,1,1,1,371.05,0,1,France
547,32,0,8,155726.85,1,1,0,67789.99,0,1,Germany
701,39,0,9,0.0,2,0,1,145894.9,1,0,France
616,66,1,1,135842.41,1,1,0,183840.51,1,0,France
605,52,0,1,63349.75,1,1,0,108887.44,0,1,France
593,38,0,4,129499.42,1,1,1,154071.27,1,0,Germany
751,52,0,8,0.0,2,0,1,179291.85,0,1,Spain
443,36,0,6,70438.01,2,0,1,56937.43,0,1,Spain
685,23,0,8,0.0,2,1,1,112239.03,0,1,France
718,36,0,9,0.0,1,1,0,45909.87,0,1,France
538,49,1,9,141434.04,1,0,0,173779.25,1,0,Spain
611,37,0,4,0.0,2,1,0,125696.26,1,0,Spain
668,37,0,10,152958.29,2,1,1,159585.61,0,1,Germany
537,41,0,3,138306.34,1,1,0,106761.47,1,0,Germany
709,23,0,10,0.0,2,0,0,129590.18,0,1,Spain
850,38,0,1,0.0,2,1,1,80006.65,0,1,France
745,31,0,3,124328.84,1,1,1,140451.52,1,0,Spain
693,41,1,9,181461.48,3,1,1,187929.43,1,0,Germany
795,35,0,8,0.0,2,1,0,167155.36,0,1,Spain
626,26,0,8,0.0,2,0,0,191420.71,0,1,Spain
487,61,1,5,110368.03,1,0,0,11384.45,1,0,Germany
556,39,0,9,89588.35,1,1,1,94898.1,1,0,France
643,46,0,6,0.0,2,0,0,106781.59,1,0,France
605,28,0,6,0.0,2,0,0,159508.52,1,0,France
756,60,1,3,115924.89,1,1,0,93524.19,1,0,Germany
586,38,0,2,0.0,2,1,0,87168.46,1,0,France
535,40,1,7,111756.5,1,1,0,8128.32,0,1,Germany
678,35,0,4,0.0,1,1,0,125518.32,1,0,France
596,39,0,9,0.0,1,1,0,48963.59,0,1,France
648,26,0,9,162923.85,1,1,0,98368.24,0,1,France
492,39,0,10,124576.65,2,1,0,148584.61,0,1,Germany
702,45,0,0,80793.58,1,1,1,27474.81,0,1,France
486,40,0,9,71340.09,1,1,0,76192.21,1,0,Germany
568,40,1,1,99282.63,1,0,0,134600.94,0,1,Germany
619,57,1,3,137946.39,1,1,1,72467.99,0,1,Germany
724,41,0,2,127892.57,2,0,1,199645.45,0,1,Germany
548,33,0,0,101084.36,1,1,0,42749.85,1,0,Germany
545,37,1,8,114754.08,1,1,0,136050.44,1,0,Germany
683,33,0,8,0.0,1,0,0,73564.44,0,1,France
762,51,0,3,99286.98,1,0,1,85578.63,1,0,France
627,30,0,4,79871.02,2,1,0,129826.89,1,0,Germany
516,35,0,10,104088.59,2,0,0,119666.0,0,1,France
800,38,0,2,168190.33,2,1,0,68052.08,1,0,France
464,42,0,3,85679.25,1,1,1,164104.74,1,0,Germany
626,35,0,3,0.0,1,0,0,80190.36,1,0,France
790,31,0,9,0.0,2,1,0,84126.75,1,0,France
534,34,0,7,121551.58,2,1,1,70179.0,1,0,France
745,46,0,2,122220.19,1,1,1,118024.1,0,1,France
553,47,1,3,116528.15,1,0,0,145704.19,0,1,Spain
748,26,0,1,77780.29,1,0,1,183049.41,1,0,France
722,37,0,2,0.0,1,0,0,120906.83,0,1,France
501,40,0,4,125832.2,1,1,1,100433.83,0,1,France
675,38,1,6,68065.8,1,0,0,138777.0,1,0,France
778,47,0,6,127299.34,2,1,0,124694.99,1,0,Spain
494,38,0,7,174937.64,1,1,0,40084.32,1,0,Germany
