Concentration Coeff (Mean),Concentration Coeff (SD),Shannon's Entropy (Mean),Shannon's Entropy (SD),Attr-to-Inst Ratio,Canonical Corr (Mean),Canonical Corr (SD),Correlation (Mean),Correlation (SD),Covariance (Mean),Covariance (SD),Eigenvalues (Mean),Eigenvalues (SD),Inst-to-Attr Ratio,IQ Range (Mean),IQ Range (SD),Kurtosis (Mean),Kurtosis (SD),Median Abs Dev (Mean),Median Abs Dev (SD),Mean (Mean),Mean (SD),Median (Mean),Median (SD),Num Attr,Num Binary Attr,Num Correlated Attr,Num Instances,Num Outliers,SD (Mean),SD (SD),Skewness (Mean),Skewness (SD),Sparsity (Mean),Sparsity (SD),Ave Num Feat per PCA Dim,Ave Num PCA Dim per Point,PCA-to-Orig Dim Ratio,Trimmed Mean (Mean),Trimmed Mean (SD),Variance (Mean),Variance (SD),1-Itemset Min,1-Itemset Q1,1-Itemset Q2,1-Itemset Q3,1-Itemset Max,2-Itemset Min,2-Itemset Q1,2-Itemset Q2,2-Itemset Q3,2-Itemset Max,best_dist_metric_ari,best_dist_metric_dbs
0.029532716,0.014144727,5.299795891,0.017485986,4.43E-05,0.268842685,0.420844819,0.229303607,0.099061354,0.000193948,6.93E-05,0.000873747,0.000390299,22549.66667,0.030231809,0.011135422,11.94385195,6.095274085,0.023196971,0.007860589,0.467415917,0.09923849,0.467403975,0.099352951,3,0,0,67649,3,0.029467252,0.002853448,-0.051040008,0.403806612,0.001579766,0.00034781,4.43E-05,4.43E-05,1,0.467081156,0.098071379,0.000873747,0.000172858,0.012682927,0.022989653,0.025084996,0.026869919,0.039689579,0.02518847,0.045247598,0.048677014,0.052209904,0.073436807,mahalanobis,euclidean
0.021780515,0.003272269,5.486303017,0.12554945,2.58E-05,0.289901547,0.362603401,0.252157358,0.089845155,9.91E-05,3.78E-05,0.000592011,0.000672745,38699.66667,0.022378402,0.021308675,47.61015167,48.57933979,0.017077718,0.017386516,0.543605254,0.031863832,0.543197229,0.030440933,3,0,0,116099,3,0.02200581,0.012713491,0.117265488,0.447148538,0.002122476,0.00018836,2.58E-05,2.58E-05,1,0.54214279,0.029818983,0.000592011,0.000648284,0.01124031,0.019425065,0.020723514,0.023596038,0.043031869,0.023238587,0.038156761,0.041326443,0.046393196,0.073186908,mahalanobis,chebyshev
0.022108703,0.008523462,5.410822893,0.1666542,2.90E-05,0.197107808,0.196905231,0.14712823,0.047530828,0.00014022,6.49E-05,0.000951686,0.000377587,34499.66667,0.022730889,0.010384854,9.768815759,4.661558059,0.016364719,0.009253182,0.521830247,0.10878629,0.524090568,0.109283543,3,0,0,103499,3,0.030624218,0.004556897,-0.095793957,0.670056485,0.001364239,6.70E-05,2.90E-05,2.90E-05,1,0.523663085,0.109619571,0.000951686,0.000274154,0.010347826,0.020980676,0.022086957,0.024386473,0.0527343,0.020231884,0.040618357,0.043623188,0.047246377,0.079033816,euclidean,euclidean
0.053279594,0.008109442,5.61957981,0.04210029,2.17E-05,0.342963611,0.518273844,0.490749797,0.159209264,0.000360836,0.00024379,0.000764441,0.000854596,45999.66667,0.039539009,0.024834131,28.59987993,37.7846781,0.019239576,0.011448223,0.475517868,0.089038018,0.48502534,0.083232685,3,0,0.333333333,137999,3,0.026699983,0.008793621,-0.728321634,0.981606198,0.001667819,0.000158945,2.17E-05,2.17E-05,1,0.477873079,0.088314383,0.000764441,0.000469957,0.008905797,0.018005435,0.019528986,0.021197464,0.037427536,0.007036232,0.0355,0.038463768,0.04175,0.072514493,mahalanobis,chebyshev
0.029186255,0.012281038,5.446447029,0.089239496,2.93E-05,0.249231981,0.864261578,0.154812437,0.104703023,0.000864764,0.000789409,0.005517801,0.003550454,34113,0.082783067,0.062211522,2.99240497,2.5832289,0.054120102,0.037344288,0.333092681,0.088699576,0.31775268,0.084669574,3,0,0,102339,3,0.072447438,0.020093656,1.029183205,0.462463351,0.002121928,0.000346247,2.93E-05,2.93E-05,1,0.322849492,0.089409459,0.005517801,0.003019261,0.009790893,0.019921341,0.022024624,0.024389291,0.045104553,0.021154974,0.039759625,0.043116084,0.047205394,0.076724643,manhattan,euclidean
0.021685224,0.004762042,5.43618035,0.149304173,2.46E-05,0.195828494,0.346474072,0.048163291,0.034661047,4.12E-05,2.83E-05,0.001064618,0.000582556,40733,0.021619912,0.015025048,12.6406361,5.839008454,0.016218436,0.01177983,0.55079487,0.028837829,0.551550054,0.027820825,3,0,0,122199,3,0.03176552,0.009129837,0.521808873,0.381051206,0.001461825,8.06E-05,2.46E-05,2.46E-05,1,0.550375863,0.027208033,0.001064618,0.000576779,0.010270049,0.018846154,0.020671031,0.024177578,0.05205401,0.022389525,0.037716858,0.041816694,0.047790507,0.084558101,mahalanobis,manhattan
0.013005605,0.006281879,5.505309956,0.333825477,1.88E-05,0.429650733,0.372993784,0.086501184,0.067257938,0.000131543,4.81E-05,0.002197887,0.001862024,53333,0.037136874,0.024980303,6.827505986,2.151083636,0.026531181,0.017140423,0.338235486,0.121167192,0.338200157,0.123161938,3,0,0,159999,3,0.044270711,0.018894103,1.126594102,0.181556362,0.002258602,0.000237679,1.88E-05,1.88E-05,1,0.336958284,0.122181906,0.002197887,0.00184678,0.00769375,0.017120313,0.019075,0.022284375,0.058075,0.01816875,0.0345875,0.03859375,0.045015625,0.0835625,euclidean,euclidean
0.053919542,0.007987108,5.653479083,0.037959931,2.13E-05,0.105433238,0.78609712,0.474240565,0.141353999,0.000301351,0.000139885,0.000655231,0.000620644,46966.33333,0.033957715,0.0148837,26.80363538,26.58164038,0.016931655,0.008454099,0.547592216,0.077699087,0.556506501,0.077757432,3,0,0.666666667,140899,3,0.025169944,0.005705885,-1.079654257,0.478550543,0.00146011,7.19E-05,2.13E-05,2.13E-05,1,0.550235028,0.076272672,0.000655231,0.000271344,0.00894961,0.017916962,0.019166075,0.021149752,0.035699077,0.017856636,0.035053229,0.037934705,0.041398155,0.064386089,mahalanobis,euclidean
0.028774984,0.010314625,5.717561445,0.043650399,1.84E-05,0.469424255,0.432061116,0.547557565,0.063336113,0.002219648,0.000685123,0.004555894,0.004667496,54333,0.100458149,0.038183258,0.53980996,1.333580543,0.048310916,0.023682254,0.435667645,0.204458913,0.440246244,0.217025278,3,0,0.666666667,162999,3,0.065358308,0.020646514,-0.01562363,0.718413732,0.001804934,0.000130227,1.84E-05,1.84E-05,1,0.435975334,0.209795517,0.004555894,0.002462969,0.010411043,0.017411043,0.018558282,0.019822086,0.038809816,0.02208589,0.034435583,0.036552147,0.038680982,0.064294479,manhattan,euclidean
0.059896007,0.006381753,5.60180394,0.069750194,2.17E-05,0.319328529,0.447360076,0.168895688,0.083830508,0.000153855,0.000100095,0.000925714,0.000653368,45999.66667,0.028047749,0.012557923,21.04673366,14.34483354,0.023390063,0.012025951,0.397618424,0.078340058,0.398117934,0.077484535,3,0,0,137999,3,0.029518977,0.009028612,-0.033267907,2.083344164,0.001269875,0.000101767,2.17E-05,2.17E-05,1,0.400037332,0.079129897,0.000925714,0.000579515,0.011876812,0.018190217,0.019768116,0.021376812,0.062050725,0.0115,0.036478261,0.039137681,0.042485507,0.087188406,mahalanobis,euclidean
0.015981113,0.003233706,5.285300389,0.52316195,1.80E-05,0.38433954,0.254569808,0.093423696,0.022267281,0.000210418,6.22E-05,0.002508367,0.001324264,55579.66667,0.036226486,0.024598975,10.16048353,1.771362515,0.020867954,0.014061948,0.545407651,0.069619689,0.544395213,0.078410327,3,0,0,166739,3,0.048723154,0.014199709,0.490224909,0.800935717,0.001871558,0.000264543,1.80E-05,1.80E-05,1,0.544532922,0.07345456,0.002508367,0.001270085,0.011904762,0.017426832,0.019080605,0.023508156,0.091879573,0.023683579,0.035030587,0.039816481,0.048506657,0.122394147,mahalanobis,euclidean
0.001859649,0.006868261,0.321429674,0.64304304,0.003194103,0.584491116,0.29334057,0.021824285,0.0519348,0.001486004,0.007904424,0.042696045,0.104247056,313.0769231,0.070499915,0.251833174,811.6685116,3254.481136,0.001966647,0.012093379,0.088068871,0.180641296,0.049141844,0.203845123,104,99,0.002053771,32560,97,0.15345227,0.139048026,17.23533345,22.83251891,0.476834484,0.103627668,0.003194103,0.001136364,0.355769231,0.061181573,0.19849013,0.042696045,0.064351352,3.07E-05,0.02602807,0.062881975,0.966854519,0.999969288,0,0.053069623,0.405976475,0.942446485,1,euclidean,chebyshev
0.072333213,0.123539629,4.064008899,1.531721606,0.000422562,0.459123417,0.316360665,0.087780382,0.118323248,0.001311834,0.002005473,0.014499455,0.015094687,2366.515152,0.110514792,0.089227774,1.451688825,2.968176118,0.080875258,0.066376477,0.545077901,0.101898315,0.548253862,0.105046217,33,0,0.022727273,78095,33,0.117551854,0.026500905,-0.185548282,0.334308312,1.15E-05,1.68E-05,0.000422562,0.000345733,0.818181818,0.547927947,0.10525254,0.014499455,0.006211883,7.68E-05,0.023804341,0.023804341,0.023817146,0.825507395,0.000166464,0.045982457,0.046558679,0.046994046,0.849324541,euclidean,euclidean
0.006990931,0.017681865,0.443836334,0.205320023,0.061052632,0.407816417,0.322741371,0.035714286,0.055775578,0.003143772,0.008525956,0.088025607,0.072387109,16.37931034,0,0,9.243305149,6.650007543,0,0,0.103448276,0.071285831,0,0,29,29,0,475,29,0.284528651,0.085565884,3.132558514,1.208842029,0.498945148,1.69E-16,0.061052632,0.050526316,0.827586207,0,0,0.088025607,0.053389177,0.052631579,0.052631579,0.5,0.947368421,0.947368421,0.105263158,0.231578947,0.5,0.768421053,0.894736842,manhattan,chebyshev
0.004150022,0.012869681,0.443836334,0.205320023,0.061052632,0.484292706,0.322741371,0.035714286,0.055775578,0.003143772,0.008525956,0.088025607,0.072387109,16.37931034,0,0,9.243305149,6.650007543,0,0,0.103448276,0.071285831,0,0,29,29,0,475,29,0.284528651,0.085565884,3.132558514,1.208842029,0.498945148,1.69E-16,0.061052632,0.050526316,0.827586207,0,0,0.088025607,0.053389177,0.052631579,0.052631579,0.5,0.947368421,0.947368421,0.105263158,0.231578947,0.5,0.768421053,0.894736842,euclidean,chebyshev
0.003361643,0.010630368,0.456823667,0.201223113,0.062222222,0.530561784,0.322741371,0.037037037,0.057832036,0.003373163,0.008816686,0.091075406,0.072489504,16.07142857,0,0,8.433259327,6.222318702,0,0,0.107142857,0.070481672,0,0,28,28,0,450,28,0.290433799,0.083502317,3.020270821,1.157729373,0.498886414,0,0.062222222,0.051111111,0.821428571,0,0,0.091075406,0.052586548,0.055555556,0.055555556,0.5,0.944444444,0.944444444,0.111111111,0.233333333,0.5,0.766666667,0.888888889,manhattan,chebyshev
0.00735615,0.012549094,0.475764164,0.127758542,0.2,0.750487102,0.322741371,0.065616308,0.106769324,0.007155036,0.017187309,0.093977591,0.098251905,5,0.083333333,0.282329851,5.429639684,2.27012082,0,0,0.125,0.12993867,0.041666667,0.204124145,24,24,0.025362319,120,22,0.302644487,0.049875379,2.586002776,0.852683484,0.495798319,0,0.2,0.158333333,0.791666667,0.041666667,0.172015616,0.093977591,0.036888608,0.083333333,0.095833333,0.5,0.904166667,0.916666667,0,0.166666667,0.5,0.833333333,1,manhattan,chebyshev
0.01387825,0.045787096,0.459638837,0.116762961,0.189393939,0.728050989,0.322741371,0.062322578,0.102318008,0.006397178,0.015445332,0.089576683,0.089879739,5.28,0.08,0.276887462,5.874957012,2.120263823,0,0,0.12,0.13190088,0.04,0.2,25,25,0.023333333,132,23,0.295908034,0.045815732,2.668898257,0.858329356,0.496183206,0,0.189393939,0.151515152,0.8,0.04,0.175742473,0.089576683,0.033334566,0.083333333,0.090909091,0.5,0.909090909,0.916666667,0,0.166666667,0.5,0.833333333,1,manhattan,chebyshev
0.120201546,0.101528914,1.556592679,1.03030684,0.014492754,0.257976304,0.322741371,0.039817685,0.162324679,0.004397697,0.012319165,0.130253434,0.097847001,69,0.642857143,0.505076272,-0.72217958,0.936590991,0.1059,0.149765216,0.636387164,0.063317533,0.803571429,0.27779195,2,0,0,138,1,0.346914438,0.140739527,-0.666909842,0.089456234,0.192062044,0.192905956,0.014492754,0.014492754,1,0.707482993,0.127471631,0.130253434,0.097649148,0.130434783,0.195652174,0.217391304,0.260869565,0.739130435,0.217391304,0.391304348,0.5,0.608695652,0.782608696,mahalanobis,chebyshev
0.021920456,0.122518478,0.605858612,0.187977783,0.17,0.683058292,0.322741371,0.0625,0.110530892,0.008169935,0.023665498,0.130718954,0.117171205,5.882352941,0.117647059,0.332105582,2.728460294,2.814811216,0.087211765,0.246189868,0.176470588,0.130045241,0.058823529,0.166052791,17,17,0.007352941,100,15,0.354719229,0.072104433,1.979732356,0.911253268,0.494949495,5.72E-17,0.17,0.13,0.764705882,0.058823529,0.166052791,0.130718954,0.05606636,0.1,0.1,0.5,0.9,0.9,0,0.26,0.5,0.74,1,euclidean,chebyshev
0.125966844,0.232794211,1.103919995,0.800977103,0.08,0.590523004,0.322741371,0.201313847,0.254221396,0.018875495,0.043753064,0.086629368,0.16083715,12.5,0.329537826,0.428187022,7.798636061,8.523934732,0.056604981,0.093556648,0.339509772,0.316705173,0.316698444,0.435786425,8,4,0.071428571,100,6,0.264698985,0.137586607,1.200589849,2.720710476,0.271368368,0.243930686,0.08,0.05,0.625,0.319498343,0.364575163,0.086629368,0.090832929,0.05,0.24,0.25,0.36,1,0,0.35,0.44,0.62,1,manhattan,manhattan
0.026515078,0.123589668,0.803577414,0.114077024,0.045,0.666423646,0.322741371,0.058823529,0.149280179,0.01097515,0.03273836,0.186577555,0.150675956,22.22222222,0.277777778,0.410244627,-0.466419271,0.925174254,0.164733333,0.317122678,0.277777778,0.123933358,0.111111111,0.213896316,18,18,0.013071895,400,14,0.430096335,0.041091402,1.085848758,0.613662549,0.498746867,0,0.045,0.0325,0.722222222,0.12962963,0.206555596,0.186577555,0.036996802,0.2,0.2,0.5,0.8,0.8,0,0.4,0.5,0.6,1,mahalanobis,chebyshev
0.000340374,0.000265574,0.183046962,0.216952041,2.16,0.999798136,0.322741371,0.038931171,0.087334427,0.001701559,0.008927512,0.0328367,0.144790268,0.462962963,0.060185185,0.238382072,62.40729285,33.70972734,0.010295833,0.086955754,0.046296296,0.108160884,0.020833333,0.130406342,216,216,0.009732989,100,203,0.152850953,0.097556898,7.495435902,2.763461005,0.494949495,1.11E-16,2.16,0.68,0.314814815,0.025848765,0.108593544,0.0328367,0.055895227,0.01,0.01,0.5,0.99,0.99,0,0.03,0.5,0.97,1,euclidean,chebyshev
0.168772756,0.289719561,1.901299811,0.871341704,0.018939394,0.543498409,0.322741371,0.376900913,0.263124453,0.045818315,0.06682686,0.120154308,0.203349995,52.8,0.56352449,0.400264176,-0.498335506,1.2648748,0.111990745,0.112882107,0.498096782,0.16598205,0.489941525,0.387299576,5,2,0.2,264,2,0.319139383,0.15126286,-0.042246996,0.778200608,0.208643448,0.26444477,0.018939394,0.011363636,0.6,0.498913842,0.220825563,0.120154308,0.103722701,0.041666667,0.162878788,0.172348485,0.213068182,0.632575758,0,0.267992424,0.323863636,0.460227273,1,euclidean,euclidean
0.03018639,0.063695258,0.600434743,0.3988002,0.157407407,0.257017276,0.322741371,0.158284268,0.129269137,0.017970206,0.018792573,0.103180382,0.11778348,6.352941176,0.083572453,0.138807676,4.658390271,3.587493982,0.019144046,0.078932923,0.141888517,0.100285131,0.022955524,0.094648049,17,16,0.088235294,108,16,0.314130103,0.069167021,2.390077474,0.946056091,0.467162854,0.116124174,0.157407407,0.101851852,0.647058824,0.044258945,0.097113369,0.103180382,0.049229856,0.083333333,0.083333333,0.25462963,0.916666667,0.916666667,0.166666667,0.166666667,0.5,0.833333333,0.833333333,mahalanobis,chebyshev
0.002578572,0.019382995,0.124765624,0.17309811,1.1,0.993694456,0.322741371,0.020955119,0.046242656,0.000779606,0.00600779,0.020668503,0.077278174,0.909090909,0.027272727,0.163622463,85.64041049,24.03103845,0,0,0.027272727,0.078248124,0.009090909,0.095346259,110,110,0.002168474,100,107,0.120752834,0.078377947,9.074071023,2.117952254,0.494949495,1.12E-16,1.1,0.88,0.8,0.012272727,0.072478943,0.020668503,0.043993549,0.01,0.01,0.5,0.99,0.99,0,0.02,0.5,0.98,1,manhattan,chebyshev
0.145277039,0.132571451,1.479393976,0.768315407,0.037878788,0.793570856,0.322741371,0.316061393,0.250713559,0.049172456,0.048425484,0.161206793,0.173871227,26.4,0.744940476,0.362563648,-0.796231294,1.465360922,0.102328953,0.165085299,0.344773629,0.098876189,0.128869048,0.216679135,5,3,0.4,132,1,0.386290467,0.122405411,0.725485349,0.542201893,0.301451221,0.266680542,0.037878788,0.022727273,0.6,0.268191964,0.132082374,0.161206793,0.087114454,0.181818182,0.202651515,0.204545455,0.333333333,0.666666667,0.181818182,0.340909091,0.401515152,0.598484848,0.818181818,manhattan,euclidean
0.004401903,0.028763259,0.187928296,0.102448756,0.138888889,0.15938874,0.322741371,0.039878563,0.072734499,0.00134811,0.00285721,0.02935266,0.033049371,7.2,0,0,39.05206562,15.62871,0,0,0.030769231,0.023256513,0,0,65,65,0,468,65,0.163336599,0.052111362,6.216228475,1.537358776,0.498929336,1.12E-16,0.138888889,0.10042735,0.723076923,0,0,0.02935266,0.021065321,0.019230769,0.019230769,0.5,0.980769231,0.980769231,0.038461538,0.038461538,0.5,0.961538462,0.961538462,mahalanobis,chebyshev
0.304406378,0.348085254,1.511572725,0.681518411,0.043209877,0.068190718,0.405279098,0.468776006,0.262877926,0.060853096,0.06200844,0.157144675,0.250373932,23.14285714,0.69464283,0.392652754,0.418973875,4.488110941,0.073154004,0.116308773,0.420490831,0.201616975,0.403789254,0.464801989,7,4,0.333333333,162,2,0.370321794,0.152777132,0.491184256,1.213949708,0.286564179,0.262371243,0.043209877,0.018518519,0.428571429,0.409642208,0.252536892,0.157144675,0.105507185,0.030674847,0.196319018,0.208588957,0.426380368,0.644171779,0,0.365030675,0.411042945,0.552147239,1,mahalanobis,manhattan
0.24578472,0.201129044,1.78108858,0.455353423,0.239669421,0.527954483,0.322741371,0.524517777,0.320983014,0.02004129,0.01292563,0.039191971,0.129181133,4.172413793,0.212952943,0.10552001,7.514310749,9.655508968,0.115395929,0.070597048,0.181650739,0.107461263,0.129681011,0.13345226,29,0,0.514778325,121,26,0.194865681,0.035537091,2.192714866,1.330106348,0.056183819,0.075219881,0.239669421,0.066115702,0.275862069,0.137060997,0.115375357,0.039191971,0.014375919,0.033057851,0.223140496,0.247933884,0.26446281,0.94214876,0,0.297520661,0.396694215,0.487603306,0.909090909,manhattan,manhattan
0.298550268,0.229872501,1.847048765,0.428691003,0.271028037,0.698944033,0.322741371,0.536882125,0.348612913,0.012277495,0.007970251,0.026722801,0.080167781,3.689655172,0.118218746,0.091392121,17.09303612,13.19207463,0.073591573,0.064794995,0.144054212,0.115755712,0.105150385,0.131008037,29,0,0.561576355,107,29,0.158606205,0.040284392,3.263871805,1.802991995,0.030492074,0.055396534,0.271028037,0.08411215,0.310344828,0.111802841,0.128097722,0.026722801,0.014758688,0.102803738,0.242990654,0.252336449,0.252336449,0.897196262,0,0.327102804,0.392523364,0.46728972,0.841121495,euclidean,euclidean
0.167677152,0.180757783,1.778465919,0.435302143,0.287128713,0.673018795,0.322741371,0.433527795,0.325097876,0.016564395,0.013790928,0.037652283,0.11667197,3.482758621,0.170790031,0.1046291,11.54702445,17.10495505,0.103619819,0.101943609,0.160345396,0.10611968,0.105192249,0.119628604,29,0,0.445812808,101,27,0.191004746,0.034802824,2.69830915,2.150997561,0.045948723,0.055969496,0.287128713,0.069306931,0.24137931,0.111714994,0.10742734,0.037652283,0.012386904,0.01980198,0.217821782,0.247524752,0.267326733,0.910891089,0,0.306930693,0.386138614,0.475247525,0.930693069,euclidean,manhattan
0.039047866,0.081218122,0.825373047,0.222193282,0.122222222,0.584323553,0.29334057,0.149408695,0.131282955,0.02618545,0.028873012,0.182127454,0.149111121,8.181818182,0.681818182,0.462208139,0.387063233,3.726779284,0,0,0.300505051,0.163459032,0.090909091,0.301511345,11,10,0.018181818,90,3,0.416017151,0.099814344,1.082664095,1.111281292,0.479060266,0.050816519,0.122222222,0.1,0.818181818,0.216329966,0.213576922,0.182127454,0.075420435,0.022222222,0.277777778,0.444444444,0.683333333,0.933333333,0.066666667,0.4,0.5,0.6,0.933333333,manhattan,chebyshev
